Name:A X_Dim:120 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28         29         30         31         32         33         34        35        36        37        38        39            40            41            42            43
  -400.0         X  9.548190e-12  9.047690e-12  8.573430e-12  8.124050e-12  7.698230e-12     3.815190     3.515140     3.246510     3.005750     2.788720     2.592130     2.413260    2.249890    2.100180    1.962560    1.835750    1.718610    1.610190    1.509650    1.416270   -2.546310   -2.475590   -2.440740   -2.384260   -2.308380   -2.215920   -2.100820   -1.960310   -1.795330  -1.603960  -1.391110  -1.162580  -0.927321  -0.697744  -0.486753 -0.306765 -0.169220 -0.078235 -0.028548 -0.007603 -1.372710e-03 -5.545370e-06 -6.683620e-10 -6.087620e-12
  -398.0         X  9.627290e-12  9.122630e-12  8.644440e-12  8.191330e-12  7.761970e-12     3.853790     3.550600     3.279170     3.035900     2.816630     2.618010     2.437290    2.272250    2.121000    1.981990    1.853880    1.735550    1.626030    1.524480    1.430160   -2.572540   -2.501060   -2.465850   -2.408770   -2.332080   -2.238640   -2.122320   -1.980320   -1.813610  -1.620230  -1.405150  -1.174250  -0.936566  -0.704644  -0.491522 -0.309738 -0.170840 -0.078974 -0.028814 -0.007673 -1.385090e-03 -5.593570e-06 -6.739630e-10 -6.137940e-12
  -396.0         X  9.707250e-12  9.198390e-12  8.716220e-12  8.259330e-12  7.826400e-12     3.892910     3.586540     3.312270     3.066460     2.844910     2.644230     2.461650    2.294910    2.142110    2.001670    1.872250    1.752720    1.642080    1.539500    1.444230   -2.599130   -2.526890   -2.491300   -2.433610   -2.356110   -2.261680   -2.144120   -2.000610   -1.832130  -1.636720  -1.419390  -1.186080  -0.945935  -0.711636  -0.496353 -0.312749 -0.172481 -0.079723 -0.029083 -0.007744 -1.397620e-03 -5.642330e-06 -6.796240e-10 -6.188800e-12
  -394.0         X  9.788070e-12  9.274970e-12  8.788770e-12  8.328070e-12  7.891530e-12     3.932570     3.622970     3.345820     3.097440     2.873580     2.670810     2.486340    2.317870    2.163490    2.021610    1.890870    1.770110    1.658350    1.554720    1.458490   -2.626090   -2.553080   -2.517110   -2.458810   -2.380470   -2.285030   -2.166220   -2.021190   -1.850920  -1.653440  -1.433820  -1.198070  -0.955431  -0.718721  -0.501248 -0.315800 -0.174144 -0.080481 -0.029356 -0.007815 -1.410300e-03 -5.691650e-06 -6.853480e-10 -6.240220e-12
  -392.0         X  9.869770e-12  9.352370e-12  8.862100e-12  8.397550e-12  7.957360e-12     3.972780     3.659910     3.379830     3.128840     2.902640     2.697750     2.511360    2.341140    2.185170    2.041820    1.909730    1.787740    1.674830    1.570150    1.472930   -2.653440   -2.579640   -2.543280   -2.484350   -2.405180   -2.308710   -2.188630   -2.042050   -1.869970  -1.670390  -1.448450  -1.210230  -0.965056  -0.725902  -0.506209 -0.318891 -0.175827 -0.081248 -0.029632 -0.007887 -1.423130e-03 -5.741540e-06 -6.911350e-10 -6.292180e-12
  -390.0         X  9.952360e-12  9.430610e-12  8.936240e-12  8.467780e-12  8.023900e-12     4.013540     3.697350     3.414310     3.160680     2.932090     2.725060     2.536720    2.364730    2.207140    2.062310    1.928860    1.805600    1.691540    1.585780    1.487570   -2.681170   -2.606570   -2.569820   -2.510260   -2.430230   -2.332730   -2.211350   -2.063200   -1.889280  -1.687580  -1.463280  -1.222550  -0.974812  -0.733180  -0.511235 -0.322023 -0.177533 -0.082026 -0.029911 -0.007960 -1.436120e-03 -5.792000e-06 -6.969850e-10 -6.344710e-12
  -388.0         X  1.003580e-11  9.509710e-12  9.011170e-12  8.538780e-12  8.091170e-12     4.054870     3.735310     3.449270     3.192950     2.961950     2.752740     2.562430    2.388640    2.229410    2.083070    1.948240    1.823710    1.708470    1.601620    1.502410   -2.709290   -2.633890   -2.596740   -2.536530   -2.455640   -2.357080   -2.234400   -2.084650   -1.908860  -1.705000  -1.478320  -1.235040  -0.984701  -0.740556  -0.516329 -0.325196 -0.179261 -0.082813 -0.030194 -0.008035 -1.449270e-03 -5.843040e-06 -7.029000e-10 -6.397810e-12
  -386.0         X  1.012020e-11  9.589670e-12  9.086930e-12  8.610550e-12  8.159170e-12     4.096780     3.773800     3.484710     3.225660     2.992220     2.780810     2.588490    2.412880    2.251980    2.104120    1.967880    1.842060    1.725630    1.617680    1.517440   -2.737810   -2.661590   -2.624040   -2.563170   -2.481400   -2.381780   -2.257760   -2.106400   -1.928720  -1.722670  -1.493560  -1.247700  -0.994726  -0.748032  -0.521491 -0.328412 -0.181011 -0.083611 -0.030481 -0.008110 -1.462570e-03 -5.894680e-06 -7.088810e-10 -6.451480e-12
  -384.0         X  1.020560e-11  9.670500e-12  9.163510e-12  8.683110e-12  8.227910e-12     4.139280     3.812830     3.520640     3.258830     3.022910     2.809250     2.614910    2.437450    2.274860    2.125450    1.987790    1.860660    1.743020    1.633950    1.532680   -2.766740   -2.689690   -2.651730   -2.590200   -2.507530   -2.406830   -2.281460   -2.128460   -1.948850  -1.740580  -1.509020  -1.260540  -1.004890  -0.755611  -0.526723 -0.331670 -0.182784 -0.084419 -0.030771 -0.008186 -1.476040e-03 -5.946930e-06 -7.149280e-10 -6.505740e-12
  -382.0         X  1.029180e-11  9.752220e-12  9.240930e-12  8.756460e-12  8.297400e-12     4.182370     3.852400     3.557070     3.292470     3.054030     2.838100     2.641690    2.462360    2.298050    2.147070    2.007970    1.879520    1.760650    1.650450    1.548120   -2.796090   -2.718190   -2.679810   -2.617610   -2.534040   -2.432230   -2.305500   -2.150830   -1.969280  -1.758750  -1.524700  -1.273550  -1.015190  -0.763292  -0.532025 -0.334971 -0.184581 -0.085237 -0.031065 -0.008262 -1.489670e-03 -5.999780e-06 -7.210420e-10 -6.560600e-12
