Name:B X_Dim:120 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component         0         1         2         3         4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39        40        41        42        43
  -400.0         X  0.017229  0.017129  0.017030  0.016932  0.016834     3.981550     3.947970     3.914640     3.881720     3.849210     3.817090     3.785370     3.754030     3.723060     3.692470     3.662240     3.632370     3.602850     3.573670     3.544830  -0.450020  -0.448386  -0.447559  -0.446185  -0.444273  -0.441832  -0.438609  -0.434366  -0.428890  -0.421748  -0.412580  -0.400893  -0.386139  -0.367837  -0.345509  -0.318751  -0.287696  -0.252913  -0.215388  -0.176602 -0.138874 -0.069252 -0.024834 -0.014888
  -398.0         X  0.017393  0.017293  0.017193  0.017094  0.016995     4.021880     3.987940     3.954260     3.920990     3.888140     3.855690     3.823630     3.791970     3.760680     3.729770     3.699220     3.669040     3.639200     3.609720     3.580580  -0.454745  -0.453094  -0.452258  -0.450870  -0.448937  -0.446470  -0.443212  -0.438923  -0.433388  -0.426169  -0.416903  -0.405089  -0.390177  -0.371678  -0.349111  -0.322066  -0.290679  -0.255524  -0.217600  -0.178405 -0.140281 -0.069940 -0.025074 -0.015031
  -396.0         X  0.017560  0.017458  0.017357  0.017257  0.017157     4.062750     4.028460     3.994420     3.960810     3.927610     3.894820     3.862420     3.830420     3.798810     3.767570     3.736700     3.706200     3.676060     3.646270     3.616820  -0.459538  -0.457869  -0.457024  -0.455621  -0.453667  -0.451173  -0.447880  -0.443545  -0.437950  -0.430653  -0.421287  -0.409346  -0.394272  -0.375574  -0.352764  -0.325427  -0.293703  -0.258172  -0.219844  -0.180232 -0.141707 -0.070636 -0.025318 -0.015175
  -394.0         X  0.017728  0.017626  0.017524  0.017423  0.017322     4.104190     4.069540     4.035140     4.001170     3.967620     3.934480     3.901750     3.869410     3.837460     3.805890     3.774700     3.743880     3.713420     3.683310     3.653560  -0.464400  -0.462713  -0.461859  -0.460440  -0.458465  -0.455944  -0.452615  -0.448233  -0.442577  -0.435201  -0.425733  -0.413663  -0.398426  -0.379525  -0.356468  -0.328836  -0.296770  -0.260857  -0.222119  -0.182085 -0.143153 -0.071342 -0.025565 -0.015322
  -392.0         X  0.017899  0.017796  0.017693  0.017591  0.017489     4.146200     4.111180     4.076420     4.042090     4.008180     3.974700     3.941610     3.908930     3.876650     3.844750     3.813220     3.782080     3.751290     3.720870     3.690800  -0.469331  -0.467626  -0.466762  -0.465328  -0.463332  -0.460783  -0.457418  -0.452988  -0.447271  -0.439814  -0.430243  -0.418041  -0.402639  -0.383533  -0.360225  -0.332294  -0.299881  -0.263580  -0.224425  -0.183964 -0.144619 -0.072057 -0.025815 -0.015470
  -390.0         X  0.018072  0.017968  0.017864  0.017761  0.017658     4.188800     4.153400     4.118270     4.083580     4.049310     4.015460     3.982030     3.949000     3.916370     3.884130     3.852280     3.820800     3.789690     3.758940     3.728550  -0.474334  -0.472610  -0.471737  -0.470287  -0.468269  -0.465692  -0.462290  -0.457812  -0.452032  -0.444494  -0.434819  -0.422483  -0.406913  -0.387598  -0.364036  -0.335801  -0.303035  -0.266342  -0.226764  -0.185869 -0.146105 -0.072782 -0.026068 -0.015620
  -388.0         X  0.018247  0.018142  0.018037  0.017933  0.017829     4.231980     4.196210     4.160700     4.125640     4.091010     4.056800     4.023010     3.989630     3.956650     3.924070     3.891870     3.860060     3.828620     3.797550     3.766830  -0.479409  -0.477666  -0.476783  -0.475317  -0.473277  -0.470672  -0.467233  -0.462705  -0.456862  -0.449241  -0.439460  -0.426989  -0.411248  -0.391721  -0.367902  -0.339358  -0.306235  -0.269142  -0.229137  -0.187801 -0.147611 -0.073517 -0.026325 -0.015772
  -386.0         X  0.018425  0.018319  0.018213  0.018107  0.018003     4.275770     4.239610     4.203730     4.168290     4.133280     4.098710     4.064560     4.030820     3.997490     3.964560     3.932020     3.899860     3.868090     3.836680     3.805640  -0.484557  -0.482795  -0.481903  -0.480421  -0.478358  -0.475725  -0.472247  -0.467670  -0.461762  -0.454057  -0.444168  -0.431560  -0.415645  -0.395904  -0.371823  -0.342966  -0.309481  -0.271983  -0.231542  -0.189760 -0.149139 -0.074262 -0.026585 -0.015927
  -384.0         X  0.018605  0.018497  0.018390  0.018284  0.018179     4.320170     4.283630     4.247350     4.211530     4.176150     4.141210     4.106690     4.072590     4.038900     4.005620     3.972730     3.940230     3.908110     3.876370     3.844990  -0.489781  -0.487999  -0.487097  -0.485599  -0.483513  -0.480851  -0.477335  -0.472707  -0.466733  -0.458943  -0.448945  -0.436197  -0.420107  -0.400148  -0.375801  -0.346626  -0.312773  -0.274865  -0.233982  -0.191746 -0.150688 -0.075017 -0.026848 -0.016083
  -382.0         X  0.018787  0.018679  0.018571  0.018463  0.018357     4.365200     4.328260     4.291590     4.255380     4.219620     4.184300     4.149410     4.114940     4.080890     4.047250     4.014000     3.981150     3.948690     3.916610     3.884900  -0.495081  -0.493280  -0.492367  -0.490852  -0.488743  -0.486051  -0.482497  -0.477817  -0.471777  -0.463901  -0.453791  -0.440902  -0.424634  -0.404453  -0.379837  -0.350339  -0.316113  -0.277787  -0.236457  -0.193761 -0.152259 -0.075782 -0.027115 -0.016241
