Name:C X_Dim:120 Y_Dim:600 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43
  -400.0         X   0.034229   0.034196   0.034162   0.034128   0.034095     4.014310     4.010890     4.007460     4.004030     4.000610     3.997190     3.993770     3.990360     3.986950     3.983550     3.980150     3.976750     3.973360     3.969980     3.966600 -0.017057 -0.017048 -0.017043 -0.017036 -0.017025 -0.017011 -0.016992 -0.016967 -0.016935 -0.016892 -0.016835 -0.016760 -0.016661 -0.016532 -0.016363 -0.016141 -0.015852 -0.015478 -0.015000 -0.014396 -0.013653 -0.011564 -0.008965 -0.007920
  -398.0         X   0.034584   0.034550   0.034516   0.034482   0.034448     4.054990     4.051540     4.048070     4.044600     4.041140     4.037680     4.034230     4.030790     4.027340     4.023900     4.020470     4.017040     4.013610     4.010190     4.006770 -0.017241 -0.017232 -0.017227 -0.017219 -0.017208 -0.017194 -0.017175 -0.017150 -0.017117 -0.017074 -0.017016 -0.016941 -0.016841 -0.016710 -0.016539 -0.016314 -0.016022 -0.015645 -0.015162 -0.014550 -0.013800 -0.011688 -0.009061 -0.008005
  -396.0         X   0.034943   0.034909   0.034874   0.034840   0.034806     4.096230     4.092740     4.089230     4.085730     4.082230     4.078740     4.075250     4.071770     4.068290     4.064810     4.061340     4.057880     4.054410     4.050960     4.047500 -0.017428 -0.017418 -0.017413 -0.017405 -0.017394 -0.017380 -0.017361 -0.017336 -0.017302 -0.017258 -0.017200 -0.017124 -0.017023 -0.016891 -0.016718 -0.016491 -0.016195 -0.015814 -0.015326 -0.014707 -0.013949 -0.011814 -0.009158 -0.008091
  -394.0         X   0.035308   0.035273   0.035238   0.035203   0.035169     4.138030     4.134500     4.130960     4.127420     4.123890     4.120360     4.116830     4.113310     4.109800     4.106280     4.102780     4.099270     4.095780     4.092280     4.088790 -0.017617 -0.017607 -0.017603 -0.017594 -0.017583 -0.017569 -0.017549 -0.017524 -0.017490 -0.017446 -0.017387 -0.017310 -0.017208 -0.017074 -0.016900 -0.016670 -0.016371 -0.015986 -0.015492 -0.014867 -0.014100 -0.011942 -0.009257 -0.008178
  -392.0         X   0.035677   0.035642   0.035607   0.035572   0.035537     4.180420     4.176850     4.173270     4.169690     4.166120     4.162550     4.158990     4.155430     4.151880     4.148330     4.144790     4.141250     4.137710     4.134180     4.130650 -0.017809 -0.017799 -0.017794 -0.017786 -0.017775 -0.017760 -0.017741 -0.017715 -0.017681 -0.017636 -0.017577 -0.017499 -0.017396 -0.017261 -0.017084 -0.016851 -0.016550 -0.016160 -0.015661 -0.015029 -0.014253 -0.012071 -0.009357 -0.008266
  -390.0         X   0.036052   0.036017   0.035981   0.035946   0.035910     4.223390     4.219780     4.216160     4.212550     4.208940     4.205330     4.201730     4.198140     4.194550     4.190960     4.187380     4.183800     4.180230     4.176660     4.173090 -0.018004 -0.017994 -0.017989 -0.017981 -0.017969 -0.017955 -0.017935 -0.017909 -0.017875 -0.017829 -0.017769 -0.017690 -0.017586 -0.017449 -0.017271 -0.017036 -0.016730 -0.016336 -0.015832 -0.015193 -0.014409 -0.012203 -0.009459 -0.008355
  -388.0         X   0.036432   0.036396   0.036360   0.036325   0.036289     4.266950     4.263310     4.259650     4.256000     4.252350     4.248710     4.245070     4.241430     4.237800     4.234180     4.230560     4.226940     4.223330     4.219730     4.216120 -0.018201 -0.018192 -0.018187 -0.018178 -0.018167 -0.018152 -0.018132 -0.018106 -0.018071 -0.018025 -0.017964 -0.017884 -0.017779 -0.017641 -0.017460 -0.017223 -0.016914 -0.016516 -0.016005 -0.015359 -0.014567 -0.012336 -0.009562 -0.008446
  -386.0         X   0.036818   0.036782   0.036745   0.036709   0.036673     4.311130     4.307450     4.303750     4.300060     4.296370     4.292690     4.289010     4.285340     4.281670     4.278000     4.274350     4.270690     4.267040     4.263400     4.259750 -0.018402 -0.018392 -0.018387 -0.018379 -0.018367 -0.018352 -0.018332 -0.018305 -0.018270 -0.018224 -0.018162 -0.018081 -0.017975 -0.017835 -0.017653 -0.017413 -0.017101 -0.016698 -0.016182 -0.015529 -0.014727 -0.012472 -0.009666 -0.008538
  -384.0         X   0.037209   0.037172   0.037136   0.037099   0.037062     4.355930     4.352200     4.348470     4.344740     4.341010     4.337290     4.333570     4.329860     4.326150     4.322440     4.318750     4.315050     4.311360     4.307680     4.304000 -0.018606 -0.018596 -0.018591 -0.018582 -0.018571 -0.018555 -0.018535 -0.018508 -0.018472 -0.018425 -0.018363 -0.018282 -0.018174 -0.018033 -0.017848 -0.017605 -0.017290 -0.016882 -0.016361 -0.015700 -0.014890 -0.012609 -0.009772 -0.008632
  -382.0         X   0.037606   0.037569   0.037532   0.037495   0.037458     4.401350     4.397590     4.393810     4.390040     4.386270     4.382510     4.378750     4.375000     4.371250     4.367510     4.363770     4.360040     4.356310     4.352580     4.348860 -0.018813 -0.018803 -0.018798 -0.018789 -0.018777 -0.018762 -0.018741 -0.018714 -0.018678 -0.018630 -0.018567 -0.018485 -0.018376 -0.018233 -0.018046 -0.017801 -0.017482 -0.017070 -0.016542 -0.015874 -0.015055 -0.012749 -0.009880 -0.008727
