Name:B X_Dim:150 Y_Dim:30 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39         40            41            42            43
  -400.0         X  4.820780e-06  4.718360e-06  4.618120e-06  4.520000e-06  4.423980e-06     0.593563     0.576256     0.559612     0.543668     0.528377     0.513699     0.499594     0.486027     0.472967     0.460383     0.448250     0.436542     0.425237     0.414313     0.403752    -0.202024    -0.199727    -0.198576    -0.196679    -0.194073    -0.190802    -0.186575    -0.181167    -0.174435    -0.166053    -0.155900    -0.143852    -0.129908   -0.114295   -0.097364   -0.079593   -0.061795   -0.044892   -0.029848   -0.017614  -0.008944 -1.008820e-03 -2.786110e-05 -4.278920e-06
  -398.0         X  4.882030e-06  4.778310e-06  4.676790e-06  4.577430e-06  4.480180e-06     0.601088     0.583562     0.566707     0.550560     0.535076     0.520212     0.505928     0.492189     0.478963     0.466220     0.453933     0.442077     0.430628     0.419566     0.408871    -0.204585    -0.202259    -0.201093    -0.199172    -0.196533    -0.193220    -0.188940    -0.183463    -0.176647    -0.168158    -0.157877    -0.145676    -0.131555   -0.115744   -0.098598   -0.080602   -0.062578   -0.045461   -0.030227   -0.017837  -0.009058 -1.021620e-03 -2.821500e-05 -4.333290e-06
  -396.0         X  4.944310e-06  4.839270e-06  4.736450e-06  4.635830e-06  4.537340e-06     0.608740     0.590991     0.573921     0.557569     0.541888     0.526834     0.512368     0.498455     0.485060     0.472155     0.459712     0.447705     0.436110     0.424907     0.414076    -0.207189    -0.204834    -0.203652    -0.201707    -0.199034    -0.195680    -0.191345    -0.185798    -0.178895    -0.170298    -0.159886    -0.147530    -0.133229   -0.117217   -0.099853   -0.081628   -0.063375   -0.046040   -0.030612   -0.018064  -0.009173 -1.034640e-03 -2.857480e-05 -4.388570e-06
  -394.0         X  5.007650e-06  4.901260e-06  4.797130e-06  4.695210e-06  4.595460e-06     0.616520     0.598544     0.581256     0.564695     0.548814     0.533568     0.518917     0.504826     0.491260     0.478190     0.465588     0.453427     0.441685     0.430339     0.419368    -0.209837    -0.207451    -0.206255    -0.204285    -0.201578    -0.198180    -0.193790    -0.188173    -0.181181    -0.172474    -0.161929    -0.149415    -0.134932   -0.118715   -0.101129   -0.082671   -0.064185   -0.046628   -0.031003   -0.018295  -0.009290 -1.047880e-03 -2.894080e-05 -4.444780e-06
  -392.0         X  5.072050e-06  4.964290e-06  4.858830e-06  4.755600e-06  4.654570e-06     0.624432     0.606226     0.588716     0.571942     0.555857     0.540415     0.525577     0.511305     0.497565     0.484327     0.471563     0.459247     0.447353     0.435862     0.424751    -0.212529    -0.210113    -0.208901    -0.206906    -0.204164    -0.200723    -0.196277    -0.190587    -0.183506    -0.174687    -0.164007    -0.151332    -0.136663   -0.120238   -0.102427   -0.083732   -0.065008   -0.047227   -0.031401   -0.018530  -0.009410 -1.061350e-03 -2.931290e-05 -4.501950e-06
  -390.0         X  5.137560e-06  5.028410e-06  4.921580e-06  4.817020e-06  4.714680e-06     0.632479     0.614037     0.596302     0.579312     0.563020     0.547379     0.532349     0.517893     0.503977     0.490569     0.477640     0.465165     0.453118     0.441479     0.430225    -0.215268    -0.212820    -0.211593    -0.209572    -0.206795    -0.203309    -0.198806    -0.193043    -0.185870    -0.176938    -0.166120    -0.153282    -0.138424   -0.121787   -0.103747   -0.084811   -0.065846   -0.047835   -0.031806   -0.018769  -0.009531 -1.075040e-03 -2.969140e-05 -4.560100e-06
  -388.0         X  5.204180e-06  5.093620e-06  4.985400e-06  4.879490e-06  4.775820e-06     0.640663     0.621983     0.604017     0.586808     0.570305     0.554462     0.539238     0.524595     0.510498     0.496917     0.483821     0.471184     0.458982     0.447191     0.435792    -0.218052    -0.215573    -0.214330    -0.212283    -0.209470    -0.205940    -0.201378    -0.195540    -0.188275    -0.179227    -0.168269    -0.155265    -0.140215   -0.123363   -0.105089   -0.085908   -0.066698   -0.048454   -0.032217   -0.019012  -0.009654 -1.088970e-03 -3.007630e-05 -4.619230e-06
  -386.0         X  5.271950e-06  5.159950e-06  5.050320e-06  4.943030e-06  4.838020e-06     0.648986     0.630064     0.611865     0.594432     0.577715     0.561666     0.546244     0.531411     0.517131     0.503373     0.490107     0.477306     0.464945     0.453002     0.441454    -0.220885    -0.218374    -0.217114    -0.215041    -0.212191    -0.208615    -0.203994    -0.198080    -0.190720    -0.181555    -0.170455    -0.157282    -0.142036   -0.124965   -0.106454   -0.087024   -0.067565   -0.049084   -0.032636   -0.019259  -0.009780 -1.103140e-03 -3.046790e-05 -4.679390e-06
  -384.0         X  5.340890e-06  5.227420e-06  5.116370e-06  5.007670e-06  4.901280e-06     0.657453     0.638284     0.619848     0.602188     0.585252     0.568994     0.553370     0.538344     0.523878     0.509940     0.496501     0.483533     0.471011     0.458912     0.447214    -0.223766    -0.221222    -0.219946    -0.217846    -0.214959    -0.211336    -0.206654    -0.200664    -0.193208    -0.183923    -0.172678    -0.159334    -0.143889   -0.126595   -0.107843   -0.088159   -0.068446   -0.049724   -0.033062   -0.019510  -0.009908 -1.117550e-03 -3.086620e-05 -4.740580e-06
  -382.0         X  5.411030e-06  5.296070e-06  5.183550e-06  5.073430e-06  4.965640e-06     0.666066     0.646645     0.627968     0.610077     0.592919     0.576448     0.560620     0.545396     0.530741     0.516621     0.503006     0.489868     0.477182     0.464924     0.453073    -0.226697    -0.224120    -0.222827    -0.220700    -0.217775    -0.214104    -0.209361    -0.203292    -0.195739    -0.186332    -0.174940    -0.161421    -0.145773   -0.128253   -0.109255   -0.089314   -0.069343   -0.050376   -0.033495   -0.019766  -0.010037 -1.132210e-03 -3.127140e-05 -4.802830e-06
