Name:C X_Dim:150 Y_Dim:50 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40         41         42            43
  -400.0         X   0.015851   0.015824   0.015798   0.015771   0.015744     1.372160     1.369360     1.366560     1.363770     1.360990     1.358220     1.355460     1.352710     1.349970     1.347240     1.344520     1.341810     1.339110     1.336420     1.333740   -0.025413   -0.025376   -0.025358   -0.025327   -0.025284   -0.025228   -0.025155   -0.025058   -0.024931   -0.024763   -0.024544   -0.024259   -0.023889   -0.023413   -0.022804   -0.022032   -0.021068   -0.019891   -0.018484   -0.016851   -0.015049  -0.010925  -0.007160 -5.931550e-03
  -398.0         X   0.016047   0.016020   0.015993   0.015966   0.015939     1.389130     1.386300     1.383460     1.380640     1.377820     1.375020     1.372220     1.369440     1.366670     1.363900     1.361150     1.358410     1.355670     1.352950     1.350240   -0.025728   -0.025691   -0.025672   -0.025641   -0.025597   -0.025541   -0.025467   -0.025368   -0.025240   -0.025070   -0.024848   -0.024560   -0.024185   -0.023703   -0.023087   -0.022305   -0.021329   -0.020137   -0.018713   -0.017060   -0.015235  -0.011060  -0.007249 -6.004910e-03
  -396.0         X   0.016246   0.016219   0.016191   0.016164   0.016137     1.406370     1.403510     1.400640     1.397780     1.394930     1.392090     1.389260     1.386440     1.383630     1.380840     1.378050     1.375270     1.372500     1.369750     1.367000   -0.026048   -0.026010   -0.025991   -0.025960   -0.025915   -0.025859   -0.025783   -0.025684   -0.025553   -0.025382   -0.025157   -0.024865   -0.024486   -0.023998   -0.023374   -0.022582   -0.021594   -0.020387   -0.018946   -0.017272   -0.015425  -0.011197  -0.007339 -6.079460e-03
  -394.0         X   0.016449   0.016421   0.016393   0.016365   0.016338     1.423900     1.421000     1.418090     1.415200     1.412310     1.409440     1.406580     1.403720     1.400880     1.398050     1.395230     1.392410     1.389610     1.386820     1.384040   -0.026373   -0.026335   -0.026316   -0.026284   -0.026239   -0.026182   -0.026105   -0.026004   -0.025873   -0.025699   -0.025472   -0.025176   -0.024791   -0.024297   -0.023666   -0.022864   -0.021864   -0.020642   -0.019182   -0.017487   -0.015617  -0.011337  -0.007430 -6.155250e-03
  -392.0         X   0.016655   0.016626   0.016598   0.016570   0.016542     1.441720     1.438780     1.435840     1.432910     1.429990     1.427080     1.424180     1.421290     1.418410     1.415540     1.412680     1.409840     1.407000     1.404170     1.401360   -0.026704   -0.026665   -0.026646   -0.026613   -0.026568   -0.026510   -0.026433   -0.026330   -0.026197   -0.026021   -0.025791   -0.025491   -0.025102   -0.024602   -0.023963   -0.023151   -0.022138   -0.020901   -0.019422   -0.017707   -0.015813  -0.011479  -0.007523 -6.232280e-03
  -390.0         X   0.016864   0.016835   0.016807   0.016778   0.016750     1.459840     1.456860     1.453880     1.450910     1.447950     1.445010     1.442070     1.439140     1.436230     1.433330     1.430430     1.427550     1.424680     1.421810     1.418960   -0.027040   -0.027001   -0.026981   -0.026948   -0.026902   -0.026844   -0.026765   -0.026662   -0.026527   -0.026348   -0.026115   -0.025812   -0.025418   -0.024911   -0.024264   -0.023442   -0.022416   -0.021164   -0.019667   -0.017929   -0.016012  -0.011624  -0.007618 -6.310580e-03
  -388.0         X   0.017076   0.017047   0.017019   0.016990   0.016961     1.478250     1.475240     1.472220     1.469210     1.466220     1.463230     1.460260     1.457300     1.454350     1.451400     1.448470     1.445560     1.442650     1.439750     1.436860   -0.027381   -0.027342   -0.027322   -0.027289   -0.027242   -0.027183   -0.027104   -0.026999   -0.026862   -0.026681   -0.026446   -0.026138   -0.025739   -0.025226   -0.024571   -0.023738   -0.022700   -0.021431   -0.019915   -0.018156   -0.016214  -0.011770  -0.007714 -6.390190e-03
  -386.0         X   0.017293   0.017263   0.017234   0.017205   0.017176     1.496970     1.493920     1.490860     1.487820     1.484780     1.481760     1.478750     1.475750     1.472760     1.469790     1.466820     1.463860     1.460920     1.457980     1.455060   -0.027729   -0.027689   -0.027669   -0.027635   -0.027588   -0.027528   -0.027448   -0.027341   -0.027203   -0.027020   -0.026781   -0.026470   -0.026066   -0.025546   -0.024882   -0.024039   -0.022988   -0.021703   -0.020168   -0.018386   -0.016419  -0.011919  -0.007811 -6.471120e-03
  -384.0         X   0.017512   0.017483   0.017453   0.017424   0.017394     1.516000     1.512910     1.509820     1.506740     1.503660     1.500600     1.497550     1.494520     1.491490     1.488470     1.485470     1.482470     1.479490     1.476520     1.473560   -0.028082   -0.028042   -0.028021   -0.027987   -0.027939   -0.027878   -0.027797   -0.027690   -0.027549   -0.027364   -0.027122   -0.026807   -0.026398   -0.025872   -0.025199   -0.024346   -0.023280   -0.021979   -0.020425   -0.018620   -0.016628  -0.012071  -0.007911 -6.553410e-03
  -382.0         X   0.017736   0.017706   0.017676   0.017646   0.017616     1.535360     1.532230     1.529090     1.525970     1.522860     1.519760     1.516670     1.513600     1.510530     1.507480     1.504430     1.501400     1.498380     1.495370     1.492370   -0.028442   -0.028401   -0.028380   -0.028345   -0.028297   -0.028235   -0.028153   -0.028044   -0.027902   -0.027714   -0.027469   -0.027150   -0.026736   -0.026203   -0.025522   -0.024657   -0.023578   -0.022260   -0.020686   -0.018858   -0.016841  -0.012225  -0.008012 -6.637080e-03
  -380.0         X   0.017963   0.017933   0.017902   0.017872   0.017842     1.555040     1.551870     1.548690     1.545530     1.542380     1.539240     1.536110     1.533000     1.529890     1.526800     1.523720     1.520640     1.517580     1.514540     1.511500   -0.028807   -0.028765   -0.028744   -0.028709   -0.028660   -0.028598   -0.028514   -0.028404   -0.028260   -0.028070   -0.027822   -0.027499   -0.027079   -0.026539   -0.025850   -0.024973   -0.023881   -0.022546   -0.020951   -0.019100   -0.017057  -0.012382  -0.008115 -6.722160e-03
  -378.0         X   0.018194   0.018163   0.018133   0.018102   0.018071     1.575050     1.571840     1.568630     1.565420     1.562230     1.559050     1.555880     1.552730     1.549580     1.546450     1.543330     1.540220     1.537120     1.534030     1.530950   -0.029178   -0.029136   -0.029115   -0.029080   -0.029030   -0.028966   -0.028882   -0.028770   -0.028625   -0.028432   -0.028181   -0.027853   -0.027428   -0.026881   -0.026183   -0.025295   -0.024189   -0.022837   -0.021222   -0.019347   -0.017277  -0.012542  -0.008219 -6.808680e-03
  -376.0         X   0.018429   0.018398   0.018367   0.018336   0.018305     1.595410     1.592150     1.588900     1.585650     1.582420     1.579200     1.575990     1.572790     1.569610     1.566430     1.563270     1.560120     1.556980     1.553850     1.550730   -0.029556   -0.029514   -0.029492   -0.029456   -0.029406   -0.029341   -0.029256   -0.029143   -0.028995   -0.028800   -0.028546   -0.028214   -0.027783   -0.027229   -0.026522   -0.025623   -0.024502   -0.023132   -0.021496   -0.019597   -0.017500  -0.012704  -0.008325 -6.896670e-03
  -374.0         X   0.018668   0.018637   0.018605   0.018574   0.018542     1.616110     1.612810     1.609510     1.606230     1.602950     1.599690     1.596440     1.593200     1.589970     1.586760     1.583550     1.580360     1.577180     1.574010     1.570850   -0.029940   -0.029897   -0.029875   -0.029839   -0.029788   -0.029723   -0.029636   -0.029522   -0.029372   -0.029175   -0.028917   -0.028581   -0.028144   -0.027583   -0.026867   -0.025956   -0.024820   -0.023433   -0.021775   -0.019852   -0.017728  -0.012869  -0.008433 -6.986160e-03
  -372.0         X   0.018911   0.018879   0.018847   0.018815   0.018784     1.637160     1.633820     1.630480     1.627150     1.623830     1.620530     1.617240     1.613960     1.610690     1.607430     1.604180     1.600950     1.597730     1.594520     1.591320   -0.030331   -0.030288   -0.030265   -0.030228   -0.030177   -0.030111   -0.030023   -0.029907   -0.029756   -0.029555   -0.029294   -0.028954   -0.028512   -0.027943   -0.027217   -0.026295   -0.025145   -0.023739   -0.022060   -0.020111   -0.017959  -0.013037  -0.008543 -7.077180e-03
  -370.0         X   0.019159   0.019126   0.019094   0.019061   0.019029     1.658580     1.655200     1.651810     1.648440     1.645080     1.641730     1.638390     1.635070     1.631760     1.628460     1.625170     1.621890     1.618630     1.615380     1.612140   -0.030729   -0.030685   -0.030662   -0.030625   -0.030573   -0.030506   -0.030417   -0.030299   -0.030146   -0.029943   -0.029678   -0.029333   -0.028886   -0.028310   -0.027574   -0.026639   -0.025474   -0.024050   -0.022349   -0.020374   -0.018194  -0.013207  -0.008655 -7.169770e-03
  -368.0         X   0.019410   0.019377   0.019345   0.019312   0.019279     1.680370     1.676940     1.673510     1.670090     1.666690     1.663300     1.659920     1.656550     1.653190     1.649850     1.646520     1.643200     1.639890     1.636600     1.633310   -0.031133   -0.031089   -0.031066   -0.031028   -0.030975   -0.030907   -0.030817   -0.030698   -0.030542   -0.030337   -0.030069   -0.029719   -0.029266   -0.028682   -0.027937   -0.026990   -0.025809   -0.024366   -0.022643   -0.020642   -0.018434  -0.013381  -0.008769 -7.263960e-03
  -366.0         X   0.019666   0.019633   0.019600   0.019567   0.019533     1.702530     1.699060     1.695590     1.692120     1.688670     1.685240     1.681810     1.678400     1.675000     1.671610     1.668240     1.664870     1.661520     1.658180     1.654860   -0.031545   -0.031499   -0.031476   -0.031438   -0.031385   -0.031316   -0.031225   -0.031104   -0.030946   -0.030738   -0.030466   -0.030112   -0.029653   -0.029061   -0.028306   -0.027347   -0.026150   -0.024688   -0.022942   -0.020915   -0.018677  -0.013558  -0.008884 -7.359780e-03
  -364.0         X   0.019927   0.019893   0.019859   0.019825   0.019792     1.725080     1.721570     1.718040     1.714540     1.711040     1.707560     1.704090     1.700630     1.697180     1.693750     1.690330     1.686930     1.683530     1.680150     1.676780   -0.031963   -0.031918   -0.031894   -0.031855   -0.031801   -0.031731   -0.031639   -0.031517   -0.031357   -0.031146   -0.030871   -0.030512   -0.030046   -0.029447   -0.028682   -0.027710   -0.026497   -0.025016   -0.023246   -0.021192   -0.018925  -0.013737  -0.009002 -7.457270e-03
  -362.0         X   0.020192   0.020157   0.020123   0.020089   0.020055     1.748030     1.744470     1.740900     1.737340     1.733800     1.730270     1.726750     1.723250     1.719760     1.716280     1.712820     1.709360     1.705920     1.702490     1.699080   -0.032390   -0.032343   -0.032319   -0.032280   -0.032225   -0.032154   -0.032061   -0.031937   -0.031775   -0.031561   -0.031282   -0.030919   -0.030447   -0.029840   -0.029064   -0.028079   -0.026850   -0.025349   -0.023556   -0.021475   -0.019177  -0.013920  -0.009122 -7.556460e-03
  -360.0         X   0.020461   0.020427   0.020392   0.020357   0.020323     1.771380     1.767770     1.764150     1.760550     1.756960     1.753380     1.749820     1.746270     1.742730     1.739200     1.735690     1.732190     1.728710     1.725230     1.721770   -0.032823   -0.032776   -0.032752   -0.032712   -0.032656   -0.032585   -0.032490   -0.032364   -0.032200   -0.031983   -0.031701   -0.031332   -0.030854   -0.030239   -0.029453   -0.028455   -0.027210   -0.025688   -0.023871   -0.021762   -0.019433  -0.014106  -0.009244 -7.657390e-03
  -358.0         X   0.020736   0.020700   0.020665   0.020630   0.020595     1.795140     1.791480     1.787810     1.784160     1.780520     1.776900     1.773290     1.769690     1.766100     1.762530     1.758970     1.755430     1.751890     1.748370     1.744870   -0.033264   -0.033216   -0.033192   -0.033152   -0.033095   -0.033023   -0.032926   -0.032799   -0.032633   -0.032413   -0.032127   -0.031753   -0.031269   -0.030645   -0.029849   -0.028837   -0.027575   -0.026034   -0.024192   -0.022054   -0.019695  -0.014296  -0.009368 -7.760100e-03
  -356.0         X   0.021015   0.020979   0.020944   0.020908   0.020873     1.819320     1.815610     1.811890     1.808190     1.804500     1.800830     1.797170     1.793520     1.789890     1.786270     1.782660     1.779070     1.775490     1.771920     1.768370   -0.033713   -0.033665   -0.033640   -0.033599   -0.033542   -0.033468   -0.033371   -0.033242   -0.033073   -0.032851   -0.032560   -0.032182   -0.031691   -0.031059   -0.030252   -0.029226   -0.027947   -0.026385   -0.024518   -0.022352   -0.019960  -0.014488  -0.009494 -7.864630e-03
