Name:B X_Dim:150 Y_Dim:5 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18         19          20          21          22          23          24          25          26          27          28          29          30          31          32         33         34            35            36            37            38            39            40            41            42            43
  -400.0         X  8.649660e-27  7.602430e-27  6.681990e-27  5.872990e-27  5.161930e-27    0.020454    0.017402    0.014927    0.012885    0.011170    0.009715    0.008468    0.007395    0.006466    0.005660    0.004959    0.004347    0.003812    0.003345   0.002936   -0.018681   -0.017739   -0.017288   -0.016572   -0.015639   -0.014545   -0.013242   -0.011731   -0.010061   -0.008252   -0.006399   -0.004606   -0.003001  -0.001713  -0.000818 -3.062410e-04 -8.303420e-05 -1.470510e-05 -1.475750e-06 -6.960550e-08 -1.288080e-09 -2.914100e-15 -1.330900e-24 -1.728250e-29
  -398.0         X  8.762880e-27  7.701940e-27  6.769450e-27  5.949860e-27  5.229500e-27    0.020722    0.017630    0.015123    0.013053    0.011317    0.009842    0.008579    0.007492    0.006551    0.005734    0.005024    0.004404    0.003862    0.003389   0.002974   -0.018925   -0.017972   -0.017514   -0.016789   -0.015844   -0.014735   -0.013415   -0.011885   -0.010192   -0.008360   -0.006482   -0.004666   -0.003040  -0.001735  -0.000829 -3.102520e-04 -8.412180e-05 -1.489770e-05 -1.495080e-06 -7.051720e-08 -1.304950e-09 -2.952250e-15 -1.348320e-24 -1.750860e-29
  -396.0         X  8.878080e-27  7.803190e-27  6.858440e-27  6.028080e-27  5.298250e-27    0.020994    0.017862    0.015322    0.013225    0.011465    0.009971    0.008692    0.007590    0.006637    0.005810    0.005090    0.004462    0.003913    0.003433   0.003013   -0.019174   -0.018208   -0.017744   -0.017009   -0.016052   -0.014929   -0.013591   -0.012041   -0.010327   -0.008470   -0.006568   -0.004728   -0.003080  -0.001758  -0.000840 -3.143330e-04 -8.522820e-05 -1.509360e-05 -1.514740e-06 -7.144470e-08 -1.322110e-09 -2.991070e-15 -1.366040e-24 -1.773860e-29
  -394.0         X  8.995270e-27  7.906200e-27  6.948980e-27  6.107650e-27  5.368190e-27    0.021271    0.018098    0.015524    0.013400    0.011617    0.010103    0.008807    0.007691    0.006725    0.005887    0.005157    0.004521    0.003965    0.003479   0.003053   -0.019428   -0.018448   -0.017979   -0.017234   -0.016264   -0.015126   -0.013771   -0.012200   -0.010463   -0.008581   -0.006654   -0.004790   -0.003121  -0.001782  -0.000851 -3.184850e-04 -8.635400e-05 -1.529300e-05 -1.534750e-06 -7.238830e-08 -1.339580e-09 -3.030570e-15 -1.384060e-24 -1.797260e-29
  -392.0         X  9.114520e-27  8.011010e-27  7.041100e-27  6.188620e-27  5.439350e-27    0.021554    0.018338    0.015730    0.013577    0.011771    0.010237    0.008924    0.007793    0.006814    0.005965    0.005225    0.004580    0.004017    0.003525   0.003093   -0.019685   -0.018693   -0.018217   -0.017463   -0.016480   -0.015327   -0.013954   -0.012362   -0.010602   -0.008695   -0.006743   -0.004853   -0.003162  -0.001805  -0.000862 -3.227090e-04 -8.749950e-05 -1.549590e-05 -1.555110e-06 -7.334850e-08 -1.357350e-09 -3.070760e-15 -1.402410e-24 -1.821070e-29
  -390.0         X  9.235870e-27  8.117660e-27  7.134840e-27  6.271010e-27  5.511760e-27    0.021841    0.018582    0.015940    0.013758    0.011928    0.010373    0.009043    0.007896    0.006905    0.006044    0.005295    0.004641    0.004071    0.003572   0.003135   -0.019947   -0.018942   -0.018460   -0.017695   -0.016699   -0.015531   -0.014140   -0.012527   -0.010743   -0.008811   -0.006833   -0.004918   -0.003204  -0.001829  -0.000874 -3.270080e-04 -8.866510e-05 -1.570230e-05 -1.575830e-06 -7.432560e-08 -1.375430e-09 -3.111650e-15 -1.421070e-24 -1.845300e-29
  -388.0         X  9.359350e-27  8.226190e-27  7.230230e-27  6.354850e-27  5.585460e-27    0.022133    0.018831    0.016153    0.013942    0.012087    0.010512    0.009164    0.008002    0.006997    0.006125    0.005366    0.004704    0.004125    0.003619   0.003177   -0.020214   -0.019196   -0.018707   -0.017932   -0.016923   -0.015739   -0.014329   -0.012694   -0.010887   -0.008929   -0.006924   -0.004984   -0.003247  -0.001854  -0.000885 -3.313830e-04 -8.985130e-05 -1.591240e-05 -1.596910e-06 -7.532000e-08 -1.393830e-09 -3.153270e-15 -1.440070e-24 -1.869960e-29
  -386.0         X  9.485020e-27  8.336650e-27  7.327310e-27  6.440180e-27  5.660450e-27    0.022430    0.019083    0.016370    0.014130    0.012250    0.010653    0.009287    0.008110    0.007091    0.006207    0.005438    0.004767    0.004181    0.003668   0.003219   -0.020486   -0.019453   -0.018958   -0.018173   -0.017150   -0.015950   -0.014521   -0.012865   -0.011033   -0.009049   -0.007017   -0.005051   -0.003291  -0.001879  -0.000897 -3.358350e-04 -9.105850e-05 -1.612620e-05 -1.618360e-06 -7.633190e-08 -1.412550e-09 -3.195620e-15 -1.459400e-24 -1.895050e-29
  -384.0         X  9.612930e-27  8.449070e-27  7.426120e-27  6.527030e-27  5.736790e-27    0.022733    0.019341    0.016591    0.014320    0.012415    0.010797    0.009412    0.008219    0.007187    0.006291    0.005511    0.004831    0.004237    0.003718   0.003263   -0.020762   -0.019716   -0.019214   -0.018418   -0.017382   -0.016165   -0.014717   -0.013039   -0.011182   -0.009171   -0.007112   -0.005119   -0.003335  -0.001904  -0.000909 -3.403670e-04 -9.228720e-05 -1.634380e-05 -1.640200e-06 -7.736190e-08 -1.431610e-09 -3.238730e-15 -1.479070e-24 -1.920590e-29
  -382.0         X  9.743130e-27  8.563500e-27  7.526700e-27  6.615430e-27  5.814480e-27    0.023041    0.019603    0.016816    0.014514    0.012583    0.010943    0.009539    0.008330    0.007284    0.006376    0.005586    0.004897    0.004294    0.003768   0.003307   -0.021044   -0.019983   -0.019474   -0.018668   -0.017617   -0.016384   -0.014917   -0.013215   -0.011333   -0.009295   -0.007208   -0.005188   -0.003380  -0.001930  -0.000922 -3.449790e-04 -9.353780e-05 -1.656520e-05 -1.662430e-06 -7.841030e-08 -1.451010e-09 -3.282610e-15 -1.499100e-24 -1.946580e-29
  -380.0         X  9.875660e-27  8.679990e-27  7.629080e-27  6.705410e-27  5.893570e-27    0.023355    0.019870    0.017045    0.014712    0.012754    0.011092    0.009669    0.008444    0.007383    0.006463    0.005662    0.004963    0.004353    0.003819   0.003352   -0.021330   -0.020255   -0.019739   -0.018922   -0.017857   -0.016608   -0.015120   -0.013395   -0.011487   -0.009422   -0.007306   -0.005259   -0.003426  -0.001956  -0.000934 -3.496750e-04 -9.481100e-05 -1.679070e-05 -1.685060e-06 -7.947750e-08 -1.470760e-09 -3.327270e-15 -1.519490e-24 -1.973040e-29
  -378.0         X  1.001060e-26  8.798570e-27  7.733300e-27  6.797020e-27  5.974090e-27    0.023674    0.020141    0.017278    0.014913    0.012929    0.011244    0.009801    0.008559    0.007484    0.006551    0.005739    0.005031    0.004412    0.003871   0.003398   -0.021622   -0.020532   -0.020009   -0.019180   -0.018101   -0.016834   -0.015326   -0.013578   -0.011645   -0.009551   -0.007406   -0.005331   -0.003473  -0.001983  -0.000947 -3.544550e-04 -9.610700e-05 -1.702020e-05 -1.708090e-06 -8.056400e-08 -1.490860e-09 -3.372740e-15 -1.540240e-24 -1.999980e-29
  -376.0         X  1.014790e-26  8.919300e-27  7.839420e-27  6.890280e-27  6.056060e-27    0.023999    0.020418    0.017515    0.015118    0.013106    0.011398    0.009936    0.008677    0.007587    0.006641    0.005818    0.005100    0.004473    0.003925   0.003444   -0.021918   -0.020814   -0.020284   -0.019444   -0.018349   -0.017066   -0.015537   -0.013765   -0.011804   -0.009682   -0.007508   -0.005404   -0.003521  -0.002010  -0.000960 -3.593210e-04 -9.742660e-05 -1.725390e-05 -1.731540e-06 -8.167010e-08 -1.511330e-09 -3.419040e-15 -1.561370e-24 -2.027410e-29
  -374.0         X  1.028780e-26  9.042220e-27  7.947460e-27  6.985240e-27  6.139520e-27    0.024330    0.020699    0.017756    0.015326    0.013287    0.011555    0.010073    0.008796    0.007692    0.006733    0.005898    0.005170    0.004535    0.003979   0.003492   -0.022221   -0.021101   -0.020564   -0.019712   -0.018602   -0.017301   -0.015751   -0.013954   -0.011967   -0.009815   -0.007611   -0.005479   -0.003569  -0.002038  -0.000973 -3.642760e-04 -9.877010e-05 -1.749190e-05 -1.755420e-06 -8.279630e-08 -1.532170e-09 -3.466170e-15 -1.582880e-24 -2.055330e-29
  -372.0         X  1.043020e-26  9.167390e-27  8.057470e-27  7.081930e-27  6.224510e-27    0.024667    0.020986    0.018002    0.015539    0.013471    0.011715    0.010212    0.008918    0.007798    0.006826    0.005980    0.005242    0.004598    0.004034   0.003540   -0.022528   -0.021393   -0.020848   -0.019985   -0.018860   -0.017541   -0.015969   -0.014148   -0.012133   -0.009951   -0.007717   -0.005554   -0.003619  -0.002066  -0.000987 -3.693220e-04 -1.001380e-04 -1.773420e-05 -1.779740e-06 -8.394320e-08 -1.553390e-09 -3.514170e-15 -1.604780e-24 -2.083760e-29
  -370.0         X  1.057520e-26  9.294850e-27  8.169490e-27  7.180390e-27  6.311050e-27    0.025010    0.021278    0.018253    0.015755    0.013658    0.011878    0.010355    0.009042    0.007907    0.006921    0.006063    0.005315    0.004661    0.004090   0.003590   -0.022842   -0.021691   -0.021138   -0.020263   -0.019122   -0.017785   -0.016191   -0.014344   -0.012302   -0.010090   -0.007824   -0.005632   -0.003669  -0.002095  -0.001001 -3.744600e-04 -1.015310e-04 -1.798090e-05 -1.804500e-06 -8.511100e-08 -1.575000e-09 -3.563040e-15 -1.627090e-24 -2.112710e-29
  -368.0         X  1.072290e-26  9.424650e-27  8.283580e-27  7.280670e-27  6.399180e-27    0.025359    0.021576    0.018508    0.015975    0.013849    0.012044    0.010499    0.009169    0.008017    0.007018    0.006148    0.005389    0.004727    0.004147   0.003640   -0.023161   -0.021994   -0.021434   -0.020546   -0.019390   -0.018033   -0.016417   -0.014545   -0.012474   -0.010231   -0.007933   -0.005710   -0.003720  -0.002124  -0.001015 -3.796930e-04 -1.029500e-04 -1.823220e-05 -1.829710e-06 -8.630030e-08 -1.597010e-09 -3.612820e-15 -1.649810e-24 -2.142200e-29
  -366.0         X  1.087330e-26  9.556860e-27  8.399780e-27  7.382800e-27  6.488950e-27    0.025715    0.021878    0.018767    0.016199    0.014044    0.012213    0.010647    0.009297    0.008130    0.007116    0.006234    0.005465    0.004793    0.004205   0.003691   -0.023486   -0.022302   -0.021735   -0.020834   -0.019662   -0.018286   -0.016648   -0.014749   -0.012649   -0.010374   -0.008045   -0.005791   -0.003773  -0.002154  -0.001029 -3.850220e-04 -1.043950e-04 -1.848810e-05 -1.855400e-06 -8.751170e-08 -1.619430e-09 -3.663520e-15 -1.672940e-24 -2.172230e-29
  -364.0         X  1.102650e-26  9.691520e-27  8.518140e-27  7.486830e-27  6.580380e-27    0.026078    0.022187    0.019032    0.016427    0.014242    0.012386    0.010797    0.009428    0.008244    0.007217    0.006322    0.005542    0.004861    0.004265   0.003743   -0.023817   -0.022617   -0.022041   -0.021128   -0.019939   -0.018544   -0.016883   -0.014957   -0.012827   -0.010520   -0.008158   -0.005872   -0.003826  -0.002184  -0.001043 -3.904510e-04 -1.058670e-04 -1.874870e-05 -1.881560e-06 -8.874550e-08 -1.642260e-09 -3.715150e-15 -1.696510e-24 -2.202810e-29
  -362.0         X  1.118260e-26  9.828690e-27  8.638700e-27  7.592790e-27  6.673510e-27    0.026447    0.022501    0.019301    0.016660    0.014443    0.012561    0.010950    0.009562    0.008361    0.007319    0.006412    0.005620    0.004929    0.004325   0.003796   -0.024154   -0.022937   -0.022353   -0.021427   -0.020221   -0.018807   -0.017122   -0.015169   -0.013009   -0.010669   -0.008274   -0.005955   -0.003880  -0.002215  -0.001058 -3.959800e-04 -1.073660e-04 -1.901430e-05 -1.908210e-06 -9.000240e-08 -1.665520e-09 -3.767750e-15 -1.720510e-24 -2.233970e-29
  -360.0         X  1.134160e-26  9.968430e-27  8.761520e-27  7.700740e-27  6.768390e-27    0.026823    0.022821    0.019576    0.016897    0.014649    0.012740    0.011105    0.009698    0.008480    0.007423    0.006503    0.005700    0.004999    0.004386   0.003850   -0.024498   -0.023263   -0.022671   -0.021732   -0.020509   -0.019074   -0.017365   -0.015385   -0.013194   -0.010821   -0.008391   -0.006040   -0.003935  -0.002246  -0.001073 -4.016140e-04 -1.088940e-04 -1.928480e-05 -1.935350e-06 -9.128290e-08 -1.689210e-09 -3.821340e-15 -1.744970e-24 -2.265710e-29
  -358.0         X  1.150360e-26  1.011080e-26  8.886650e-27  7.810720e-27  6.865060e-27    0.027207    0.023147    0.019856    0.017139    0.014858    0.012922    0.011264    0.009836    0.008601    0.007529    0.006596    0.005782    0.005071    0.004449   0.003905   -0.024848   -0.023596   -0.022995   -0.022043   -0.020802   -0.019347   -0.017613   -0.015605   -0.013382   -0.010976   -0.008511   -0.006126   -0.003991  -0.002279  -0.001088 -4.073530e-04 -1.104500e-04 -1.956040e-05 -1.963010e-06 -9.258740e-08 -1.713350e-09 -3.875930e-15 -1.769880e-24 -2.298040e-29
  -356.0         X  1.166860e-26  1.025590e-26  9.014150e-27  7.922780e-27  6.963550e-27    0.027597    0.023479    0.020141    0.017385    0.015071    0.013107    0.011426    0.009978    0.008725    0.007637    0.006690    0.005865    0.005144    0.004513   0.003961   -0.025205   -0.023935   -0.023325   -0.022359   -0.021101   -0.019624   -0.017866   -0.015828   -0.013574   -0.011133   -0.008633   -0.006214   -0.004049  -0.002311  -0.001104 -4.132010e-04 -1.120360e-04 -1.984120e-05 -1.991190e-06 -9.391660e-08 -1.737950e-09 -3.931560e-15 -1.795270e-24 -2.330990e-29
  -354.0         X  1.183680e-26  1.040370e-26  9.144070e-27  8.036970e-27  7.063910e-27    0.027995    0.023818    0.020431    0.017635    0.015289    0.013296    0.011591    0.010122    0.008851    0.007747    0.006787    0.005949    0.005218    0.004578   0.004018   -0.025568   -0.024280   -0.023662   -0.022682   -0.021405   -0.019907   -0.018124   -0.016057   -0.013770   -0.011294   -0.008758   -0.006304   -0.004107  -0.002345  -0.001120 -4.191600e-04 -1.136520e-04 -2.012740e-05 -2.019910e-06 -9.527100e-08 -1.763010e-09 -3.988240e-15 -1.821130e-24 -2.364560e-29
  -352.0         X  1.200820e-26  1.055430e-26  9.276460e-27  8.153330e-27  7.166180e-27    0.028401    0.024163    0.020727    0.017891    0.015510    0.013489    0.011758    0.010268    0.008979    0.007859    0.006885    0.006036    0.005293    0.004644   0.004076   -0.025939   -0.024632   -0.024004   -0.023010   -0.021715   -0.020196   -0.018386   -0.016289   -0.013969   -0.011458   -0.008885   -0.006395   -0.004167  -0.002379  -0.001136 -4.252330e-04 -1.152980e-04 -2.041900e-05 -2.049180e-06 -9.665130e-08 -1.788550e-09 -4.046010e-15 -1.847490e-24 -2.398770e-29
