Name:A X_Dim:15 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6         7         8         9        10        11        12        13        14        15            16            17            18            19        20        21        22        23        24        25        26        27        28        29        30        31            32            33            34            35            36            37            38            39            40            41            42            43
  -400.0         X  1.088010e-64  7.079460e-65  4.606480e-65  2.997360e-65  1.950330e-65   0.064181   0.039540  0.025092  0.016124  0.010418  0.006749  0.004377  0.002841  0.001844  0.001197  0.000778  5.049240e-04  3.279230e-04  2.129800e-04  1.383320e-04 -0.073169 -0.062621 -0.058028 -0.051281 -0.043363 -0.035173 -0.026794 -0.018778 -0.011854 -0.006453 -0.002898 -0.001006 -2.473230e-04 -3.867930e-05 -3.309640e-06 -1.249670e-07 -1.608980e-09 -5.009140e-12 -2.350560e-15 -8.917900e-20 -1.499980e-25 -2.338270e-44 -1.861720e-75 -1.020500e-91
  -398.0         X  1.100060e-64  7.157860e-65  4.657500e-65  3.030560e-65  1.971950e-65   0.064870   0.039965  0.025361  0.016297  0.010530  0.006821  0.004424  0.002871  0.001864  0.001210  0.000786  5.103380e-04  3.314380e-04  2.152620e-04  1.398150e-04 -0.073955 -0.063294 -0.058652 -0.051832 -0.043829 -0.035550 -0.027082 -0.018980 -0.011981 -0.006522 -0.002929 -0.001017 -2.499730e-04 -3.909360e-05 -3.345070e-06 -1.263050e-07 -1.626200e-09 -5.062730e-12 -2.375740e-15 -9.013620e-20 -1.516130e-25 -2.363860e-44 -1.882760e-75 -1.032250e-91
  -396.0         X  1.112280e-64  7.237430e-65  4.709280e-65  3.064260e-65  1.993880e-65   0.065570   0.040396  0.025635  0.016473  0.010644  0.006895  0.004472  0.002902  0.001884  0.001223  0.000794  5.158300e-04  3.350040e-04  2.175780e-04  1.413190e-04 -0.074753 -0.063977 -0.059284 -0.052392 -0.044302 -0.035934 -0.027374 -0.019185 -0.012110 -0.006592 -0.002961 -0.001028 -2.526630e-04 -3.951390e-05 -3.381020e-06 -1.276610e-07 -1.643660e-09 -5.117110e-12 -2.401280e-15 -9.110730e-20 -1.532530e-25 -2.389830e-44 -1.904130e-75 -1.044180e-91
  -394.0         X  1.124690e-64  7.318190e-65  4.761840e-65  3.098470e-65  2.016140e-65   0.066280   0.040834  0.025912  0.016651  0.010759  0.006969  0.004520  0.002933  0.001904  0.001236  0.000803  5.214020e-04  3.386220e-04  2.199270e-04  1.428440e-04 -0.075562 -0.064669 -0.059926 -0.052959 -0.044781 -0.036323 -0.027670 -0.019392 -0.012242 -0.006663 -0.002993 -0.001039 -2.553910e-04 -3.994040e-05 -3.417480e-06 -1.290370e-07 -1.661370e-09 -5.172280e-12 -2.427190e-15 -9.209250e-20 -1.549160e-25 -2.416180e-44 -1.925820e-75 -1.056290e-91
  -392.0         X  1.137290e-64  7.400160e-65  4.815190e-65  3.133190e-65  2.038740e-65   0.067000   0.041277  0.026194  0.016832  0.010875  0.007045  0.004569  0.002965  0.001925  0.001250  0.000812  5.270560e-04  3.422930e-04  2.223110e-04  1.443930e-04 -0.076383 -0.065372 -0.060577 -0.053534 -0.045268 -0.036718 -0.027971 -0.019603 -0.012375 -0.006736 -0.003025 -0.001050 -2.581600e-04 -4.037310e-05 -3.454480e-06 -1.304340e-07 -1.679350e-09 -5.228250e-12 -2.453490e-15 -9.309210e-20 -1.566040e-25 -2.442920e-44 -1.947840e-75 -1.068590e-91
  -390.0         X  1.150070e-64  7.483360e-65  4.869340e-65  3.168430e-65  2.061670e-65   0.067731   0.041728  0.026479  0.017015  0.010994  0.007122  0.004619  0.002998  0.001946  0.001263  0.000820  5.327930e-04  3.460180e-04  2.247300e-04  1.459630e-04 -0.077216 -0.066086 -0.061238 -0.054118 -0.045762 -0.037118 -0.028276 -0.019817 -0.012509 -0.006809 -0.003058 -0.001061 -2.609690e-04 -4.081210e-05 -3.492030e-06 -1.318510e-07 -1.697590e-09 -5.285040e-12 -2.480160e-15 -9.410650e-20 -1.583160e-25 -2.470060e-44 -1.970190e-75 -1.081080e-91
  -388.0         X  1.163050e-64  7.567820e-65  4.924310e-65  3.204210e-65  2.084950e-65   0.068473   0.042185  0.026770  0.017202  0.011114  0.007200  0.004669  0.003030  0.001967  0.001277  0.000829  5.386140e-04  3.497980e-04  2.271850e-04  1.475580e-04 -0.078062 -0.066809 -0.061909 -0.054711 -0.046263 -0.037525 -0.028586 -0.020033 -0.012646 -0.006884 -0.003092 -0.001073 -2.638200e-04 -4.125770e-05 -3.530130e-06 -1.332880e-07 -1.716090e-09 -5.342670e-12 -2.507230e-15 -9.513570e-20 -1.600540e-25 -2.497610e-44 -1.992890e-75 -1.093770e-91
  -386.0         X  1.176220e-64  7.653570e-65  4.980110e-65  3.240520e-65  2.108590e-65   0.069226   0.042648  0.027064  0.017390  0.011236  0.007279  0.004721  0.003064  0.001989  0.001291  0.000838  5.445220e-04  3.536350e-04  2.296760e-04  1.491750e-04 -0.078920 -0.067544 -0.062590 -0.055313 -0.046772 -0.037937 -0.028900 -0.020254 -0.012785 -0.006959 -0.003126 -0.001085 -2.667130e-04 -4.170980e-05 -3.568790e-06 -1.347470e-07 -1.734870e-09 -5.401150e-12 -2.534700e-15 -9.618020e-20 -1.618180e-25 -2.525570e-44 -2.015950e-75 -1.106660e-91
  -384.0         X  1.189600e-64  7.740620e-65  5.036770e-65  3.277400e-65  2.132590e-65   0.069990   0.043119  0.027362  0.017582  0.011360  0.007359  0.004773  0.003097  0.002011  0.001306  0.000848  5.505180e-04  3.575280e-04  2.322040e-04  1.508170e-04 -0.079791 -0.068289 -0.063281 -0.055923 -0.047288 -0.038356 -0.029219 -0.020477 -0.012926 -0.007036 -0.003160 -0.001097 -2.696490e-04 -4.216860e-05 -3.608020e-06 -1.362280e-07 -1.753930e-09 -5.460490e-12 -2.562580e-15 -9.724020e-20 -1.636080e-25 -2.553950e-44 -2.039360e-75 -1.119750e-91
  -382.0         X  1.203180e-64  7.829000e-65  5.094290e-65  3.314830e-65  2.156950e-65   0.070766   0.043597  0.027665  0.017777  0.011486  0.007440  0.004826  0.003132  0.002033  0.001320  0.000857  5.566040e-04  3.614790e-04  2.347700e-04  1.524830e-04 -0.080675 -0.069046 -0.063982 -0.056543 -0.047812 -0.038781 -0.029543 -0.020704 -0.013069 -0.007114 -0.003195 -0.001109 -2.726290e-04 -4.263430e-05 -3.647840e-06 -1.377310e-07 -1.773270e-09 -5.520720e-12 -2.590870e-15 -9.831600e-20 -1.654240e-25 -2.582770e-44 -2.063130e-75 -1.133040e-91
