Name:A X_Dim:200 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36         37         38        39        40            41            42            43
  -400.0         X  2.821980e-07  2.731480e-07  2.643890e-07  2.559120e-07  2.477060e-07     8.930610     8.409610     7.935020     7.502380     7.105840     6.740660     6.402960     6.089500     5.797600     5.524980     5.269710     5.030150     4.804850     4.592590     4.392270    -4.821810    -4.712120    -4.657950    -4.569940    -4.451330    -4.306180    -4.124480    -3.901060    -3.636240    -3.325210    -2.973520    -2.587520    -2.178000   -1.761270   -1.354760   -0.976636   -0.648573  -0.387304  -0.200864 -0.086335 -0.029424 -9.729190e-04 -3.964570e-06 -2.298350e-07
  -398.0         X  2.842820e-07  2.751660e-07  2.663420e-07  2.578010e-07  2.495350e-07     9.017470     8.491120     8.011680     7.574630     7.174060     6.805200     6.464090     6.147490     5.852660     5.577320     5.319520     5.077580     4.850050     4.635700     4.433420    -4.870380    -4.759530    -4.704790    -4.615860    -4.495990    -4.349320    -4.165720    -3.939950    -3.672370    -3.358100    -3.002770    -2.612800    -2.199100   -1.778160   -1.367600   -0.985759   -0.654533  -0.390797  -0.202638 -0.087081 -0.029672 -9.806710e-04 -3.994420e-06 -2.315300e-07
  -396.0         X  2.863870e-07  2.772020e-07  2.683120e-07  2.597080e-07  2.513800e-07     9.105480     8.573700     8.089340     7.647810     7.243170     6.870560     6.526000     6.206210     5.908430     5.630330     5.369960     5.125610     4.895830     4.679350     4.475080    -4.919600    -4.807590    -4.752260    -4.662390    -4.541260    -4.393040    -4.207500    -3.979370    -3.708970    -3.391430    -3.032400    -2.638410    -2.220470   -1.795270   -1.380590   -0.994996   -0.660566  -0.394332  -0.204433 -0.087835 -0.029923 -9.885030e-04 -4.024560e-06 -2.332400e-07
  -394.0         X  2.885110e-07  2.792580e-07  2.703010e-07  2.616330e-07  2.532430e-07     9.194630     8.657360     8.168010     7.721950     7.313170     6.936770     6.588720     6.265690     5.964910     5.684020     5.421030     5.174250     4.942180     4.723560     4.517260    -4.969500    -4.856290    -4.800380    -4.709560    -4.587140    -4.437350    -4.249850    -4.019310    -3.746080    -3.425200    -3.062430    -2.664350    -2.242120   -1.812600   -1.393760   -1.004350   -0.666673  -0.397910  -0.206249 -0.088597 -0.030176 -9.964170e-04 -4.054980e-06 -2.349670e-07
  -392.0         X  2.906550e-07  2.813330e-07  2.723090e-07  2.635760e-07  2.551230e-07     9.284970     8.742110     8.247700     7.797060     7.384080     7.003830     6.652240     6.325930     6.022110     5.738390     5.472760     5.223510     4.989120     4.768330     4.559980    -5.020080    -4.905670    -4.849160    -4.757370    -4.633650    -4.482270    -4.292780    -4.059800    -3.783680    -3.459430    -3.092860    -2.690640    -2.264060   -1.830150   -1.407090   -1.013820   -0.672856  -0.401531  -0.208087 -0.089368 -0.030432 -1.004410e-03 -4.085710e-06 -2.367100e-07
  -390.0         X  2.928200e-07  2.834270e-07  2.743370e-07  2.655380e-07  2.570220e-07     9.376500     8.827980     8.328450     7.873140     7.455920     7.071770     6.716580     6.386960     6.080050     5.793460     5.525160     5.273390     5.036660     4.813660     4.603240    -5.071360    -4.955720    -4.898600    -4.805830    -4.680790    -4.527800    -4.336290    -4.100830    -3.821790    -3.494110    -3.123700    -2.717280    -2.286280   -1.847930   -1.420600   -1.023410   -0.679115  -0.405195  -0.209946 -0.090149 -0.030692 -1.012490e-03 -4.116730e-06 -2.384690e-07
  -388.0         X  2.950050e-07  2.855420e-07  2.763830e-07  2.675180e-07  2.589380e-07     9.469240     8.914990     8.410250     7.950230     7.528690     7.140590     6.781760     6.448770     6.138730     5.849240     5.578220     5.323920     5.084810     4.859570     4.647050    -5.123340    -5.006450    -4.948730    -4.854960    -4.728580    -4.573950    -4.380400    -4.142430    -3.860410    -3.529270    -3.154940    -2.744270    -2.308800   -1.865940   -1.434270   -1.033120   -0.685451  -0.408905  -0.211828 -0.090938 -0.030953 -1.020660e-03 -4.148050e-06 -2.402450e-07
  -386.0         X  2.972110e-07  2.876770e-07  2.784490e-07  2.695170e-07  2.608730e-07     9.563220     9.003160     8.493140     8.028330     7.602420     7.210310     6.847790     6.511380     6.198180     5.905740     5.631970     5.375100     5.133580     4.906070     4.691420    -5.176030    -5.057890    -4.999540    -4.904770    -4.777030    -4.620740    -4.425100    -4.184590    -3.899560    -3.564900    -3.186620    -2.771630    -2.331620   -1.884190   -1.448130   -1.042960   -0.691867  -0.412659  -0.213732 -0.091736 -0.031218 -1.028910e-03 -4.179680e-06 -2.420380e-07
  -384.0         X  2.994380e-07  2.898320e-07  2.805340e-07  2.715350e-07  2.628260e-07     9.658450     9.092490     8.577130     8.107460     7.677120     7.280950     6.914680     6.574810     6.258400     5.962970     5.686420     5.426930     5.182970     4.953170     4.736350    -5.229460    -5.110040    -5.051060    -4.955260    -4.826140    -4.668170    -4.470430    -4.227330    -3.939250    -3.601010    -3.218710    -2.799350    -2.354730   -1.902680   -1.462160   -1.052920   -0.698363  -0.416460  -0.215658 -0.092544 -0.031487 -1.037240e-03 -4.211620e-06 -2.438480e-07
  -382.0         X  3.016860e-07  2.920070e-07  2.826400e-07  2.735730e-07  2.647970e-07     9.754960     9.183020     8.662230     8.187640     7.752810     7.352510     6.982450     6.639080     6.319410     6.020950     5.741560     5.479440     5.233000     5.000870     4.781870    -5.283640    -5.162920    -5.103300    -5.006460    -4.875940    -4.716250    -4.516380    -4.270660    -3.979480    -3.637620    -3.251250    -2.827440    -2.378160   -1.921410   -1.476380   -1.063000   -0.704940  -0.420307  -0.217607 -0.093360 -0.031758 -1.045670e-03 -4.243870e-06 -2.456750e-07
