Name:B X_Dim:200 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39          40         41         42        43
  -400.0         X   0.071648   0.071370   0.071094   0.070818   0.070544     9.257420     9.199910     9.142730     9.086160     9.030190     8.974800     8.919990     8.865750     8.812060     8.758920     8.706320     8.654250     8.602700     8.551660     8.501120    -0.738325    -0.735949    -0.734745    -0.732746    -0.729962    -0.726407    -0.721710    -0.715524    -0.707532    -0.697099    -0.683687    -0.666557    -0.644880   -0.617906   -0.584868   -0.545073   -0.498593   -0.446115   -0.388927   -0.329046   -0.269781  -0.155493  -0.073065 -0.051094
  -398.0         X   0.072302   0.072022   0.071743   0.071464   0.071187     9.347560     9.289460     9.231700     9.174540     9.117990     9.062040     9.006660     8.951860     8.897620     8.843940     8.790800     8.738190     8.686110     8.634550     8.583500    -0.745993    -0.743591    -0.742374    -0.740354    -0.737540    -0.733947    -0.729200    -0.722947    -0.714870    -0.704325    -0.690770    -0.673455    -0.651547   -0.624284   -0.590894   -0.550674   -0.503699   -0.450663   -0.392870   -0.332358   -0.272473  -0.157006  -0.073753 -0.051569
  -396.0         X   0.072965   0.072681   0.072399   0.072118   0.071839     9.438890     9.380190     9.321830     9.264090     9.206950     9.150420     9.094470     9.039110     8.984310     8.930070     8.876380     8.823240     8.770620     8.718530     8.666950    -0.753768    -0.751340    -0.750111    -0.748068    -0.745224    -0.741593    -0.736794    -0.730474    -0.722310    -0.711652    -0.697951    -0.680451    -0.658307   -0.630751   -0.597003   -0.556352   -0.508875   -0.455273   -0.396867   -0.335715   -0.275201  -0.158540  -0.074450 -0.052049
  -394.0         X   0.073635   0.073349   0.073064   0.072780   0.072498     9.531420     9.472120     9.413150     9.354800     9.297080     9.239960     9.183430     9.127490     9.072130     9.017330     8.963090     8.909390     8.856230     8.803600     8.751490    -0.761653    -0.759199    -0.757956    -0.755891    -0.753016    -0.749346    -0.744496    -0.738107    -0.729855    -0.719082    -0.705233    -0.687544    -0.665161   -0.637309   -0.603197   -0.562110   -0.514123   -0.459948   -0.400918   -0.339118   -0.277965  -0.160093  -0.075156 -0.052536
  -392.0         X   0.074313   0.074024   0.073737   0.073451   0.073166     9.625180     9.565250     9.505670     9.446720     9.388390     9.330680     9.273570     9.217040     9.161110     9.105740     9.050930     8.996680     8.942970     8.889790     8.837140    -0.769649    -0.767168    -0.765912    -0.763825    -0.760919    -0.757208    -0.752306    -0.745848    -0.737507    -0.726616    -0.712617    -0.694737    -0.672112   -0.643958   -0.609478   -0.567947   -0.519444   -0.464687   -0.405025   -0.342567   -0.280768  -0.161667  -0.075871 -0.053029
  -390.0         X   0.075000   0.074708   0.074418   0.074129   0.073842     9.720170     9.659620     9.599410     9.539850     9.480910     9.422600     9.364890     9.307780     9.251260     9.195310     9.139940     9.085120     9.030850     8.977120     8.923920    -0.777758    -0.775250    -0.773980    -0.771871    -0.768933    -0.765182    -0.760226    -0.753698    -0.745266    -0.734257    -0.720106    -0.702031    -0.679161   -0.650701   -0.615847   -0.573867   -0.524839   -0.469491   -0.409189   -0.346063   -0.283608  -0.163262  -0.076595 -0.053527
  -388.0         X   0.075695   0.075401   0.075108   0.074816   0.074526     9.816430     9.755240     9.694400     9.634210     9.574660     9.515730     9.457420     9.399720     9.342600     9.286070     9.230120     9.174730     9.119890     9.065600     9.011850    -0.785983    -0.783448    -0.782163    -0.780031    -0.777061    -0.773269    -0.768259    -0.761660    -0.753136    -0.742006    -0.727701    -0.709429    -0.686309   -0.657540   -0.622306   -0.579869   -0.530310   -0.474363   -0.413410   -0.349607   -0.286486  -0.164878  -0.077329 -0.054033
  -386.0         X   0.076399   0.076102   0.075806   0.075511   0.075218     9.913970     9.852140     9.790660     9.729840     9.669660     9.610110     9.551190     9.492870     9.435160     9.378040     9.321500     9.265520     9.210110     9.155260     9.100940    -0.794324    -0.791762    -0.790463    -0.788307    -0.785305    -0.781471    -0.776407    -0.769735    -0.761117    -0.749866    -0.735404    -0.716932    -0.693559   -0.664475   -0.628856   -0.585957   -0.535857   -0.479303   -0.417691   -0.353200   -0.289405  -0.166515  -0.078071 -0.054544
  -384.0         X   0.077111   0.076811   0.076513   0.076215   0.075919    10.012800     9.950330     9.888200     9.826740     9.765920     9.705750     9.646200     9.587270     9.528950     9.471230     9.414090     9.357530     9.301540     9.246100     9.191220    -0.802786    -0.800195    -0.798882    -0.796702    -0.793667    -0.789791    -0.784671    -0.777926    -0.769213    -0.757838    -0.743217    -0.724542    -0.700912   -0.671509   -0.635500   -0.592130   -0.541483   -0.484312   -0.422030   -0.356843   -0.292363  -0.168174  -0.078824 -0.055062
  -382.0         X   0.077833   0.077530   0.077228   0.076928   0.076629    10.113000    10.049800     9.987050     9.924940     9.863480     9.802670     9.742490     9.682940     9.624000     9.565670     9.507930     9.450770     9.394180     9.338160     9.282700    -0.811368    -0.808749    -0.807422    -0.805218    -0.802149    -0.798230    -0.793053    -0.786234    -0.777425    -0.765925    -0.751142    -0.732261    -0.708370   -0.678643   -0.642237   -0.598391   -0.547188   -0.489391   -0.426431   -0.360536   -0.295361  -0.169856  -0.079586 -0.055586
