Name:C X_Dim:200 Y_Dim:600 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39            40         41         42         43
  -400.0         X   0.062352   0.062300   0.062249   0.062197   0.062145     9.275590     9.269760     9.263910     9.258060     9.252220     9.246380     9.240550     9.234730     9.228920     9.223110     9.217300     9.211510     9.205720     9.199930     9.194150  -0.025155  -0.025142  -0.025135  -0.025124  -0.025109  -0.025090  -0.025064  -0.025029  -0.024984  -0.024924  -0.024845  -0.024740  -0.024603  -0.024422  -0.024186  -0.023876  -0.023471  -0.022949  -0.022279  -0.021429 -2.038350e-02  -0.017424  -0.013705  -0.012195
  -398.0         X   0.062985   0.062933   0.062881   0.062828   0.062776     9.366000     9.360110     9.354190     9.348290     9.342380     9.336490     9.330600     9.324720     9.318840     9.312970     9.307110     9.301250     9.295400     9.289560     9.283720  -0.025424  -0.025411  -0.025404  -0.025393  -0.025378  -0.025358  -0.025332  -0.025297  -0.025251  -0.025191  -0.025111  -0.025005  -0.024866  -0.024684  -0.024445  -0.024131  -0.023722  -0.023194  -0.022517  -0.021658 -2.060110e-02  -0.017610  -0.013850  -0.012324
  -396.0         X   0.063627   0.063574   0.063521   0.063469   0.063416     9.457590     9.451640     9.445670     9.439700     9.433740     9.427780     9.421830     9.415890     9.409950     9.404020     9.398100     9.392180     9.386270     9.380360     9.374470  -0.025697  -0.025684  -0.025677  -0.025666  -0.025651  -0.025631  -0.025604  -0.025569  -0.025523  -0.025461  -0.025380  -0.025274  -0.025133  -0.024949  -0.024707  -0.024390  -0.023977  -0.023443  -0.022759  -0.021890 -2.082180e-02  -0.017798  -0.013997  -0.012455
  -394.0         X   0.064277   0.064224   0.064171   0.064117   0.064064     9.550400     9.544380     9.538340     9.532310     9.526290     9.520270     9.514260     9.508260     9.502260     9.496270     9.490280     9.484300     9.478330     9.472360     9.466400  -0.025974  -0.025961  -0.025954  -0.025943  -0.025927  -0.025907  -0.025880  -0.025844  -0.025798  -0.025736  -0.025654  -0.025546  -0.025404  -0.025218  -0.024973  -0.024653  -0.024235  -0.023696  -0.023003  -0.022126 -2.104570e-02  -0.017989  -0.014147  -0.012588
  -392.0         X   0.064937   0.064883   0.064829   0.064775   0.064722     9.644420     9.638350     9.632250     9.626150     9.620070     9.613990     9.607910     9.601840     9.595780     9.589730     9.583680     9.577640     9.571610     9.565580     9.559560  -0.026255  -0.026242  -0.026235  -0.026224  -0.026208  -0.026187  -0.026160  -0.026124  -0.026077  -0.026014  -0.025931  -0.025823  -0.025679  -0.025490  -0.025244  -0.024920  -0.024497  -0.023952  -0.023252  -0.022365 -2.127290e-02  -0.018183  -0.014299  -0.012723
  -390.0         X   0.065606   0.065551   0.065497   0.065442   0.065388     9.739700     9.733560     9.727390     9.721240     9.715090     9.708940     9.702800     9.696670     9.690550     9.684430     9.678320     9.672220     9.666120     9.660030     9.653940  -0.026540  -0.026527  -0.026520  -0.026508  -0.026492  -0.026472  -0.026444  -0.026408  -0.026360  -0.026297  -0.026213  -0.026103  -0.025958  -0.025767  -0.025518  -0.025190  -0.024763  -0.024212  -0.023504  -0.022607 -2.150340e-02  -0.018379  -0.014453  -0.012859
  -388.0         X   0.066284   0.066229   0.066174   0.066119   0.066064     9.836240     9.830040     9.823810     9.817580     9.811370     9.805160     9.798960     9.792760     9.786580     9.780390     9.774220     9.768050     9.761890     9.755730     9.749590  -0.026830  -0.026816  -0.026809  -0.026797  -0.026781  -0.026760  -0.026733  -0.026696  -0.026648  -0.026583  -0.026499  -0.026388  -0.026241  -0.026048  -0.025796  -0.025465  -0.025033  -0.024475  -0.023760  -0.022853 -2.173720e-02  -0.018579  -0.014609  -0.012998
  -386.0         X   0.066971   0.066916   0.066860   0.066804   0.066749     9.934070     9.927800     9.921510     9.915220     9.908940     9.902660     9.896400     9.890140     9.883880     9.877640     9.871400     9.865160     9.858940     9.852720     9.846500  -0.027123  -0.027110  -0.027102  -0.027091  -0.027074  -0.027053  -0.027025  -0.026988  -0.026939  -0.026874  -0.026789  -0.026676  -0.026528  -0.026333  -0.026078  -0.025743  -0.025307  -0.024743  -0.024020  -0.023103 -2.197450e-02  -0.018781  -0.014767  -0.013139
  -384.0         X   0.067668   0.067612   0.067556   0.067500   0.067443    10.033200    10.026900    10.020500    10.014200    10.007800    10.001500     9.995140     9.988810     9.982490     9.976180     9.969870     9.963570     9.957280     9.951000     9.944720  -0.027421  -0.027407  -0.027400  -0.027388  -0.027372  -0.027351  -0.027322  -0.027285  -0.027235  -0.027170  -0.027083  -0.026969  -0.026819  -0.026622  -0.026364  -0.026026  -0.025584  -0.025014  -0.024283  -0.023356 -2.221530e-02  -0.018986  -0.014928  -0.013281
  -382.0         X   0.068375   0.068318   0.068261   0.068205   0.068148    10.133700    10.127300    10.120900    10.114400    10.108000    10.101600    10.095200    10.088800    10.082400    10.076000    10.069700    10.063300    10.056900    10.050600    10.044300  -0.027724  -0.027710  -0.027702  -0.027690  -0.027674  -0.027652  -0.027624  -0.027585  -0.027536  -0.027469  -0.027382  -0.027267  -0.027115  -0.026916  -0.026655  -0.026313  -0.025867  -0.025290  -0.024551  -0.023613 -2.245960e-02  -0.019195  -0.015091  -0.013426
