Name:B X_Dim:300 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39          40          41         42         43
  -400.0         X   0.158446   0.157965   0.157485   0.157007   0.156531     16.702200     16.618100     16.534300     16.451400     16.369300     16.288000     16.207500     16.127700     16.048700     15.970500     15.892900     15.816100     15.740000     15.664600     15.589800    -1.033460    -1.030280    -1.028670    -1.025990    -1.022260    -1.017500    -1.011200    -1.002910    -0.992205    -0.978221    -0.960244    -0.937275    -0.908204   -0.872013   -0.827664   -0.774206   -0.711708   -0.641049   -0.563901   -0.482889   -0.402362   -0.245179  -0.127749  -0.094831
  -398.0         X   0.159832   0.159346   0.158862   0.158380   0.157899     16.857000     16.772100     16.687500     16.603800     16.520800     16.438700     16.357400     16.276800     16.197000     16.118000     16.039700     15.962100     15.885200     15.809100     15.733600    -1.043950    -1.040730    -1.039100    -1.036390    -1.032620    -1.027810    -1.021450    -1.013080    -1.002250    -0.988125    -0.969959    -0.946750    -0.917374   -0.880805   -0.835993   -0.781979   -0.718830   -0.647436   -0.569489   -0.487640   -0.406287   -0.247512  -0.128923  -0.095689
  -396.0         X   0.161234   0.160743   0.160255   0.159768   0.159283     17.013800     16.927900     16.842500     16.757900     16.674200     16.591300     16.509100     16.427700     16.347200     16.267300     16.188200     16.109900     16.032200     15.955300     15.879100    -1.054570    -1.051320    -1.049670    -1.046940    -1.043130    -1.038260    -1.031840    -1.023370    -1.012440    -0.998161    -0.979805    -0.956353    -0.926669   -0.889716   -0.844435   -0.789855   -0.726046   -0.653908   -0.575150   -0.492453   -0.410263   -0.249873  -0.130111  -0.096557
  -394.0         X   0.162651   0.162156   0.161663   0.161172   0.160682     17.172400     17.085700     16.999400     16.914000     16.829400     16.745700     16.662700     16.580500     16.499100     16.418500     16.338600     16.259500     16.181000     16.103300     16.026400    -1.065340    -1.062050    -1.060390    -1.057620    -1.053770    -1.048860    -1.042370    -1.033810    -1.022760    -1.008330    -0.989784    -0.966085    -0.936088   -0.898747   -0.852990   -0.797836   -0.733358   -0.660465   -0.580886   -0.497330   -0.414290   -0.252265  -0.131313  -0.097435
  -392.0         X   0.164085   0.163586   0.163088   0.162592   0.162098     17.333000     17.245500     17.158300     17.072000     16.986600     16.902000     16.818200     16.735200     16.653000     16.571500     16.490800     16.410900     16.331700     16.253200     16.175500    -1.076250    -1.072930    -1.071250    -1.068450    -1.064560    -1.059600    -1.053040    -1.044390    -1.033230    -1.018640    -0.999898    -0.975949    -0.945635   -0.907900   -0.861660   -0.805925   -0.740769   -0.667110   -0.586697   -0.502270   -0.418370   -0.254687  -0.132531  -0.098323
  -390.0         X   0.165536   0.165032   0.164530   0.164029   0.163530     17.495700     17.407200     17.319200     17.232000     17.145700     17.060300     16.975600     16.891800     16.808700     16.726500     16.645000     16.564200     16.484200     16.404900     16.326400    -1.087310    -1.083960    -1.082260    -1.079430    -1.075500    -1.070480    -1.063850    -1.055120    -1.043830    -1.029090    -1.010150    -0.985946    -0.955312   -0.917177   -0.870447   -0.814123   -0.748279   -0.673844   -0.592586   -0.507276   -0.422503   -0.257139  -0.133763  -0.099223
  -388.0         X   0.167004   0.166495   0.165988   0.165483   0.164979     17.660300     17.570900     17.482000     17.394000     17.306800     17.220500     17.135000     17.050300     16.966400     16.883300     16.801000     16.719400     16.638600     16.558500     16.479200    -1.098520    -1.095130    -1.093420    -1.090560    -1.086590    -1.081520    -1.074820    -1.065990    -1.054580    -1.039690    -1.020540    -0.996081    -0.965120   -0.926580   -0.879354   -0.822432   -0.755890   -0.680669   -0.598554   -0.512348   -0.426690   -0.259623  -0.135010  -0.100133
  -386.0         X   0.168488   0.167975   0.167463   0.166953   0.166445     17.827000     17.736700     17.646900     17.558000     17.469900     17.382700     17.296300     17.210800     17.126000     17.042100     16.958900     16.876600     16.794900     16.714100     16.633900    -1.109890    -1.106460    -1.104730    -1.101850    -1.097830    -1.092700    -1.085930    -1.077010    -1.065480    -1.050430    -1.031080    -1.006350    -0.975063   -0.936111   -0.888382   -0.830854   -0.763604   -0.687585   -0.604602   -0.517488   -0.430933   -0.262139  -0.136272  -0.101054
  -384.0         X   0.169990   0.169472   0.168955   0.168440   0.167928     17.995800     17.904600     17.813900     17.724000     17.635100     17.547000     17.459700     17.373300     17.287700     17.202900     17.118900     17.035700     16.953200     16.871500     16.790500    -1.121410    -1.117950    -1.116200    -1.113280    -1.109220    -1.104040    -1.097200    -1.088180    -1.076530    -1.061310    -1.041750    -1.016770    -0.985141   -0.945772   -0.897533   -0.839390   -0.771423   -0.694594   -0.610730   -0.522695   -0.435231   -0.264687  -0.137550  -0.101987
  -382.0         X   0.171510   0.170986   0.170465   0.169945   0.169428     18.166700     18.074600     17.982900     17.892200     17.802300     17.713300     17.625100     17.537800     17.451300     17.365700     17.280800     17.196700     17.113400     17.030900     16.949100    -1.133100    -1.129600    -1.127820    -1.124880    -1.120780    -1.115540    -1.108620    -1.099500    -1.087730    -1.072350    -1.052580    -1.027320    -0.995358   -0.955566   -0.906809   -0.848043   -0.779348   -0.701698   -0.616941   -0.527973   -0.439586   -0.267268  -0.138844  -0.102931
