Name:C X_Dim:300 Y_Dim:600 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component           0           1           2           3           4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19         20         21         22         23         24         25         26         27         28         29         30         31         32         33            34         35         36         37         38         39         40         41         42         43
  -400.0         X    0.093842    0.093771    0.093701    0.093631    0.093560     16.678100     16.669600     16.661100     16.652500     16.644000     16.635500     16.627000     16.618500     16.610000     16.601500     16.593000     16.584600     16.576100     16.567600     16.559200  -0.033954  -0.033937  -0.033928  -0.033914  -0.033893  -0.033868  -0.033833  -0.033787  -0.033726  -0.033646  -0.033541  -0.033402  -0.033218  -0.032978 -3.266230e-02  -0.032248  -0.031709  -0.031012  -0.030118  -0.028984  -0.027589  -0.023638  -0.018669  -0.016651
  -398.0         X    0.094765    0.094694    0.094622    0.094551    0.094480     16.832900     16.824300     16.815700     16.807000     16.798400     16.789800     16.781200     16.772600     16.764100     16.755500     16.746900     16.738400     16.729800     16.721300     16.712800  -0.034308  -0.034291  -0.034282  -0.034268  -0.034247  -0.034221  -0.034186  -0.034139  -0.034078  -0.033997  -0.033891  -0.033750  -0.033565  -0.033322 -3.300300e-02  -0.032585  -0.032040  -0.031335  -0.030432  -0.029286  -0.027876  -0.023884  -0.018862  -0.016823
  -396.0         X    0.095700    0.095628    0.095556    0.095484    0.095413     16.989600     16.980900     16.972200     16.963500     16.954800     16.946100     16.937400     16.928700     16.920000     16.911400     16.902700     16.894100     16.885500     16.876800     16.868200  -0.034667  -0.034650  -0.034641  -0.034626  -0.034606  -0.034579  -0.034544  -0.034497  -0.034435  -0.034353  -0.034246  -0.034104  -0.033916  -0.033670 -3.334850e-02  -0.032926  -0.032375  -0.031663  -0.030750  -0.029592  -0.028167  -0.024133  -0.019058  -0.016997
  -394.0         X    0.096647    0.096575    0.096502    0.096430    0.096357     17.148200     17.139400     17.130600     17.121800     17.113000     17.104200     17.095500     17.086700     17.077900     17.069200     17.060500     17.051700     17.043000     17.034300     17.025600  -0.035032  -0.035014  -0.035005  -0.034990  -0.034970  -0.034943  -0.034907  -0.034859  -0.034797  -0.034714  -0.034605  -0.034462  -0.034272  -0.034024 -3.369880e-02  -0.033272  -0.032715  -0.031996  -0.031073  -0.029903  -0.028463  -0.024385  -0.019257  -0.017174
  -392.0         X    0.097607    0.097534    0.097460    0.097387    0.097314     17.308700     17.299900     17.291000     17.282100     17.273200     17.264400     17.255500     17.246600     17.237800     17.229000     17.220100     17.211300     17.202500     17.193700     17.184900  -0.035401  -0.035383  -0.035374  -0.035359  -0.035338  -0.035311  -0.035275  -0.035227  -0.035164  -0.035080  -0.034970  -0.034825  -0.034634  -0.034383 -3.405410e-02  -0.033622  -0.033060  -0.032333  -0.031400  -0.030218  -0.028762  -0.024641  -0.019458  -0.017354
  -390.0         X    0.098580    0.098506    0.098431    0.098357    0.098283     17.471300     17.462400     17.453400     17.444400     17.435400     17.426500     17.417500     17.408600     17.399600     17.390700     17.381800     17.372900     17.364000     17.355100     17.346200  -0.035776  -0.035758  -0.035749  -0.035734  -0.035712  -0.035685  -0.035648  -0.035600  -0.035536  -0.035452  -0.035340  -0.035194  -0.035000  -0.034747 -3.441430e-02  -0.033978  -0.033409  -0.032675  -0.031732  -0.030537  -0.029066  -0.024901  -0.019662  -0.017535
  -388.0         X    0.099565    0.099490    0.099415    0.099340    0.099266     17.635900     17.626900     17.617800     17.608700     17.599700     17.590600     17.581600     17.572500     17.563500     17.554500     17.545500     17.536500     17.527500     17.518500     17.509600  -0.036156  -0.036138  -0.036128  -0.036113  -0.036091  -0.036064  -0.036027  -0.035978  -0.035914  -0.035828  -0.035715  -0.035567  -0.035372  -0.035116 -3.477960e-02  -0.034338  -0.033764  -0.033021  -0.032069  -0.030860  -0.029374  -0.025164  -0.019870  -0.017720
  -386.0         X    0.100564    0.100488    0.100412    0.100337    0.100261     17.802600     17.793400     17.784300     17.775100     17.765900     17.756800     17.747700     17.738500     17.729400     17.720300     17.711200     17.702100     17.693100     17.684000     17.674900  -0.036541  -0.036523  -0.036513  -0.036498  -0.036476  -0.036448  -0.036411  -0.036361  -0.036296  -0.036210  -0.036096  -0.035946  -0.035749  -0.035490 -3.515000e-02  -0.034704  -0.034123  -0.033373  -0.032410  -0.031189  -0.029686  -0.025431  -0.020080  -0.017907
  -384.0         X    0.101576    0.101499    0.101423    0.101346    0.101270     17.971300     17.962100     17.952800     17.943600     17.934300     17.925100     17.915800     17.906600     17.897400     17.888200     17.879000     17.869900     17.860700     17.851500     17.842400  -0.036932  -0.036913  -0.036904  -0.036888  -0.036866  -0.036838  -0.036800  -0.036750  -0.036684  -0.036597  -0.036482  -0.036331  -0.036131  -0.035869 -3.552570e-02  -0.035075  -0.034488  -0.033729  -0.032756  -0.031522  -0.030003  -0.025702  -0.020293  -0.018096
  -382.0         X    0.102601    0.102524    0.102446    0.102369    0.102292     18.142200     18.132800     18.123500     18.114100     18.104800     18.095500     18.086100     18.076800     18.067500     18.058200     18.049000     18.039700     18.030400     18.021200     18.011900  -0.037328  -0.037309  -0.037300  -0.037284  -0.037262  -0.037233  -0.037195  -0.037144  -0.037078  -0.036990  -0.036873  -0.036720  -0.036519  -0.036254 -3.590680e-02  -0.035451  -0.034858  -0.034091  -0.033107  -0.031859  -0.030324  -0.025976  -0.020508  -0.018288
