Name:A X_Dim:30 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6          7          8          9         10         11         12         13        14        15        16        17        18        19         20         21         22         23         24         25        26        27        28        29        30        31        32        33        34            35            36            37            38            39            40            41            42            43
  -400.0         X  7.750130e-37  6.256360e-37  5.050510e-37  4.077090e-37  3.291290e-37   0.279399   0.215058   0.168167   0.132805   0.105516   0.084163   0.067307   0.053924   0.043257  0.034731  0.027904  0.022430  0.018037  0.014508  0.011673  -0.289720  -0.266673  -0.255938  -0.239325  -0.218398  -0.194823 -0.168069 -0.138838 -0.108790 -0.079187 -0.052441 -0.030592 -0.015049 -0.005912 -0.001719 -3.323770e-04 -3.757620e-05 -2.093430e-06 -4.542470e-08 -2.815610e-10 -3.697940e-13 -1.549130e-22 -4.963120e-38 -3.958330e-46
  -398.0         X  7.832140e-37  6.322570e-37  5.103970e-37  4.120250e-37  3.326140e-37   0.282371   0.217345   0.169953   0.134214   0.106635   0.085055   0.068020   0.054494   0.043714  0.035097  0.028198  0.022666  0.018227  0.014661  0.011795  -0.292804  -0.269511  -0.258662  -0.241871  -0.220721  -0.196894 -0.169855 -0.140313 -0.109945 -0.080026 -0.052996 -0.030915 -0.015208 -0.005974 -0.001737 -3.358560e-04 -3.796860e-05 -2.115250e-06 -4.589740e-08 -2.844890e-10 -3.736430e-13 -1.565390e-22 -5.016380e-38 -4.001390e-46
  -396.0         X  7.915310e-37  6.389720e-37  5.158190e-37  4.164020e-37  3.361480e-37   0.285387   0.219664   0.171765   0.135644   0.107770   0.085959   0.068742   0.055073   0.044177  0.035470  0.028497  0.022906  0.018420  0.014816  0.011920  -0.295932  -0.272390  -0.261424  -0.244454  -0.223077  -0.198995 -0.171666 -0.141808 -0.111115 -0.080877 -0.053559 -0.031243 -0.015369 -0.006037 -0.001755 -3.393840e-04 -3.836650e-05 -2.137370e-06 -4.637680e-08 -2.874590e-10 -3.775460e-13 -1.581870e-22 -5.070410e-38 -4.045070e-46
  -394.0         X  7.999660e-37  6.457830e-37  5.213170e-37  4.208420e-37  3.397320e-37   0.288446   0.222016   0.173603   0.137094   0.108921   0.086877   0.069475   0.055660   0.044648  0.035847  0.028800  0.023150  0.018615  0.014973  0.012046  -0.299106  -0.275311  -0.264227  -0.247074  -0.225468  -0.201127 -0.173504 -0.143325 -0.112303 -0.081741 -0.054130 -0.031575 -0.015532 -0.006101 -0.001774 -3.429620e-04 -3.877010e-05 -2.159810e-06 -4.686290e-08 -2.904710e-10 -3.815040e-13 -1.598590e-22 -5.125210e-38 -4.089380e-46
  -392.0         X  8.085220e-37  6.526900e-37  5.268940e-37  4.253440e-37  3.433670e-37   0.291549   0.224403   0.175468   0.138565   0.110089   0.087807   0.070219   0.056255   0.045125  0.036230  0.029107  0.023397  0.018814  0.015133  0.012175  -0.302325  -0.278274  -0.267071  -0.249732  -0.227893  -0.203289 -0.175369 -0.144865 -0.113508 -0.082617 -0.054709 -0.031913 -0.015698 -0.006166 -0.001793 -3.465910e-04 -3.917940e-05 -2.182560e-06 -4.735590e-08 -2.935240e-10 -3.855170e-13 -1.615550e-22 -5.180790e-38 -4.134340e-46
  -390.0         X  8.171990e-37  6.596960e-37  5.325500e-37  4.299110e-37  3.470540e-37   0.294698   0.226825   0.177360   0.140058   0.111274   0.088752   0.070974   0.056859   0.045609  0.036618  0.029419  0.023647  0.019015  0.015294  0.012305  -0.305592  -0.281280  -0.269956  -0.252430  -0.230354  -0.205484 -0.177261 -0.146426 -0.114730 -0.083505 -0.055297 -0.032255 -0.015866 -0.006232 -0.001812 -3.502720e-04 -3.959450e-05 -2.205640e-06 -4.785590e-08 -2.966220e-10 -3.895880e-13 -1.632750e-22 -5.237180e-38 -4.179950e-46
  -388.0         X  8.260010e-37  6.668020e-37  5.382880e-37  4.345430e-37  3.507940e-37   0.297892   0.229282   0.179279   0.141572   0.112476   0.089710   0.071739   0.057472   0.046100  0.037012  0.029736  0.023901  0.019219  0.015459  0.012437  -0.308907  -0.284331  -0.272883  -0.255167  -0.232850  -0.207710 -0.179180 -0.148011 -0.115971 -0.084407 -0.055893 -0.032602 -0.016036 -0.006298 -0.001831 -3.540060e-04 -4.001560e-05 -2.229050e-06 -4.836300e-08 -2.997630e-10 -3.937160e-13 -1.650190e-22 -5.294390e-38 -4.226230e-46
  -386.0         X  8.349290e-37  6.740110e-37  5.441080e-37  4.392420e-37  3.545880e-37   0.301134   0.231775   0.181227   0.143109   0.113696   0.090682   0.072516   0.058093   0.046598  0.037412  0.030056  0.024159  0.019426  0.015625  0.012571  -0.312270  -0.287426  -0.275853  -0.257944  -0.235384  -0.209969 -0.181128 -0.149618 -0.117229 -0.085322 -0.056498 -0.032954 -0.016209 -0.006366 -0.001851 -3.577940e-04 -4.044270e-05 -2.252790e-06 -4.887740e-08 -3.029490e-10 -3.979030e-13 -1.667880e-22 -5.352430e-38 -4.273190e-46
  -384.0         X  8.439860e-37  6.813230e-37  5.500120e-37  4.440090e-37  3.584370e-37   0.304424   0.234305   0.183203   0.144668   0.114933   0.091668   0.073304   0.058724   0.047104  0.037818  0.030382  0.024421  0.019636  0.015794  0.012707  -0.315684  -0.290567  -0.278868  -0.260762  -0.237955  -0.212262 -0.183105 -0.151250 -0.118506 -0.086250 -0.057111 -0.033311 -0.016384 -0.006435 -0.001871 -3.616360e-04 -4.087600e-05 -2.276880e-06 -4.939920e-08 -3.061800e-10 -4.021500e-13 -1.685830e-22 -5.411310e-38 -4.320840e-46
  -382.0         X  8.531750e-37  6.887420e-37  5.560010e-37  4.488450e-37  3.623410e-37   0.307762   0.236873   0.185209   0.146251   0.116189   0.092669   0.074103   0.059364   0.047617  0.038229  0.030713  0.024686  0.019850  0.015966  0.012844  -0.319148  -0.293755  -0.281927  -0.263622  -0.240564  -0.214588 -0.185110 -0.152905 -0.119802 -0.087192 -0.057734 -0.033674 -0.016562 -0.006505 -0.001891 -3.655350e-04 -4.131560e-05 -2.301310e-06 -4.992840e-08 -3.094580e-10 -4.064580e-13 -1.704030e-22 -5.471060e-38 -4.369190e-46
  -380.0         X  8.624970e-37  6.962680e-37  5.620780e-37  4.537510e-37  3.663020e-37   0.311151   0.239478   0.187245   0.147857   0.117464   0.093684   0.074915   0.060014   0.048138  0.038647  0.031048  0.024955  0.020066  0.016140  0.012984  -0.322663  -0.296990  -0.285031  -0.266524  -0.243212  -0.216949 -0.187146 -0.154585 -0.121117 -0.088148 -0.058366 -0.034042 -0.016743 -0.006575 -0.001912 -3.694900e-04 -4.176150e-05 -2.326100e-06 -5.046530e-08 -3.127840e-10 -4.108280e-13 -1.722500e-22 -5.531680e-38 -4.418260e-46
  -378.0         X  8.719550e-37  7.039040e-37  5.682430e-37  4.587290e-37  3.703210e-37   0.314589   0.242123   0.189311   0.149486   0.118757   0.094715   0.075738   0.060673   0.048666  0.039071  0.031388  0.025229  0.020286  0.016316  0.013126  -0.326231  -0.300273  -0.288182  -0.269470  -0.245899  -0.219345 -0.189212 -0.156291 -0.122452 -0.089118 -0.059007 -0.034415 -0.016926 -0.006647 -0.001932 -3.735030e-04 -4.221400e-05 -2.351250e-06 -5.101000e-08 -3.161570e-10 -4.152610e-13 -1.741230e-22 -5.593200e-38 -4.468070e-46
  -376.0         X  8.815510e-37  7.116520e-37  5.744990e-37  4.637790e-37  3.743990e-37   0.318080   0.244807   0.191407   0.151140   0.120070   0.095761   0.076574   0.061342   0.049202  0.039501  0.031733  0.025506  0.020509  0.016495  0.013270  -0.329853  -0.303606  -0.291380  -0.272460  -0.248627  -0.221777 -0.191309 -0.158021 -0.123806 -0.090103 -0.059658 -0.034794 -0.017112 -0.006720 -0.001954 -3.775750e-04 -4.267310e-05 -2.376760e-06 -5.156260e-08 -3.195800e-10 -4.197590e-13 -1.760240e-22 -5.655620e-38 -4.518610e-46
  -374.0         X  8.912880e-37  7.195140e-37  5.808460e-37  4.689040e-37  3.785360e-37   0.321623   0.247532   0.193536   0.152819   0.121403   0.096823   0.077423   0.062021   0.049746  0.039937  0.032084  0.025788  0.020735  0.016677  0.013416  -0.333529  -0.306989  -0.294627  -0.275495  -0.251395  -0.224246 -0.193437 -0.159778 -0.125181 -0.091102 -0.060319 -0.035178 -0.017300 -0.006794 -0.001975 -3.817070e-04 -4.313890e-05 -2.402650e-06 -5.212330e-08 -3.230520e-10 -4.243220e-13 -1.779530e-22 -5.718970e-38 -4.569910e-46
  -372.0         X  9.011690e-37  7.274910e-37  5.872870e-37  4.741040e-37  3.827350e-37   0.325219   0.250298   0.195696   0.154524   0.122756   0.097901   0.078284   0.062710   0.050299  0.040380  0.032440  0.026073  0.020964  0.016862  0.013565  -0.337261  -0.310423  -0.297922  -0.278576  -0.254206  -0.226752 -0.195598 -0.161561 -0.126577 -0.092116 -0.060989 -0.035569 -0.017492 -0.006869 -0.001997 -3.859000e-04 -4.361170e-05 -2.428920e-06 -5.269230e-08 -3.265750e-10 -4.289520e-13 -1.799090e-22 -5.783270e-38 -4.621990e-46
  -370.0         X  9.111960e-37  7.355870e-37  5.938230e-37  4.793810e-37  3.869960e-37   0.328871   0.253105   0.197889   0.156254   0.124129   0.098995   0.079158   0.063410   0.050859  0.040830  0.032801  0.026363  0.021197  0.017049  0.013715  -0.341049  -0.313910  -0.301268  -0.281704  -0.257059  -0.229296 -0.197791 -0.163372 -0.127994 -0.093146 -0.061670 -0.035965 -0.017686 -0.006945 -0.002019 -3.901560e-04 -4.409140e-05 -2.455580e-06 -5.326960e-08 -3.301500e-10 -4.336490e-13 -1.818950e-22 -5.848520e-38 -4.674850e-46
  -368.0         X  9.213720e-37  7.438020e-37  6.004560e-37  4.847370e-37  3.913200e-37   0.332577   0.255956   0.200116   0.158010   0.125523   0.100106   0.080045   0.064120   0.051428  0.041287  0.033167  0.026658  0.021434  0.017239  0.013868  -0.344895  -0.317449  -0.304665  -0.284879  -0.259956  -0.231879 -0.200018 -0.165209 -0.129432 -0.094191 -0.062361 -0.036367 -0.017884 -0.007022 -0.002041 -3.944750e-04 -4.457820e-05 -2.482630e-06 -5.385540e-08 -3.337780e-10 -4.384160e-13 -1.839100e-22 -5.914750e-38 -4.728510e-46
  -366.0         X  9.316990e-37  7.521400e-37  6.071880e-37  4.901720e-37  3.957080e-37   0.336341   0.258850   0.202377   0.159793   0.126938   0.101233   0.080946   0.064841   0.052006  0.041750  0.033539  0.026957  0.021674  0.017432  0.014023  -0.348800  -0.321043  -0.308113  -0.288103  -0.262897  -0.234501 -0.202278 -0.167075 -0.130892 -0.095253 -0.063062 -0.036775 -0.018084 -0.007101 -0.002064 -3.988590e-04 -4.507230e-05 -2.510080e-06 -5.444990e-08 -3.374590e-10 -4.432530e-13 -1.859550e-22 -5.981980e-38 -4.782980e-46
  -364.0         X  9.421800e-37  7.606030e-37  6.140210e-37  4.956890e-37  4.001620e-37   0.340162   0.261788   0.204672   0.161604   0.128374   0.102378   0.081860   0.065573   0.052593  0.042221  0.033917  0.027260  0.021918  0.017628  0.014181  -0.352766  -0.324692  -0.311615  -0.291376  -0.265883  -0.237164 -0.204574 -0.168970 -0.132375 -0.096330 -0.063774 -0.037190 -0.018287 -0.007180 -0.002087 -4.033090e-04 -4.557380e-05 -2.537950e-06 -5.505320e-08 -3.411950e-10 -4.481620e-13 -1.880300e-22 -6.050220e-38 -4.838290e-46
  -362.0         X  9.528190e-37  7.691930e-37  6.209560e-37  5.012880e-37  4.046830e-37   0.344042   0.264772   0.207002   0.163442   0.129833   0.103540   0.082789   0.066316   0.053188  0.042698  0.034300  0.027568  0.022165  0.017827  0.014341  -0.356792  -0.328397  -0.315170  -0.294700  -0.268916  -0.239868 -0.206905 -0.170893 -0.133880 -0.097424 -0.064497 -0.037610 -0.018494 -0.007261 -0.002110 -4.078250e-04 -4.608290e-05 -2.566230e-06 -5.566560e-08 -3.449860e-10 -4.531440e-13 -1.901360e-22 -6.119500e-38 -4.894440e-46
  -360.0         X  9.636180e-37  7.779120e-37  6.279960e-37  5.069720e-37  4.092720e-37   0.347983   0.267802   0.209369   0.165309   0.131315   0.104720   0.083732   0.067070   0.053793  0.043183  0.034690  0.027880  0.022416  0.018029  0.014503  -0.360881  -0.332160  -0.318781  -0.298076  -0.271995  -0.242613 -0.209271 -0.172846 -0.135409 -0.098535 -0.065232 -0.038038 -0.018703 -0.007343 -0.002134 -4.124110e-04 -4.659960e-05 -2.594940e-06 -5.628720e-08 -3.488350e-10 -4.582000e-13 -1.922740e-22 -6.189830e-38 -4.951460e-46
  -358.0         X  9.745810e-37  7.867630e-37  6.351420e-37  5.127410e-37  4.139300e-37   0.351984   0.270879   0.211772   0.167204   0.132819   0.105919   0.084689   0.067836   0.054407  0.043676  0.035085  0.028198  0.022672  0.018234  0.014668  -0.365033  -0.335981  -0.322448  -0.301504  -0.275122  -0.245401 -0.211675 -0.174830 -0.136961 -0.099663 -0.065977 -0.038471 -0.018916 -0.007427 -0.002158 -4.170660e-04 -4.712420e-05 -2.624080e-06 -5.691810e-08 -3.527410e-10 -4.633330e-13 -1.944440e-22 -6.261230e-38 -5.009350e-46
  -356.0         X  9.857090e-37  7.957470e-37  6.423960e-37  5.185980e-37  4.186590e-37   0.356048   0.274004   0.214213   0.169129   0.134347   0.107136   0.085661   0.068615   0.055030  0.044176  0.035486  0.028520  0.022931  0.018442  0.014835  -0.369250  -0.339862  -0.326172  -0.304985  -0.278298  -0.248233 -0.214116 -0.176844 -0.138537 -0.100808 -0.066734 -0.038912 -0.019132 -0.007511 -0.002183 -4.217920e-04 -4.765670e-05 -2.653660e-06 -5.755850e-08 -3.567060e-10 -4.685420e-13 -1.966460e-22 -6.333730e-38 -5.068140e-46
  -354.0         X  9.970070e-37  8.048690e-37  6.497610e-37  5.245450e-37  4.234600e-37   0.360176   0.277178   0.216691   0.171085   0.135898   0.108372   0.086648   0.069405   0.055664  0.044684  0.035894  0.028848  0.023194  0.018653  0.015005  -0.373534  -0.343803  -0.329954  -0.308521  -0.281523  -0.251109 -0.216595 -0.178890 -0.140139 -0.101972 -0.067503 -0.039359 -0.019352 -0.007597 -0.002208 -4.265900e-04 -4.819740e-05 -2.683690e-06 -5.820870e-08 -3.607310e-10 -4.738300e-13 -1.988820e-22 -6.407340e-38 -5.127830e-46
  -352.0         X  1.008480e-36  8.141300e-37  6.572380e-37  5.305820e-37  4.283350e-37   0.364369   0.280402   0.219209   0.173070   0.137474   0.109627   0.087651   0.070207   0.056307  0.045200  0.036308  0.029180  0.023461  0.018868  0.015178  -0.377885  -0.347807  -0.333796  -0.312113  -0.284800  -0.254030 -0.219113 -0.180968 -0.141765 -0.103153 -0.068284 -0.039814 -0.019575 -0.007685 -0.002233 -4.314620e-04 -4.874640e-05 -2.714180e-06 -5.886870e-08 -3.648170e-10 -4.791990e-13 -2.011520e-22 -6.482080e-38 -5.188460e-46
  -350.0         X  1.020120e-36  8.235330e-37  6.648300e-37  5.367110e-37  4.332840e-37   0.368628   0.283676   0.221767   0.175087   0.139074   0.110902   0.088670   0.071022   0.056960  0.045724  0.036729  0.029518  0.023732  0.019086  0.015353  -0.382304  -0.351874  -0.337699  -0.315761  -0.288128  -0.256997 -0.221671 -0.183079 -0.143416 -0.104353 -0.069077 -0.040275 -0.019801 -0.007773 -0.002259 -4.364100e-04 -4.930380e-05 -2.745140e-06 -5.953890e-08 -3.689650e-10 -4.846490e-13 -2.034570e-22 -6.557980e-38 -5.250040e-46
  -348.0         X  1.031950e-36  8.330810e-37  6.725380e-37  5.429350e-37  4.383090e-37   0.372954   0.287003   0.224365   0.177136   0.140700   0.112198   0.089704   0.071850   0.057623  0.046256  0.037156  0.029861  0.024008  0.019307  0.015531  -0.386794  -0.356006  -0.341664  -0.319468  -0.291509  -0.260011 -0.224269 -0.185223 -0.145094 -0.105573 -0.069882 -0.040744 -0.020031 -0.007863 -0.002285 -4.414340e-04 -4.986980e-05 -2.776580e-06 -6.021930e-08 -3.731770e-10 -4.901820e-13 -2.057970e-22 -6.635060e-38 -5.312580e-46
  -346.0         X  1.043960e-36  8.427760e-37  6.803660e-37  5.492550e-37  4.434120e-37   0.377350   0.290382   0.227004   0.179218   0.142352   0.113513   0.090755   0.072691   0.058297  0.046796  0.037589  0.030209  0.024288  0.019533  0.015712  -0.391355  -0.360203  -0.345691  -0.323233  -0.294943  -0.263074 -0.226909 -0.187402 -0.146799 -0.106811 -0.070701 -0.041220 -0.020264 -0.007955 -0.002311 -4.465360e-04 -5.044460e-05 -2.808500e-06 -6.091020e-08 -3.774530e-10 -4.958000e-13 -2.081720e-22 -6.713350e-38 -5.376110e-46
  -344.0         X  1.056150e-36  8.526210e-37  6.883150e-37  5.556730e-37  4.485930e-37   0.381816   0.293816   0.229685   0.181333   0.144030   0.114850   0.091823   0.073546   0.058982  0.047345  0.038030  0.030563  0.024572  0.019761  0.015896  -0.395990  -0.364468  -0.349784  -0.327059  -0.298433  -0.266185 -0.229591 -0.189615 -0.148530 -0.108069 -0.071532 -0.041704 -0.020501 -0.008047 -0.002338 -4.517180e-04 -5.102830e-05 -2.840910e-06 -6.161180e-08 -3.817960e-10 -5.015050e-13 -2.105850e-22 -6.792850e-38 -5.440640e-46
  -342.0         X  1.068530e-36  8.626190e-37  6.963880e-37  5.621910e-37  4.538560e-37   0.386353   0.297304   0.232410   0.183481   0.145735   0.116208   0.092908   0.074413   0.059677  0.047903  0.038478  0.030923  0.024861  0.019993  0.016082  -0.400699  -0.368801  -0.353942  -0.330946  -0.301979  -0.269346 -0.232316 -0.191863 -0.150290 -0.109347 -0.072376 -0.042195 -0.020742 -0.008142 -0.002366 -4.569820e-04 -5.162120e-05 -2.873830e-06 -6.232430e-08 -3.862060e-10 -5.072980e-13 -2.130350e-22 -6.873610e-38 -5.506190e-46
  -340.0         X  1.081110e-36  8.727740e-37  7.045870e-37  5.688110e-37  4.592010e-37   0.390964   0.300849   0.235178   0.185664   0.147467   0.117588   0.094009   0.075295   0.060384  0.048470  0.038933  0.031288  0.025154  0.020229  0.016272  -0.405484  -0.373204  -0.358167  -0.334896  -0.305582  -0.272558 -0.235085 -0.194148 -0.152077 -0.110646 -0.073235 -0.042694 -0.020987 -0.008238 -0.002393 -4.623280e-04 -5.222340e-05 -2.907270e-06 -6.304790e-08 -3.906840e-10 -5.131800e-13 -2.155220e-22 -6.955630e-38 -5.572790e-46
  -338.0         X  1.093880e-36  8.830870e-37  7.129140e-37  5.755340e-37  4.646290e-37   0.395649   0.304451   0.237991   0.187883   0.149227   0.118990   0.095129   0.076191   0.061102  0.049045  0.039395  0.031659  0.025452  0.020468  0.016464  -0.410346  -0.377678  -0.362461  -0.338910  -0.309243  -0.275822 -0.237898 -0.196470 -0.153894 -0.111966 -0.074107 -0.043201 -0.021236 -0.008335 -0.002422 -4.677590e-04 -5.283500e-05 -2.941230e-06 -6.378280e-08 -3.952320e-10 -5.191540e-13 -2.180490e-22 -7.038960e-38 -5.640440e-46
  -336.0         X  1.106860e-36  8.935630e-37  7.213720e-37  5.823630e-37  4.701430e-37   0.400411   0.308112   0.240849   0.190137   0.151015   0.120414   0.096267   0.077102   0.061831  0.049631  0.039864  0.032036  0.025755  0.020712  0.016660  -0.415288  -0.382226  -0.366824  -0.342989  -0.312964  -0.279140 -0.240758 -0.198829 -0.155740 -0.113307 -0.074992 -0.043717 -0.021489 -0.008434 -0.002450 -4.732760e-04 -5.345640e-05 -2.975730e-06 -6.452920e-08 -3.998510e-10 -5.252220e-13 -2.206150e-22 -7.123600e-38 -5.709190e-46
  -334.0         X  1.120040e-36  9.042040e-37  7.299630e-37  5.893000e-37  4.757440e-37   0.405250   0.311833   0.243755   0.192428   0.152833   0.121862   0.097423   0.078027   0.062572  0.050225  0.040341  0.032419  0.026063  0.020959  0.016859  -0.420311  -0.386847  -0.371259  -0.347134  -0.316745  -0.282511 -0.243663 -0.201227 -0.157616 -0.114669 -0.075893 -0.044240 -0.021745 -0.008534 -0.002479 -4.788810e-04 -5.408760e-05 -3.010770e-06 -6.528740e-08 -4.045430e-10 -5.313850e-13 -2.232220e-22 -7.209590e-38 -5.779030e-46
