Name:B X_Dim:30 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36            37        38        39        40            41            42            43
  -400.0         X  2.543720e-06  2.489470e-06  2.436390e-06  2.384430e-06  2.333580e-06   0.317789   0.308757   0.300054   0.291703   0.283681   0.275967   0.268543   0.261391   0.254497   0.247845   0.241423   0.235218   0.229220   0.223417   0.217801 -0.106438 -0.105275 -0.104691 -0.103729 -0.102406 -0.100744 -0.098594 -0.095838 -0.092401 -0.088109 -0.082892 -0.076675 -0.069439 -0.061286 -0.052379 -0.042956 -0.033445 -2.434940e-02 -0.016209 -0.009565 -0.004851 -5.431240e-04 -1.479780e-05 -2.256550e-06
  -398.0         X  2.570270e-06  2.515450e-06  2.461810e-06  2.409310e-06  2.357930e-06   0.321170   0.312042   0.303247   0.294807   0.286699   0.278902   0.271399   0.264171   0.257203   0.250481   0.243990   0.237719   0.231657   0.225792   0.220116 -0.107573 -0.106397 -0.105807 -0.104835 -0.103498 -0.101818 -0.099645 -0.096860 -0.093386 -0.089049 -0.083777 -0.077492 -0.070180 -0.061939 -0.052937 -0.043414 -0.033801 -2.460810e-02 -0.016381 -0.009666 -0.004902 -5.488300e-04 -1.495250e-05 -2.280090e-06
  -396.0         X  2.597190e-06  2.541800e-06  2.487600e-06  2.434550e-06  2.382630e-06   0.324600   0.315375   0.306485   0.297955   0.289760   0.281881   0.274297   0.266992   0.259949   0.253155   0.246594   0.240256   0.234129   0.228202   0.222465 -0.108725 -0.107536 -0.106939 -0.105957 -0.104606 -0.102908 -0.100712 -0.097897 -0.094386 -0.090002 -0.084673 -0.078322 -0.070931 -0.062602 -0.053503 -0.043878 -0.034162 -2.487060e-02 -0.016556 -0.009769 -0.004954 -5.546170e-04 -1.510930e-05 -2.303970e-06
  -394.0         X  2.624490e-06  2.568520e-06  2.513740e-06  2.460140e-06  2.407670e-06   0.328081   0.318756   0.309771   0.301149   0.292866   0.284902   0.277237   0.269853   0.262735   0.255867   0.249236   0.242830   0.236637   0.230646   0.224848 -0.109893 -0.108691 -0.108088 -0.107095 -0.105729 -0.104014 -0.101794 -0.098949 -0.095400 -0.090969 -0.085583 -0.079163 -0.071693 -0.063274 -0.054078 -0.044348 -0.034528 -2.513690e-02 -0.016733 -0.009873 -0.005007 -5.604870e-04 -1.526840e-05 -2.328190e-06
  -392.0         X  2.652180e-06  2.595620e-06  2.540260e-06  2.486090e-06  2.433070e-06   0.331611   0.322186   0.313104   0.304389   0.296017   0.287967   0.280219   0.272756   0.265561   0.258619   0.251917   0.245442   0.239182   0.233126   0.227265 -0.111078 -0.109863 -0.109254 -0.108250 -0.106870 -0.105135 -0.102892 -0.100016 -0.096429 -0.091950 -0.086506 -0.080017 -0.072466 -0.063956 -0.054661 -0.044826 -0.034900 -2.540700e-02 -0.016912 -0.009979 -0.005060 -5.664410e-04 -1.542970e-05 -2.352750e-06
  -390.0         X  2.680260e-06  2.623100e-06  2.567160e-06  2.512420e-06  2.458840e-06   0.335194   0.325666   0.316486   0.307677   0.299214   0.291077   0.283245   0.275701   0.268428   0.261411   0.254637   0.248091   0.241764   0.235642   0.229718 -0.112280 -0.111053 -0.110437 -0.109422 -0.108027 -0.106274 -0.104006 -0.101099 -0.097473 -0.092946 -0.087443 -0.080883 -0.073250 -0.064648 -0.055252 -0.045311 -0.035277 -2.568110e-02 -0.017094 -0.010086 -0.005114 -5.724800e-04 -1.559340e-05 -2.377660e-06
  -388.0         X  2.708750e-06  2.650980e-06  2.594450e-06  2.539120e-06  2.484970e-06   0.338828   0.329197   0.319918   0.311013   0.302458   0.294232   0.286315   0.278689   0.271337   0.264244   0.257396   0.250780   0.244383   0.238195   0.232207 -0.113501 -0.112260 -0.111637 -0.110612 -0.109201 -0.107429 -0.105136 -0.102198 -0.098532 -0.093956 -0.088393 -0.081763 -0.074047 -0.065351 -0.055852 -0.045803 -0.035659 -2.595920e-02 -0.017279 -0.010195 -0.005169 -5.786060e-04 -1.575940e-05 -2.402930e-06
  -386.0         X  2.737650e-06  2.679260e-06  2.622120e-06  2.566200e-06  2.511470e-06   0.342517   0.332781   0.323400   0.314398   0.305750   0.297434   0.289431   0.281722   0.274289   0.267119   0.260196   0.253507   0.247041   0.240786   0.234732 -0.114739 -0.113484 -0.112855 -0.111818 -0.110392 -0.108601 -0.106283 -0.103313 -0.099608 -0.094981 -0.089358 -0.082655 -0.074854 -0.066063 -0.056461 -0.046302 -0.036048 -2.624140e-02 -0.017466 -0.010305 -0.005225 -5.848220e-04 -1.592780e-05 -2.428560e-06
  -384.0         X  2.766960e-06  2.707950e-06  2.650200e-06  2.593680e-06  2.538360e-06   0.346260   0.336417   0.326933   0.317833   0.309090   0.300683   0.292592   0.284799   0.277285   0.270036   0.263037   0.256275   0.249738   0.243415   0.237294 -0.115995 -0.114727 -0.114091 -0.113043 -0.111601 -0.109790 -0.107447 -0.104444 -0.100698 -0.096021 -0.090336 -0.083560 -0.075674 -0.066787 -0.057079 -0.046808 -0.036441 -2.652770e-02 -0.017657 -0.010417 -0.005282 -5.911270e-04 -1.609860e-05 -2.454560e-06
  -382.0         X  2.796700e-06  2.737050e-06  2.678680e-06  2.621550e-06  2.565640e-06   0.350058   0.340107   0.330519   0.321318   0.312480   0.303981   0.295801   0.287921   0.280325   0.272997   0.265921   0.259085   0.252476   0.246082   0.239895 -0.117271 -0.115989 -0.115345 -0.114286 -0.112828 -0.110997 -0.108628 -0.105592 -0.101806 -0.097077 -0.091329 -0.084478 -0.076506 -0.067521 -0.057706 -0.047322 -0.036841 -2.681830e-02 -0.017850 -0.010531 -0.005339 -5.975250e-04 -1.627190e-05 -2.480930e-06
  -380.0         X  2.826860e-06  2.766570e-06  2.707570e-06  2.649830e-06  2.593310e-06   0.353913   0.343852   0.334159   0.324856   0.315920   0.307327   0.299057   0.291091   0.283411   0.276001   0.268847   0.261935   0.255253   0.248790   0.242534 -0.118565 -0.117269 -0.116618 -0.115547 -0.114073 -0.112222 -0.109827 -0.106758 -0.102929 -0.098148 -0.092338 -0.085411 -0.077350 -0.068266 -0.058342 -0.047843 -0.037247 -2.711320e-02 -0.018046 -0.010646 -0.005398 -6.040170e-04 -1.644770e-05 -2.507690e-06
  -378.0         X  2.857470e-06  2.796530e-06  2.736880e-06  2.678520e-06  2.621390e-06   0.357825   0.347653   0.337852   0.328447   0.319412   0.310724   0.302362   0.294307   0.286542   0.279050   0.271817   0.264829   0.258073   0.251538   0.245212 -0.119879 -0.118568 -0.117910 -0.116827 -0.115337 -0.113466 -0.111044 -0.107941 -0.104070 -0.099236 -0.093361 -0.086357 -0.078207 -0.069022 -0.058988 -0.048373 -0.037658 -2.741250e-02 -0.018245 -0.010764 -0.005457 -6.106040e-04 -1.662610e-05 -2.534840e-06
  -376.0         X  2.888530e-06  2.826920e-06  2.766630e-06  2.707620e-06  2.649880e-06   0.361797   0.351511   0.341602   0.332091   0.322956   0.314171   0.305716   0.297572   0.289721   0.282145   0.274832   0.267766   0.260935   0.254327   0.247931 -0.121212 -0.119887 -0.119222 -0.118127 -0.116620 -0.114728 -0.112280 -0.109142 -0.105228 -0.100340 -0.094399 -0.087318 -0.079077 -0.069789 -0.059644 -0.048910 -0.038076 -2.771630e-02 -0.018446 -0.010882 -0.005517 -6.172880e-04 -1.680710e-05 -2.562390e-06
