Name:A X_Dim:600 Y_Dim:120 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37         38         39            40            41            42            43
  -400.0         X  6.121500e-11  5.803490e-11  5.502000e-11  5.216170e-11  4.945190e-11     12.457700    11.583500    10.792800    10.076900     9.425070     8.828740     8.280900     7.775800     7.308630     6.875390     6.472670     6.097530     5.747470     5.420290     5.114070    -7.797210    -7.602780    -7.506830    -7.351060    -7.141280    -6.884860    -6.564260    -6.170580    -5.704650    -5.158340    -4.541810    -3.867160    -3.155380    -2.439230   -1.756360   -1.148150   -0.660109   -0.319531  -0.122610  -0.034473 -6.587160e-03 -3.019790e-05 -4.123510e-09 -3.932490e-11
  -398.0         X  6.184620e-11  5.863330e-11  5.558740e-11  5.269970e-11  4.996200e-11     12.581900    11.698900    10.900300    10.177300     9.518940     8.916660     8.363360     7.853210     7.381390     6.943840     6.537100     6.158230     5.804680     5.474250     5.164980    -7.875040    -7.678660    -7.581740    -7.424400    -7.212520    -6.953520    -6.629700    -6.232080    -5.761490    -5.209700    -4.587020    -3.905640    -3.186760    -2.463490   -1.773830   -1.159580   -0.666688   -0.322721  -0.123837  -0.034820 -6.653560e-03 -3.050520e-05 -4.165900e-09 -3.973070e-11
  -396.0         X  6.248580e-11  5.923970e-11  5.616220e-11  5.324470e-11  5.047870e-11     12.707600    11.815800    11.009200    10.278900     9.613990     9.005680     8.446840     7.931590     7.455060     7.013130     6.602330     6.219680     5.862610     5.528880     5.216520    -7.953840    -7.755480    -7.657580    -7.498660    -7.284640    -7.023040    -6.695970    -6.294350    -5.819030    -5.261710    -4.632790    -3.944590    -3.218530    -2.488050   -1.791510   -1.171150   -0.673348   -0.325951  -0.125080  -0.035170 -6.720800e-03 -3.081640e-05 -4.208840e-09 -4.014180e-11
  -394.0         X  6.313370e-11  5.985400e-11  5.674470e-11  5.379690e-11  5.100220e-11     12.835000    11.934200    11.119500    10.381800     9.710210     9.095800     8.531360     8.010950     7.529650     7.083290     6.668380     6.281900     5.921260     5.584180     5.268710    -8.033630    -7.833260    -7.734380    -7.573850    -7.357670    -7.093430    -6.763060    -6.357390    -5.877290    -5.314370    -4.679130    -3.984030    -3.250700    -2.512920   -1.809420   -1.182860   -0.680091   -0.329222  -0.126338  -0.035525 -6.788890e-03 -3.113160e-05 -4.252340e-09 -4.055830e-11
  -392.0         X  6.379020e-11  6.047640e-11  5.733470e-11  5.435630e-11  5.153260e-11     12.963900    12.054000    11.231100    10.486000     9.807650     9.187050     8.616940     8.091300     7.605160     7.154330     6.735260     6.344900     5.980630     5.640190     5.321550    -8.114420    -7.912020    -7.812140    -7.649980    -7.431620    -7.164700    -6.830990    -6.421220    -5.936280    -5.367680    -4.726050    -4.023960    -3.283270    -2.538090   -1.827550   -1.194720   -0.686919   -0.332533  -0.127612  -0.035885 -6.857850e-03 -3.145090e-05 -4.296410e-09 -4.098030e-11
  -390.0         X  6.445530e-11  6.110700e-11  5.793260e-11  5.492320e-11  5.207010e-11     13.094400    12.175300    11.344100    10.591500     9.906300     9.279450     8.703590     8.172660     7.681620     7.226260     6.802970     6.408680     6.040760     5.696890     5.375050    -8.196220    -7.991770    -7.890870    -7.727070    -7.506490    -7.236870    -6.899770    -6.485860    -5.996000    -5.421660    -4.773550    -4.064390    -3.316250    -2.563580   -1.845910   -1.206730   -0.693832   -0.335886  -0.128902  -0.036249 -6.927690e-03 -3.177430e-05 -4.341050e-09 -4.140790e-11
  -388.0         X  6.512930e-11  6.174600e-11  5.853840e-11  5.549750e-11  5.261460e-11     13.226600    12.298200    11.458500    10.698300    10.006200     9.373000     8.791320     8.255030     7.759040     7.299080     6.871520     6.473270     6.101630     5.754300     5.429220    -8.279060    -8.072520    -7.970600    -7.805130    -7.582310    -7.309940    -6.969420    -6.551300    -6.056480    -5.476320    -4.821650    -4.105330    -3.349640    -2.589390   -1.864500   -1.218890   -0.700832   -0.339282  -0.130209  -0.036617 -6.998420e-03 -3.210190e-05 -4.386290e-09 -4.184120e-11
  -386.0         X  6.581220e-11  6.239340e-11  5.915230e-11  5.607950e-11  5.316640e-11     13.360500    12.422600    11.574400    10.806500    10.107300     9.467730     8.880160     8.338440     7.837440     7.372820     6.940940     6.538660     6.163270     5.812430     5.484070    -8.362940    -8.154300    -8.051330    -7.884180    -7.659080    -7.383940    -7.039950    -6.617570    -6.117720    -5.531660    -4.870360    -4.146780    -3.383450    -2.615520   -1.883320   -1.231200   -0.707920   -0.342720  -0.131532  -0.036991 -7.070060e-03 -3.243380e-05 -4.432130e-09 -4.228020e-11
  -384.0         X  6.650420e-11  6.304950e-11  5.977430e-11  5.666920e-11  5.372550e-11     13.496000    12.548600    11.691800    10.916000    10.209700     9.563650     8.970110     8.422900     7.916810     7.447490     7.011230     6.604880     6.225690     5.871290     5.539610    -8.447880    -8.237100    -8.133080    -7.964220    -7.736820    -7.458870    -7.111360    -6.684680    -6.179730    -5.587710    -4.919670    -4.188750    -3.417680    -2.641980   -1.902370   -1.243670   -0.715097   -0.346201  -0.132871  -0.037369 -7.142610e-03 -3.276990e-05 -4.478570e-09 -4.272500e-11
  -382.0         X  6.720540e-11  6.371430e-11  6.040460e-11  5.726680e-11  5.429210e-11     13.633300    12.676100    11.810600    11.026900    10.313500     9.660780     9.061200     8.508420     7.997190     7.523100     7.082410     6.671930     6.288890     5.930900     5.595840    -8.533890    -8.320960    -8.215870    -8.045270    -7.815540    -7.534740    -7.183680    -6.752630    -6.242520    -5.644450    -4.969610    -4.231250    -3.452340    -2.668770   -1.921670   -1.256290   -0.722365   -0.349727  -0.134228  -0.037752 -7.216100e-03 -3.311050e-05 -4.525630e-09 -4.317580e-11
