Name:B X_Dim:600 Y_Dim:120 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40          41         42         43
  -400.0         X   0.067988   0.067620   0.067254   0.066890   0.066528     12.956600     12.859600     12.763200     12.667800     12.573600     12.480400     12.388300     12.297200     12.207100     12.117900    12.029800    11.942600    11.856300    11.771000    11.686500    -1.291590    -1.287260    -1.285070    -1.281440    -1.276380    -1.269920    -1.261380    -1.250150    -1.235640    -1.216720    -1.192420    -1.161410    -1.122230    -1.073540   -1.014020   -0.942453   -0.858981   -0.764793   -0.662059   -0.554158   -0.446826   -0.238669  -0.093142  -0.057836
  -398.0         X   0.068666   0.068294   0.067925   0.067557   0.067191     13.085800     12.987800     12.890400     12.794200     12.699000     12.604900     12.511800     12.419800     12.328800     12.238700    12.149700    12.061600    11.974500    11.888300    11.803000    -1.304530    -1.300160    -1.297950    -1.294280    -1.289160    -1.282640    -1.274020    -1.262670    -1.248020    -1.228900    -1.204360    -1.173030    -1.133460    -1.084280   -1.024160   -0.951869   -0.867557   -0.772422   -0.668658   -0.559676   -0.451271   -0.241041  -0.094068  -0.058412
  -396.0         X   0.069353   0.068977   0.068604   0.068232   0.067863     13.216700     13.117600     13.019300     12.922000     12.825900     12.730800     12.636900     12.543900     12.452000     12.361100    12.271100    12.182200    12.094100    12.007100    11.920900    -1.317630    -1.313220    -1.310990    -1.307280    -1.302110    -1.295520    -1.286810    -1.275350    -1.260550    -1.241240    -1.216440    -1.184810    -1.144830    -1.095150   -1.034430   -0.961404   -0.876241   -0.780147   -0.675339   -0.565263   -0.455772   -0.243443  -0.095007  -0.058995
  -394.0         X   0.070047   0.069668   0.069291   0.068916   0.068543     13.349100     13.249100     13.149800     13.051500     12.954400     12.858400     12.763500     12.669600     12.576700     12.484900    12.394100    12.304200    12.215300    12.127400    12.040300    -1.330900    -1.326440    -1.324190    -1.320440    -1.315220    -1.308570    -1.299770    -1.288190    -1.273240    -1.253730    -1.228690    -1.196730    -1.156340    -1.106160   -1.044820   -0.971058   -0.885034   -0.787969   -0.682103   -0.570919   -0.460328   -0.245874  -0.095957  -0.059586
  -392.0         X   0.070751   0.070368   0.069987   0.069608   0.069232     13.483200     13.382200     13.281900     13.182600     13.084600     12.987600     12.891700     12.796800     12.703000     12.610300    12.518500    12.427800    12.338000    12.249100    12.161200    -1.344340    -1.339840    -1.337560    -1.333770    -1.328500    -1.321770    -1.312890    -1.301190    -1.286090    -1.266390    -1.241080    -1.208800    -1.168000    -1.117310   -1.055340   -0.980834   -0.893936   -0.795888   -0.688952   -0.576646   -0.464942   -0.248336  -0.096919  -0.060184
  -390.0         X   0.071463   0.071077   0.070692   0.070309   0.069929     13.619000     13.517000     13.415600     13.315400     13.216300     13.118300     13.021500     12.925700     12.830900     12.737200    12.644600    12.552900    12.462200    12.372400    12.283700    -1.357940    -1.353400    -1.351090    -1.347270    -1.341950    -1.335150    -1.326180    -1.314360    -1.299100    -1.279200    -1.253630    -1.221020    -1.179800    -1.128600   -1.066000   -0.990733   -0.902951   -0.803907   -0.695887   -0.582445   -0.469613   -0.250829  -0.097892  -0.060789
  -388.0         X   0.072185   0.071794   0.071405   0.071019   0.070635     13.756500     13.653400     13.551000     13.449800     13.349700     13.250800     13.152900     13.056100     12.960400     12.865800    12.772200    12.679600    12.587900    12.497300    12.407600    -1.371720    -1.367130    -1.364800    -1.360940    -1.355560    -1.348700    -1.339630    -1.327690    -1.312280    -1.292170    -1.266340    -1.233390    -1.191760    -1.140030   -1.076790   -1.000760   -0.912080   -0.812027   -0.702909   -0.588316   -0.474343   -0.253352  -0.098879  -0.061402
  -386.0         X   0.072915   0.072521   0.072128   0.071738   0.071349     13.895800     13.791600     13.688200     13.585900     13.484800     13.384900     13.286000     13.188300     13.091600     12.996000    12.901400    12.807800    12.715300    12.623700    12.533100    -1.385680    -1.381040    -1.378690    -1.374780    -1.369350    -1.362410    -1.353250    -1.341190    -1.325620    -1.305310    -1.279220    -1.245930    -1.203870    -1.151610   -1.087720   -1.010910   -0.921324   -0.820250   -0.710019   -0.594261   -0.479132   -0.255907  -0.099877  -0.062023
  -384.0         X   0.073655   0.073256   0.072860   0.072465   0.072073     14.036700     13.931600     13.827100     13.723800     13.621600     13.520600     13.420800     13.322000     13.224400     13.127800    13.032200    12.937700    12.844200    12.751700    12.660200    -1.399810    -1.395120    -1.392750    -1.388800    -1.383310    -1.376310    -1.367050    -1.354870    -1.339130    -1.318610    -1.292250    -1.258620    -1.216130    -1.163330   -1.098790   -1.021190   -0.930684   -0.828576   -0.717219   -0.600281   -0.483981   -0.258495  -0.100888  -0.062651
  -382.0         X   0.074404   0.074001   0.073601   0.073202   0.072806     14.179500     14.073300     13.967700     13.863300     13.760200     13.658100     13.557300     13.457500     13.358800     13.261300    13.164700    13.069300    12.974800    12.881400    12.788900    -1.414120    -1.409380    -1.406990    -1.403000    -1.397460    -1.390380    -1.381030    -1.368710    -1.352820    -1.332080    -1.305450    -1.271480    -1.228540    -1.175210   -1.110000   -1.031600   -0.940164   -0.837008   -0.724510   -0.606377   -0.488891   -0.261115  -0.101912  -0.063288
  -380.0         X   0.075162   0.074756   0.074351   0.073949   0.073548     14.324100     14.216800     14.110100     14.004700     13.900400     13.797400     13.695500     13.594700     13.495000     13.396400    13.298900    13.202500    13.107100    13.012700    12.919300    -1.428620    -1.423830    -1.421410    -1.417380    -1.411780    -1.404630    -1.395180    -1.382740    -1.366680    -1.345730    -1.318820    -1.284500    -1.241120    -1.187230   -1.121350   -1.042140   -0.949764   -0.845546   -0.731894   -0.612550   -0.493864   -0.263767  -0.102948  -0.063932
  -378.0         X   0.075930   0.075520   0.075111   0.074704   0.074300     14.470500     14.362100     14.254300     14.147800     14.042500     13.938400     13.835400     13.733600     13.632900     13.533300    13.434800    13.337400    13.241000    13.145600    13.051300    -1.443300    -1.438460    -1.436010    -1.431950    -1.426280    -1.419060    -1.409510    -1.396940    -1.380720    -1.359550    -1.332370    -1.297680    -1.253860    -1.199410   -1.132840   -1.052810   -0.959486   -0.854193   -0.739371   -0.618801   -0.498899   -0.266454  -0.103998  -0.064585
  -376.0         X   0.076708   0.076293   0.075880   0.075469   0.075061     14.618800     14.509200     14.400400     14.292800     14.186400     14.081200     13.977200     13.874300     13.772600     13.671900    13.572400    13.474000    13.376600    13.280200    13.184900    -1.458170    -1.453280    -1.450810    -1.446700    -1.440980    -1.433670    -1.424030    -1.411330    -1.394940    -1.373550    -1.346080    -1.311040    -1.266750    -1.211740   -1.144490   -1.063630   -0.969332   -0.862950   -0.746943   -0.625132   -0.503998   -0.269174  -0.105061  -0.065246
  -374.0         X   0.077496   0.077077   0.076659   0.076245   0.075832     14.769000     14.658300     14.548300     14.439600     14.332100     14.225800     14.120700     14.016800     13.914000     13.812300    13.711800    13.612300    13.513900    13.416600    13.320300    -1.473230    -1.468290    -1.465790    -1.461640    -1.455860    -1.448480    -1.438730    -1.425900    -1.409340    -1.387730    -1.359970    -1.324560    -1.279820    -1.224230   -1.156280   -1.074580   -0.979304   -0.871819   -0.754611   -0.631543   -0.509161   -0.271929  -0.106138  -0.065915
