Name:A X_Dim:600 Y_Dim:200 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38         39         40        41            42            43
  -400.0         X  1.514310e-06  1.466630e-06  1.420460e-06  1.375730e-06  1.332420e-06     21.488000     20.415200     19.428500    18.520200    17.679900    16.898800    16.169900    15.487400    14.846200    14.242400    13.672300    13.132900    12.621700    12.136300    11.674900   -10.432500   -10.223200   -10.119700    -9.951430    -9.724180    -9.445420    -9.095320    -8.662890    -8.147200    -7.536500    -6.838150    -6.060030    -5.217790    -4.338030   -3.450710   -2.590060   -1.803990   -1.138460   -0.628792  -0.289965  -0.106609 -0.004192 -2.018460e-05 -1.239920e-06
  -398.0         X  1.528250e-06  1.480130e-06  1.433530e-06  1.388390e-06  1.344680e-06     21.686200     20.603300     19.607200    18.690500    17.842300    17.053900    16.318200    15.629300    14.982200    14.372700    13.797300    13.253000    12.737000    12.247200    11.781500   -10.529800   -10.318600   -10.214100   -10.044200    -9.814750    -9.533330    -9.179890    -8.743340    -8.222740    -7.606250    -6.901300    -6.115860    -5.265720    -4.377770   -3.482230   -2.613660   -1.820390   -1.148800   -0.634500  -0.292600  -0.107580 -0.004231 -2.037030e-05 -1.251330e-06
  -396.0         X  1.542340e-06  1.493780e-06  1.446750e-06  1.401200e-06  1.357080e-06     21.886600     20.793500     19.788100    18.862700    18.006500    17.210800    16.468200    15.772800    15.119700    14.504600    13.923800    13.374400    12.853700    12.359300    11.889300   -10.628300   -10.415000   -10.309500   -10.138000    -9.906370    -9.622250    -9.265430    -8.824710    -8.299150    -7.676800    -6.965170    -6.172320    -5.314200    -4.417960   -3.514110   -2.637520   -1.836970   -1.159250   -0.640271  -0.295264  -0.108562 -0.004269 -2.055800e-05 -1.262870e-06
  -394.0         X  1.556590e-06  1.507580e-06  1.460120e-06  1.414150e-06  1.369620e-06     22.089300     20.985800     19.970900    19.036800    18.172600    17.369400    16.619900    15.918000    15.258800    14.637900    14.051700    13.497200    12.971600    12.472700    11.998300   -10.727900   -10.512600   -10.406100   -10.232900    -9.999050    -9.712210    -9.351960    -8.907020    -8.376440    -7.748160    -7.029780    -6.229420    -5.363230    -4.458600   -3.546340   -2.661650   -1.853740   -1.169820   -0.646107  -0.297958  -0.109554 -0.004309 -2.074790e-05 -1.274540e-06
  -392.0         X  1.571010e-06  1.521550e-06  1.473640e-06  1.427240e-06  1.382310e-06     22.294400     21.180400     20.155900    19.213000    18.340600    17.529800    16.773200    16.064800    15.399400    14.772700    14.181100    13.621400    13.090900    12.587300    12.108500   -10.828700   -10.611300   -10.503800   -10.328900   -10.092800    -9.803200    -9.439490    -8.990280    -8.454620    -7.820340    -7.095120    -6.287180    -5.412810    -4.499700   -3.578930   -2.686040   -1.870700   -1.180500   -0.652008  -0.300682  -0.110558 -0.004348 -2.093990e-05 -1.286340e-06
  -390.0         X  1.585590e-06  1.535670e-06  1.487310e-06  1.440490e-06  1.395130e-06     22.501800     21.377200     20.342900    19.391100    18.510500    17.692000    16.928400    16.213300    15.541600    14.909000    14.311900    13.747000    13.211500    12.703300    12.220000   -10.930700   -10.711100   -10.602600   -10.426000   -10.187600    -9.895250    -9.528040    -9.074510    -8.533710    -7.893350    -7.161210    -6.345590    -5.462960    -4.541260   -3.611900   -2.710720   -1.887840   -1.191310   -0.657975  -0.303437  -0.111573 -0.004389 -2.113410e-05 -1.298280e-06
  -388.0         X  1.600330e-06  1.549950e-06  1.501150e-06  1.453880e-06  1.408110e-06     22.711500     21.576200     20.532100    19.571200    18.682300    17.856100    17.085200    16.363400    15.685400    15.046900    14.444200    13.874000    13.333500    12.820500    12.332700   -11.033800   -10.812200   -10.702500   -10.524300   -10.283600    -9.988370    -9.617610    -9.159710    -8.613700    -7.967210    -7.228060    -6.404670    -5.513680    -4.583300   -3.645230   -2.735660   -1.905180   -1.202240   -0.664009  -0.306222  -0.112599 -0.004429 -2.133060e-05 -1.310360e-06
  -386.0         X  1.615250e-06  1.564390e-06  1.515130e-06  1.467430e-06  1.421230e-06     22.923700     21.777500     20.723500    19.753500    18.856100    18.022100    17.243900    16.515200    15.830900    15.186400    14.577900    14.002400    13.456900    12.939100    12.446700   -11.138100   -10.914300   -10.803700   -10.623700   -10.380700   -10.082600    -9.708220    -9.245900    -8.694620    -8.041910    -7.295680    -6.464430    -5.564980    -4.625810   -3.678940   -2.760890   -1.922710   -1.213290   -0.670110  -0.309038  -0.113637 -0.004470 -2.152920e-05 -1.322570e-06
  -384.0         X  1.630330e-06  1.579000e-06  1.529280e-06  1.481130e-06  1.434500e-06     23.138300     21.981200     20.917000    19.937800    19.031800    18.189900    17.404400    16.668800    15.978000    15.327400    14.713200    14.132300    13.581700    13.059000    12.562000   -11.243700   -11.017700   -10.906000   -10.724300   -10.478900   -10.177900    -9.799890    -9.333080    -8.776480    -8.117470    -7.364070    -6.524880    -5.616860    -4.668800   -3.713030   -2.786410   -1.940440   -1.224460   -0.676279  -0.311887  -0.114686 -0.004512 -2.173020e-05 -1.334920e-06
  -382.0         X  1.645580e-06  1.593770e-06  1.543590e-06  1.494990e-06  1.447920e-06     23.355400     22.187100     21.112800    20.124200    19.209600    18.359700    17.566600    16.824100    16.126800    15.470000    14.850100    14.263600    13.707900    13.180200    12.678600   -11.350500   -11.122300   -11.009500   -10.826000   -10.578200   -10.274300    -9.892630    -9.421290    -8.859290    -8.193910    -7.433260    -6.586010    -5.669340    -4.712290   -3.747500   -2.812210   -1.958370   -1.235750   -0.682517  -0.314767  -0.115748 -0.004554 -2.193340e-05 -1.347410e-06
