Name:C X_Dim:600 Y_Dim:200 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component           0           1           2           3           4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39         40         41         42         43
  -400.0         X    0.131832    0.131734    0.131637    0.131540    0.131443     22.197600     22.185700     22.173800     22.161900     22.150000     22.138100     22.126200     22.114300     22.102500     22.090600     22.078800     22.067000     22.055100     22.043300     22.031500  -0.046587  -0.046563  -0.046551  -0.046532  -0.046504  -0.046469  -0.046421  -0.046358  -0.046276  -0.046166  -0.046022  -0.045831  -0.045581  -0.045252  -0.044821  -0.044255  -0.043518  -0.042567  -0.041346  -0.039798  -0.037895  -0.032511  -0.025751  -0.023010
  -398.0         X    0.133066    0.132968    0.132870    0.132772    0.132674     22.402500     22.390500     22.378500     22.366400     22.354400     22.342400     22.330400     22.318400     22.306400     22.294500     22.282500     22.270600     22.258700     22.246700     22.234800  -0.047038  -0.047015  -0.047003  -0.046983  -0.046955  -0.046919  -0.046871  -0.046808  -0.046724  -0.046614  -0.046468  -0.046276  -0.046023  -0.045691  -0.045255  -0.044684  -0.043940  -0.042979  -0.041746  -0.040183  -0.038261  -0.032824  -0.025999  -0.023231
  -396.0         X    0.134315    0.134216    0.134117    0.134018    0.133919     22.609700     22.597600     22.585400     22.573300     22.561200     22.549000     22.536900     22.524800     22.512700     22.500700     22.488600     22.476500     22.464500     22.452500     22.440500  -0.047495  -0.047472  -0.047460  -0.047439  -0.047411  -0.047375  -0.047327  -0.047262  -0.047178  -0.047066  -0.046919  -0.046725  -0.046470  -0.046134  -0.045695  -0.045118  -0.044367  -0.043396  -0.042151  -0.040573  -0.038632  -0.033142  -0.026249  -0.023455
  -394.0         X    0.135579    0.135479    0.135379    0.135279    0.135179     22.819300     22.807100     22.794800     22.782500     22.770300     22.758000     22.745800     22.733600     22.721400     22.709200     22.697000     22.684900     22.672700     22.660600     22.648400  -0.047958  -0.047934  -0.047922  -0.047901  -0.047873  -0.047836  -0.047788  -0.047723  -0.047638  -0.047525  -0.047376  -0.047181  -0.046922  -0.046584  -0.046140  -0.045557  -0.044799  -0.043818  -0.042562  -0.040968  -0.039008  -0.033463  -0.026503  -0.023681
  -392.0         X    0.136858    0.136756    0.136655    0.136554    0.136454     23.031300     23.018900     23.006500     22.994100     22.981800     22.969400     22.957100     22.944800     22.932400     22.920100     22.907800     22.895600     22.883300     22.871000     22.858800  -0.048427  -0.048402  -0.048390  -0.048369  -0.048341  -0.048304  -0.048254  -0.048189  -0.048103  -0.047989  -0.047839  -0.047641  -0.047381  -0.047039  -0.046590  -0.046002  -0.045236  -0.044246  -0.042977  -0.041367  -0.039388  -0.033789  -0.026760  -0.023910
  -390.0         X    0.138151    0.138049    0.137947    0.137845    0.137743     23.245700     23.233200     23.220700     23.208200     23.195700     23.183200     23.170800     23.158300     23.145900     23.133500     23.121100     23.108700     23.096300     23.083900     23.071500  -0.048901  -0.048876  -0.048864  -0.048843  -0.048814  -0.048777  -0.048727  -0.048661  -0.048574  -0.048459  -0.048308  -0.048108  -0.047844  -0.047499  -0.047047  -0.046452  -0.045678  -0.044679  -0.043397  -0.041771  -0.039772  -0.034118  -0.027020  -0.024142
  -388.0         X    0.139460    0.139357    0.139254    0.139151    0.139048     23.462500     23.449900     23.437300     23.424700     23.412100     23.399500     23.386900     23.374400     23.361800     23.349300     23.336700     23.324200     23.311700     23.299200     23.286700  -0.049381  -0.049356  -0.049344  -0.049323  -0.049293  -0.049256  -0.049205  -0.049139  -0.049051  -0.048935  -0.048782  -0.048580  -0.048314  -0.047965  -0.047508  -0.046908  -0.046127  -0.045117  -0.043823  -0.042181  -0.040162  -0.034452  -0.027283  -0.024377
  -386.0         X    0.140784    0.140680    0.140576    0.140472    0.140368     23.681900     23.669200     23.656400     23.643700     23.631000     23.618200     23.605500     23.592900     23.580200     23.567500     23.554900     23.542200     23.529600     23.517000     23.504400  -0.049867  -0.049842  -0.049829  -0.049808  -0.049779  -0.049740  -0.049690  -0.049622  -0.049534  -0.049417  -0.049262  -0.049058  -0.048789  -0.048437  -0.047976  -0.047370  -0.046580  -0.045561  -0.044253  -0.042595  -0.040556  -0.034789  -0.027550  -0.024614
  -384.0         X    0.142123    0.142018    0.141913    0.141808    0.141703     23.903700     23.890900     23.878000     23.865200     23.852300     23.839500     23.826700     23.813900     23.801100     23.788300     23.775500     23.762800     23.750000     23.737300     23.724600  -0.050359  -0.050334  -0.050321  -0.050300  -0.050270  -0.050231  -0.050180  -0.050112  -0.050023  -0.049904  -0.049748  -0.049542  -0.049271  -0.048915  -0.048449  -0.047837  -0.047040  -0.046010  -0.044689  -0.043015  -0.040955  -0.035131  -0.027819  -0.024855
  -382.0         X    0.143479    0.143373    0.143267    0.143161    0.143055     24.128200     24.115200     24.102200     24.089200     24.076300     24.063300     24.050400     24.037400     24.024500     24.011600     23.998700     23.985800     23.973000     23.960100     23.947300  -0.050857  -0.050832  -0.050819  -0.050797  -0.050767  -0.050728  -0.050676  -0.050608  -0.050518  -0.050398  -0.050240  -0.050032  -0.049758  -0.049399  -0.048928  -0.048310  -0.047505  -0.046464  -0.045131  -0.043439  -0.041360  -0.035477  -0.028092  -0.025098
