Name:B X_Dim:600 Y_Dim:300 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19           20           21           22           23           24            25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40          41         42         43
  -400.0         X   0.306431   0.305610   0.304792   0.303976   0.303163     29.267200     29.140000     29.013400     28.888000     28.763700     28.640500     28.518500     28.397500     28.277600     28.158700     28.040900     27.924000     27.808200     27.693400     27.579500    -1.502610    -1.498140    -1.495880    -1.492130    -1.486900 -1.480220e+00    -1.471400    -1.459790    -1.444780    -1.425180    -1.400000    -1.367830    -1.327110    -1.276450   -1.214380   -1.139580   -1.052130   -0.953236   -0.845151   -0.731390   -0.617825   -0.393142  -0.219066  -0.168073
  -398.0         X   0.308988   0.308160   0.307334   0.306512   0.305692     29.519200     29.390900     29.263100     29.136600     29.011100     28.886900     28.763700     28.641600     28.520600     28.400700     28.281700     28.163900     28.047000     27.931100     27.816200    -1.516460    -1.511950    -1.509670    -1.505880    -1.500600 -1.493860e+00    -1.484950    -1.473230    -1.458070    -1.438290    -1.412870    -1.380390    -1.339290    -1.288140   -1.225480   -1.149970   -1.061700   -0.961871   -0.852768   -0.737942   -0.623319   -0.396571  -0.220934  -0.169494
  -396.0         X   0.311570   0.310735   0.309902   0.309073   0.308246     29.773900     29.644400     29.515500     29.387800     29.261200     29.135800     29.011500     28.888300     28.766200     28.645200     28.525200     28.406200     28.288300     28.171300     28.055400    -1.530460    -1.525920    -1.523610    -1.519780    -1.514460 -1.507650e+00    -1.498660    -1.486820    -1.471530    -1.451560    -1.425890    -1.393100    -1.351610    -1.299970   -1.236720   -1.160490   -1.071380   -0.970604   -0.860471   -0.744566   -0.628873   -0.400036  -0.222821  -0.170929
  -394.0         X   0.314178   0.313336   0.312496   0.311659   0.310825     30.031200     29.900600     29.770500     29.641600     29.513900     29.387300     29.261900     29.137600     29.014400     28.892200     28.771200     28.651100     28.532100     28.414100     28.297100    -1.544640    -1.540040    -1.537720    -1.533850    -1.528470 -1.521610e+00    -1.512530    -1.500580    -1.485130    -1.464970    -1.439060    -1.405960    -1.364070    -1.311940   -1.248080   -1.171120   -1.081170   -0.979436   -0.868261   -0.751265   -0.634489   -0.403539  -0.224728  -0.172379
  -392.0         X   0.316812   0.315963   0.315116   0.314272   0.313431     30.291300     30.159500     30.028200     29.898100     29.769300     29.641500     29.515000     29.389500     29.265200     29.141900     29.019700     28.898600     28.778500     28.659400     28.541400    -1.558970    -1.554340    -1.551990    -1.548090    -1.542660 -1.535720e+00    -1.526560    -1.514490    -1.498900    -1.478550    -1.452380    -1.418960    -1.376670    -1.324050   -1.259570   -1.181880   -1.091070   -0.988368   -0.876139   -0.758038   -0.640167   -0.407079  -0.226655  -0.173844
  -390.0         X   0.319473   0.318617   0.317762   0.316911   0.316063     30.554200     30.421100     30.288700     30.157400     30.027300     29.898400     29.770700     29.644100     29.518600     29.394200     29.270900     29.148700     29.027500     28.907400     28.788200    -1.573480    -1.568800    -1.566430    -1.562490    -1.557000 -1.550000e+00    -1.540750    -1.528570    -1.512830    -1.492280    -1.465860    -1.432120    -1.389430    -1.336290   -1.271200   -1.192770   -1.101080   -0.997402   -0.884106   -0.764888   -0.645908   -0.410657  -0.228602  -0.175324
  -388.0         X   0.322161   0.321297   0.320436   0.319577   0.318721     30.819800     30.685600     30.551900     30.419400     30.288100     30.158100     30.029100     29.901400     29.774800     29.649200     29.524800     29.401500     29.279200     29.157900     29.037700    -1.588150    -1.583430    -1.581030    -1.577060    -1.571520 -1.564450e+00    -1.555110    -1.542810    -1.526920    -1.506170    -1.479500    -1.445430    -1.402330    -1.348680   -1.282960   -1.203770   -1.111210   -1.006540   -0.892164   -0.771814   -0.651712   -0.414274  -0.230569  -0.176820
  -386.0         X   0.324876   0.324004   0.323135   0.322269   0.321406     31.088300     30.952800     30.817900     30.684200     30.551700     30.420400     30.290300     30.161400     30.033600     29.906900     29.781400     29.656900     29.533400     29.411100     29.289700    -1.603000    -1.598230    -1.595810    -1.591800    -1.586210 -1.579070e+00    -1.569640    -1.557220    -1.541170    -1.520220    -1.493290    -1.458900    -1.415380    -1.361210   -1.294860   -1.214910   -1.121450   -1.015780   -0.900312   -0.778818   -0.657582   -0.417930  -0.232557  -0.178330
  -384.0         X   0.327618   0.326739   0.325863   0.324989   0.324118     31.359600     31.222900     31.086700     30.951800     30.818100     30.685600     30.554300     30.424200     30.295200     30.167400     30.040600     29.915000     29.790400     29.666900     29.544500    -1.618020    -1.613210    -1.610760    -1.606710    -1.601070 -1.593860e+00    -1.584340    -1.571790    -1.555590    -1.534440    -1.507250    -1.472520    -1.428580    -1.373890   -1.306900   -1.226170   -1.131820   -1.025130   -0.908554   -0.785901   -0.663516   -0.421626  -0.234565  -0.179856
  -382.0         X   0.330388   0.329501   0.328617   0.327736   0.326858     31.633800     31.495800     31.358400     31.222200     31.087300     30.953600     30.821000     30.689700     30.559600     30.430500     30.302600     30.175800     30.050100     29.925500     29.801900    -1.633220    -1.628360    -1.625890    -1.621800    -1.616100 -1.608820e+00    -1.599210    -1.586540    -1.570180    -1.548830    -1.521370    -1.486310    -1.441940    -1.386720   -1.319080   -1.237570   -1.142300   -1.034580   -0.916889   -0.793064   -0.669517   -0.425361  -0.236594  -0.181398
  -380.0         X   0.333186   0.332292   0.331400   0.330511   0.329625     31.911000     31.771600     31.632900     31.495500     31.359300     31.224400     31.090600     30.958100     30.826700     30.696500     30.567400     30.439500     30.312600     30.186800     30.062100    -1.648600    -1.643690    -1.641200    -1.637070    -1.631310 -1.623960e+00    -1.614250    -1.601470    -1.584950    -1.563380    -1.535660    -1.500250    -1.455450    -1.399690   -1.331390   -1.249100   -1.152910   -1.044150   -0.925319   -0.800308   -0.675584   -0.429137  -0.238645  -0.182956
  -378.0         X   0.336012   0.335110   0.334211   0.333314   0.332420     32.191000     32.050400     31.910400     31.771700     31.634300     31.498100     31.363100     31.229300     31.096700     30.965300     30.835000     30.705900     30.577800     30.450900     30.325000    -1.664160    -1.659200    -1.656690    -1.652520    -1.646700 -1.639280e+00    -1.629480    -1.616570    -1.599890    -1.578110    -1.550120    -1.514360    -1.469120    -1.412820   -1.343860   -1.260760   -1.163630   -1.053820   -0.933845   -0.807633   -0.681720   -0.432954  -0.240717  -0.184530
  -376.0         X   0.338867   0.337957   0.337049   0.336145   0.335244     32.474100     32.332200     32.190900     32.050900     31.912100     31.774700     31.638400     31.503400     31.369600     31.237000     31.105500     30.975100     30.845900     30.717800     30.590700    -1.679910    -1.674900    -1.672360    -1.668150    -1.662280 -1.654780e+00    -1.644880    -1.631840    -1.615000    -1.593010    -1.564740    -1.528640    -1.482960    -1.426100   -1.356470   -1.272560   -1.174480   -1.063610   -0.942469   -0.815042   -0.687924   -0.436812  -0.242810  -0.186120
  -374.0         X   0.341750   0.340832   0.339917   0.339005   0.338096     32.760200     32.617000     32.474300     32.333000     32.193000     32.054200     31.916700     31.780500     31.645400     31.511500     31.378800     31.247200     31.116800     30.987500     30.859300    -1.695840    -1.690780    -1.688220    -1.683960    -1.678040 -1.670470e+00    -1.660470    -1.647300    -1.630290    -1.608090    -1.579540    -1.543080    -1.496950    -1.439540   -1.369220   -1.284490   -1.185460   -1.073500   -0.951192   -0.822535   -0.694197   -0.440712  -0.244926  -0.187726
  -372.0         X   0.344663   0.343737   0.342814   0.341893   0.340976     33.049400     32.904800     32.760800     32.618200     32.476800     32.336800     32.198000     32.060400     31.924100     31.789000     31.655000     31.522200     31.390600     31.260100     31.130600    -1.711960    -1.706850    -1.704260    -1.699970    -1.693980 -1.686340e+00    -1.676240    -1.662950    -1.645770    -1.623340    -1.594520    -1.557700    -1.511110    -1.453140   -1.382130   -1.296570   -1.196570   -1.083520   -0.960015   -0.830112   -0.700541   -0.444654  -0.247063  -0.189349
  -370.0         X   0.347605   0.346671   0.345739   0.344811   0.343886     33.341600     33.195700     33.050300     32.906400     32.763700     32.622300     32.482300     32.343400     32.205800     32.069400     31.934200     31.800200     31.667300     31.535600     31.404900    -1.728270    -1.723110    -1.720500    -1.716160    -1.710120 -1.702400e+00    -1.692200    -1.678770    -1.661430    -1.638780    -1.609670    -1.572490    -1.525440    -1.466900   -1.395190   -1.308780   -1.207800   -1.093640   -0.968939   -0.837776   -0.706956   -0.448639  -0.249223  -0.190989
  -368.0         X   0.350577   0.349634   0.348695   0.347758   0.346825     33.637000     33.489700     33.343000     33.197600     33.053600     32.910900     32.769500     32.629400     32.490500     32.352800     32.216400     32.081100     31.946900     31.814000     31.682100    -1.744780    -1.739570    -1.736930    -1.732550    -1.726450 -1.718650e+00    -1.708360    -1.694790    -1.677270    -1.654400    -1.625000    -1.587450    -1.539940    -1.480820   -1.408400   -1.321140   -1.219170   -1.103890   -0.977966   -0.845527   -0.713444   -0.452668  -0.251406  -0.192645
  -366.0         X   0.353579   0.352628   0.351680   0.350735   0.349794     33.935500     33.786800     33.638700     33.492000     33.346700     33.202600     33.059900     32.918400     32.778200     32.639300     32.501500     32.365000     32.229600     32.095300     31.962300    -1.761490    -1.756230    -1.753560    -1.749130    -1.742970 -1.735100e+00    -1.724700    -1.711000    -1.693310    -1.670210    -1.640520    -1.602600    -1.554610    -1.494900   -1.421770   -1.333650   -1.230670   -1.114260   -0.987097   -0.853367   -0.720004   -0.456740  -0.253611  -0.194319
  -364.0         X   0.356611   0.355651   0.354695   0.353742   0.352793     34.237200     34.087100     33.937700     33.789600     33.642800     33.497400     33.353400     33.210600     33.069100     32.928800     32.789700     32.651900     32.515200     32.379700     32.245400    -1.778400    -1.773080    -1.770390    -1.765920    -1.759690 -1.751740e+00    -1.741240    -1.727410    -1.709540    -1.686210    -1.656220    -1.617920    -1.569460    -1.509160   -1.435290   -1.346300   -1.242300   -1.124740   -0.996334   -0.861296   -0.726638   -0.460857  -0.255840  -0.196010
  -362.0         X   0.359673   0.358706   0.357741   0.356780   0.355822     34.542200     34.390700     34.239800     34.090300     33.942200     33.795400     33.650000     33.505800     33.363000     33.221400     33.081000     32.941900     32.803900     32.667100     32.531500    -1.795510    -1.790140    -1.787420    -1.782900    -1.776610 -1.768590e+00    -1.757980    -1.744010    -1.725960    -1.702400    -1.672110    -1.633430    -1.584480    -1.523580   -1.448980   -1.359110   -1.254080   -1.135350   -1.005680   -0.869316   -0.733348   -0.465019  -0.258092  -0.197719
  -360.0         X   0.362767   0.361791   0.360818   0.359848   0.358881     34.850500     34.697500     34.545200     34.394300     34.244700     34.096600     33.949700     33.804200     33.660000     33.517100     33.375400     33.234900     33.095700     32.957600     32.820700    -1.812820    -1.807400    -1.804650    -1.800090    -1.793740 -1.785630e+00    -1.774920    -1.760810    -1.742580    -1.718780    -1.688190    -1.649120    -1.599690    -1.538170   -1.462830   -1.372060   -1.265980   -1.146080   -1.015130   -0.877427   -0.740133   -0.469226  -0.260367  -0.199445
  -358.0         X   0.365892   0.364907   0.363925   0.362947   0.361972     35.162000     35.007600     34.853800     34.701500     34.550500     34.401000     34.252700     34.105800     33.960300     33.816000     33.672900     33.531100     33.390600     33.251200     33.113000    -1.830350    -1.824870    -1.822100    -1.817490    -1.811070 -1.802880e+00    -1.792060    -1.777810    -1.759400    -1.735360    -1.704460    -1.665000    -1.615070    -1.552940   -1.476850   -1.385170   -1.278030   -1.156940   -1.024690   -0.885632   -0.746995   -0.473479  -0.262666  -0.201189
  -356.0         X   0.369048   0.368055   0.367064   0.366077   0.365093     35.476900     35.321000     35.165800     35.012000     34.859600     34.708600     34.559000     34.410700     34.263700     34.118000     33.973700     33.830500     33.688600     33.547900     33.408400    -1.848080    -1.842550    -1.839750    -1.835100    -1.828620 -1.820340e+00    -1.809410    -1.795010    -1.776420    -1.752140    -1.720930    -1.681070    -1.630640    -1.567890   -1.491030   -1.398430   -1.290230   -1.167930   -1.034360   -0.893931   -0.753935   -0.477779  -0.264990  -0.202950
  -354.0         X   0.372236   0.371234   0.370235   0.369239   0.368246     35.795200     35.637800     35.481100     35.325800     35.172000     35.019600     34.868500     34.718800     34.570400     34.423400     34.277600     34.133100     33.989800     33.847800     33.707000    -1.866030    -1.860450    -1.857620    -1.852920    -1.846370 -1.838010e+00    -1.826970    -1.812430    -1.793650    -1.769120    -1.737600    -1.697340    -1.646400    -1.583010   -1.505380   -1.411850   -1.302560   -1.179040   -1.044150   -0.902325   -0.760953   -0.482125  -0.267338  -0.204731
