Name:C X_Dim:600 Y_Dim:30 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39            40         41         42         43
  -400.0         X   0.018973   0.018929   0.018884   0.018840   0.018796     1.566820     1.562270     1.557710     1.553180     1.548670     1.544170     1.539700     1.535240     1.530800     1.526390     1.521990     1.517610     1.513250     1.508910     1.504590   -0.047866   -0.047793   -0.047756   -0.047694   -0.047608   -0.047498   -0.047351   -0.047156   -0.046903   -0.046568   -0.046132   -0.045564   -0.044826   -0.043879   -0.042671   -0.041139   -0.039233   -0.036911   -0.034144   -0.030943 -2.741970e-02  -0.019372  -0.012000  -0.009591
  -398.0         X   0.019185   0.019140   0.019095   0.019050   0.019006     1.584330     1.579730     1.575120     1.570540     1.565970     1.561430     1.556900     1.552400     1.547910     1.543440     1.539000     1.534570     1.530160     1.525770     1.521400   -0.048401   -0.048328   -0.048290   -0.048228   -0.048140   -0.048029   -0.047880   -0.047684   -0.047427   -0.047089   -0.046648   -0.046073   -0.045328   -0.044370   -0.043148   -0.041599   -0.039672   -0.037323   -0.034526   -0.031289 -2.772610e-02  -0.019588  -0.012134  -0.009698
  -396.0         X   0.019400   0.019355   0.019309   0.019264   0.019219     1.602090     1.597430     1.592780     1.588140     1.583520     1.578930     1.574350     1.569800     1.565260     1.560740     1.556250     1.551770     1.547310     1.542880     1.538460   -0.048944   -0.048870   -0.048832   -0.048769   -0.048680   -0.048567   -0.048418   -0.048219   -0.047960   -0.047617   -0.047171   -0.046590   -0.045836   -0.044867   -0.043632   -0.042066   -0.040117   -0.037742   -0.034913   -0.031640 -2.803690e-02  -0.019808  -0.012270  -0.009807
  -394.0         X   0.019618   0.019572   0.019526   0.019480   0.019435     1.620100     1.615390     1.610680     1.606000     1.601330     1.596680     1.592050     1.587450     1.582860     1.578290     1.573740     1.569220     1.564710     1.560220     1.555750   -0.049495   -0.049419   -0.049381   -0.049317   -0.049228   -0.049114   -0.048962   -0.048761   -0.048499   -0.048153   -0.047702   -0.047114   -0.046352   -0.045372   -0.044123   -0.042539   -0.040568   -0.038166   -0.035305   -0.031996 -2.835210e-02  -0.020030  -0.012408  -0.009917
  -392.0         X   0.019839   0.019793   0.019746   0.019700   0.019654     1.638370     1.633610     1.628850     1.624110     1.619390     1.614690     1.610010     1.605350     1.600710     1.596090     1.591490     1.586910     1.582360     1.577820     1.573300   -0.050054   -0.049977   -0.049938   -0.049874   -0.049784   -0.049668   -0.049515   -0.049312   -0.049046   -0.048696   -0.048240   -0.047646   -0.046875   -0.045884   -0.044621   -0.043019   -0.041026   -0.038597   -0.035704   -0.032357 -2.867180e-02  -0.020256  -0.012548  -0.010029
  -390.0         X   0.020064   0.020017   0.019970   0.019923   0.019876     1.656910     1.652090     1.647280     1.642480     1.637710     1.632950     1.628220     1.623510     1.618820     1.614150     1.609500     1.604870     1.600260     1.595670     1.591100   -0.050620   -0.050543   -0.050504   -0.050439   -0.050347   -0.050231   -0.050075   -0.049870   -0.049602   -0.049248   -0.048786   -0.048185   -0.047405   -0.046404   -0.045126   -0.043506   -0.041490   -0.039034   -0.036108   -0.032723 -2.899620e-02  -0.020485  -0.012689  -0.010142
  -388.0         X   0.020291   0.020244   0.020196   0.020149   0.020102     1.675710     1.670840     1.665970     1.661120     1.656290     1.651480     1.646700     1.641930     1.637190     1.632460     1.627760     1.623080     1.618420     1.613770     1.609150   -0.051195   -0.051117   -0.051077   -0.051011   -0.050919   -0.050801   -0.050644   -0.050436   -0.050165   -0.049807   -0.049340   -0.048732   -0.047944   -0.046931   -0.045638   -0.044000   -0.041961   -0.039477   -0.036518   -0.033094 -2.932520e-02  -0.020718  -0.012833  -0.010257
  -386.0         X   0.020522   0.020474   0.020426   0.020378   0.020330     1.694780     1.689860     1.684930     1.680030     1.675140     1.670280     1.665440     1.660620     1.655820     1.651040     1.646290     1.641550     1.636840     1.632140     1.627470   -0.051778   -0.051699   -0.051659   -0.051592   -0.051499   -0.051380   -0.051221   -0.051011   -0.050736   -0.050375   -0.049902   -0.049287   -0.048490   -0.047465   -0.046158   -0.044501   -0.042439   -0.039926   -0.036933   -0.033471 -2.965900e-02  -0.020953  -0.012979  -0.010374
  -384.0         X   0.020757   0.020708   0.020659   0.020611   0.020562     1.714130     1.709150     1.704170     1.699210     1.694270     1.689350     1.684460     1.679580     1.674730     1.669900     1.665080     1.660290     1.655530     1.650780     1.646050   -0.052370   -0.052290   -0.052250   -0.052182   -0.052088   -0.051967   -0.051806   -0.051594   -0.051316   -0.050950   -0.050472   -0.049851   -0.049044   -0.048007   -0.046685   -0.045009   -0.042924   -0.040382   -0.037355   -0.033853 -2.999760e-02  -0.021193  -0.013127  -0.010492
  -382.0         X   0.020994   0.020945   0.020896   0.020847   0.020798     1.733770     1.728730     1.723690     1.718670     1.713670     1.708700     1.703750     1.698820     1.693910     1.689020     1.684160     1.679310     1.674490     1.669680     1.664900   -0.052970   -0.052889   -0.052848   -0.052780   -0.052685   -0.052562   -0.052400   -0.052185   -0.051904   -0.051534   -0.051051   -0.050422   -0.049606   -0.048558   -0.047220   -0.045525   -0.043416   -0.040845   -0.037783   -0.034241 -3.034110e-02  -0.021435  -0.013278  -0.010612
