Name:A X_Dim:600 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7             8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39         40         41        42            43
  -400.0         X  3.990390e-03  3.935890e-03  3.882140e-03  3.829120e-03  3.776830e-03     34.448300     33.232800     32.105900     31.060400    30.085400    29.171900    28.312800    27.501800    26.734000    26.005100    25.311300    24.649600    24.017300    23.412100    22.831800   -12.357500   -12.139900   -12.032300   -11.857300   -11.620900   -11.330700   -10.966100   -10.515500    -9.977580    -9.339880    -8.609470    -7.793580    -6.906690    -5.973320   -5.019180   -4.071240   -3.168060   -2.345470   -1.632790   -1.052410  -0.620276  -0.131470 -0.012369 -3.710750e-03
  -398.0         X  4.014180e-03  3.959350e-03  3.905280e-03  3.851940e-03  3.799340e-03     34.719100     33.493000     32.356200     31.301700    30.318200    29.397000    28.530400    27.712600    26.938300    26.203200    25.503600    24.836400    24.198800    23.588500    23.003400   -12.463000   -12.243500   -12.134900   -11.958200   -11.719600   -11.426800   -11.058900   -10.604100   -10.061300    -9.417840    -8.680830    -7.857620    -6.962860    -6.021290   -5.058890   -4.102870   -3.192160   -2.362890   -1.644590   -1.059790  -0.624484  -0.132303 -0.012444 -3.732860e-03
  -396.0         X  4.038120e-03  3.982960e-03  3.928550e-03  3.874900e-03  3.821980e-03     34.992600     33.755700     32.609000     31.545300    30.553300    29.624100    28.750200    27.925300    27.144400    26.403100    25.697600    25.024800    24.381900    23.766500    23.176600   -12.569700   -12.348100   -12.238500   -12.060300   -11.819500   -11.524000   -11.152600   -10.693700   -10.146000    -9.496610    -8.752930    -7.922330    -7.019590    -6.069740   -5.098970   -4.134800   -3.216490   -2.380470   -1.656480   -1.067230  -0.628724  -0.133141 -0.012519 -3.755100e-03
  -394.0         X  4.062190e-03  4.006700e-03  3.951970e-03  3.898000e-03  3.844760e-03     35.268700     34.020900     32.864200     31.791200    30.790600    29.853400    28.972000    28.140100    27.352500    26.604900    25.893500    25.215000    24.566700    23.946200    23.351300   -12.677500   -12.453900   -12.343300   -12.163400   -11.920400   -11.622100   -11.247400   -10.784200   -10.231500    -9.576200    -8.825780    -7.987690    -7.076900    -6.118660   -5.139450   -4.167040   -3.241040   -2.398200   -1.668480   -1.074720  -0.632998  -0.133985 -0.012594 -3.777480e-03
  -392.0         X  4.086420e-03  4.030590e-03  3.975540e-03  3.921240e-03  3.867680e-03     35.547600     34.288700     33.121800     32.039400    31.030200    30.084900    29.195800    28.356800    27.562500    26.808600    26.091100    25.406900    24.753200    24.127500    23.527600   -12.786500   -12.560900   -12.449200   -12.267600   -12.022300   -11.721400   -11.343100   -10.875700   -10.317900    -9.656630    -8.899390    -8.053730    -7.134790    -6.168070   -5.180320   -4.199580   -3.265820   -2.416090   -1.680590   -1.082280  -0.637304  -0.134835 -0.012670 -3.799990e-03
  -390.0         X  4.110790e-03  4.054630e-03  3.999240e-03  3.944610e-03  3.890740e-03     35.829100     34.559100     33.382000     32.290100    31.272000    30.318500    29.421800    28.575600    27.774500    27.014100    26.290600    25.600600    24.941400    24.310400    23.705600   -12.896700   -12.668900   -12.556300   -12.373000   -12.125400   -11.821600   -11.439900   -10.968200   -10.405200    -9.737900    -8.973750    -8.120440    -7.193260    -6.217970   -5.221590   -4.232430   -3.290820   -2.434140   -1.692790   -1.089900  -0.641643  -0.135690 -0.012747 -3.822640e-03
  -388.0         X  4.135300e-03  4.078810e-03  4.023090e-03  3.968130e-03  3.913930e-03     36.113400     34.832100     33.644600     32.543100    31.516200    30.554400    29.649900    28.796400    27.988500    27.221600    26.491900    25.796100    25.131300    24.495000    23.885100   -13.008100   -12.778200   -12.664500   -12.479500   -12.229600   -11.923000   -11.537700   -11.061600   -10.493500    -9.820030    -9.048890    -8.187840    -7.252320    -6.268360   -5.263260   -4.265590   -3.316050   -2.452340   -1.705100   -1.097580  -0.646016  -0.136551 -0.012823 -3.845420e-03
  -386.0         X  4.159960e-03  4.103130e-03  4.047070e-03  3.991790e-03  3.937260e-03     36.400400     35.107800     33.909700     32.798600    31.762600    30.792400    29.880100    29.019300    28.204400    27.431000    26.695100    25.993300    25.322900    24.681300    24.066300   -13.120700   -12.888600   -12.773800   -12.587100   -12.334900   -12.025400   -11.636600   -11.156100   -10.582700    -9.903020    -9.124820    -8.255930    -7.311980    -6.319260   -5.305340   -4.299070   -3.341520   -2.470710   -1.717520   -1.105320  -0.650423  -0.137418 -0.012901 -3.868340e-03
  -384.0         X  4.184770e-03  4.127590e-03  4.071200e-03  4.015580e-03  3.960730e-03     36.690300     35.386100     34.177400     33.056500    32.011500    31.032800    30.112600    29.244300    28.422400    27.642300    26.900100    26.192400    25.516400    24.869300    24.249200   -13.234500   -13.000200   -12.884400   -12.695900   -12.441300   -12.129000   -11.736500   -11.251600   -10.672800    -9.986880    -9.201530    -8.324720    -7.372240    -6.370670   -5.347820   -4.332860   -3.367220   -2.489240   -1.730040   -1.113130  -0.654863  -0.138291 -0.012979 -3.891400e-03
  -382.0         X  4.209720e-03  4.152200e-03  4.095470e-03  4.039520e-03  3.984340e-03     36.982900     35.667100     34.447700     33.316800    32.262600    31.275400    30.347200    29.471300    28.642400    27.855600    27.107100    26.393400    25.711500    25.059000    24.433600   -13.349500   -13.113100   -12.996100   -12.805900   -12.548900   -12.233700   -11.837500   -11.348000   -10.763900   -10.071600    -9.279040    -8.394220    -7.433120    -6.422580   -5.390720   -4.366970   -3.393160   -2.507940   -1.742660   -1.121000  -0.659337  -0.139170 -0.013057 -3.914590e-03
  -380.0         X  4.234820e-03  4.176950e-03  4.119880e-03  4.063590e-03  4.008080e-03     37.278500     35.950900     34.720600     33.579700    32.516200    31.520300    30.584000    29.700500    28.864400    28.070900    27.315900    26.596100    25.908500    25.250500    24.619800   -13.465800   -13.227100   -13.109100   -12.917100   -12.657700   -12.339500   -11.939600   -11.445500   -10.856000   -10.157300    -9.357360    -8.464440    -7.494620    -6.475010   -5.434040   -4.401410   -3.419340   -2.526800   -1.755400   -1.128930  -0.663845  -0.140055 -0.013136 -3.937910e-03
  -378.0         X  4.260060e-03  4.201850e-03  4.144430e-03  4.087810e-03  4.031960e-03     37.576900     36.237300     34.996100     33.845100    32.772200    31.767500    30.823000    29.931900    29.088500    28.288100    27.526700    26.800800    26.107300    25.443700    24.807700   -13.583400   -13.342400   -13.223300   -13.029400   -12.767600   -12.446400   -12.042800   -11.544100   -10.949000   -10.243800    -9.436510    -8.535380    -7.556730    -6.527970   -5.477780   -4.436170   -3.445750   -2.545830   -1.768240   -1.136920  -0.668388  -0.140945 -0.013215 -3.961370e-03
  -376.0         X  4.285450e-03  4.226890e-03  4.169130e-03  4.112160e-03  4.055980e-03     37.878200     36.526600     35.274200     34.113000    33.030600    32.017100    31.064300    30.165400    29.314700    28.507400    27.739400    27.007300    26.307900    25.638600    24.997200   -13.702200   -13.459000   -13.338700   -13.143000   -12.878800   -12.554500   -12.147100   -11.643700   -11.043000   -10.331300    -9.516470    -8.607050    -7.619490    -6.581460   -5.521950   -4.471270   -3.472410   -2.565030   -1.781190   -1.144980  -0.672965  -0.141842 -0.013294 -3.984960e-03
  -374.0         X  4.310980e-03  4.252070e-03  4.193960e-03  4.136660e-03  4.080140e-03     38.182500     36.818700     35.555100     34.383500    33.291500    32.269100    31.307900    30.401100    29.543100    28.728800    27.954200    27.215700    26.510300    25.835400    25.188500   -13.822400   -13.576900   -13.455400   -13.257900   -12.991100   -12.663800   -12.252500   -11.744400   -11.138100   -10.419600    -9.597280    -8.679470    -7.682880    -6.635470   -5.566540   -4.506700   -3.499320   -2.584400   -1.794250   -1.153110  -0.677577  -0.142744 -0.013375 -4.008690e-03
  -372.0         X  4.336660e-03  4.277390e-03  4.218940e-03  4.161290e-03  4.104430e-03     38.489700     37.113600     35.838600     34.656600    33.554900    32.523400    31.553800    30.639100    29.773500    28.952100    28.170800    27.426000    26.714600    26.033900    25.381600   -13.943800   -13.696000   -13.573400   -13.374000   -13.104700   -12.774200   -12.359100   -11.846100   -11.234100   -10.509000    -9.678930    -8.752630    -7.746910    -6.690030   -5.611580   -4.542460   -3.526470   -2.603940   -1.807420   -1.161300  -0.682223  -0.143652 -0.013455 -4.032550e-03
  -370.0         X  4.362480e-03  4.302860e-03  4.244050e-03  4.186060e-03  4.128860e-03     38.800000     37.411400     36.124900     34.932300    33.820700    32.780100    31.802000    30.879200    30.006100    29.177600    28.389500    27.638300    26.920800    26.234200    25.576300   -14.066600   -13.816400   -13.692700   -13.491400   -13.219500   -12.885900   -12.466800   -11.949000   -11.331200   -10.599200    -9.761440    -8.826550    -7.811600    -6.745130   -5.657050   -4.578560   -3.553870   -2.623650   -1.820700   -1.169550  -0.686905  -0.144566 -0.013536 -4.056550e-03
  -368.0         X  4.388450e-03  4.328470e-03  4.269310e-03  4.210960e-03  4.153420e-03     39.113300     37.712100     36.414000     35.210600    34.089200    33.039300    32.052500    31.121600    30.240900    29.405100    28.610200    27.852500    27.128800    26.436400    25.772900   -14.190800   -13.938200   -13.813200   -13.610000   -13.335500   -12.998800   -12.575700   -12.053000   -11.429300   -10.690400    -9.844820    -8.901240    -7.876940    -6.800790   -5.702970   -4.615010   -3.581520   -2.643530   -1.834100   -1.177880  -0.691622  -0.145487 -0.013618 -4.080680e-03
  -366.0         X  4.414560e-03  4.354220e-03  4.294700e-03  4.236010e-03  4.178120e-03     39.429600     38.015700     36.705800     35.491600    34.360100    33.300900    32.305400    31.366300    30.477800    29.634800    28.833000    28.068700    27.338700    26.640400    25.971200   -14.316300   -14.061300   -13.935100   -13.730000   -13.452800   -13.112900   -12.685700   -12.158000   -11.528500   -10.782600    -9.929070    -8.976700    -7.942960    -6.857000   -5.749330   -4.651800   -3.609430   -2.663590   -1.847600   -1.186260  -0.696374  -0.146413 -0.013700 -4.104940e-03
