Name:B X_Dim:600 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40          41         42         43
  -400.0         X   0.369354   0.368506   0.367661   0.366819   0.365979     35.400500     35.268300     35.136500     35.006000     34.876600     34.748300     34.621100     34.495000     34.370000     34.246100     34.123200     34.001300     33.880400     33.760400     33.641500    -1.516220    -1.511740    -1.509470    -1.505700    -1.500450    -1.493750    -1.484890    -1.473230    -1.458150    -1.438470    -1.413150    -1.380800    -1.339840    -1.288830   -1.226290   -1.150840   -1.062560   -0.962637   -0.853373   -0.738395   -0.623759   -0.398052  -0.225162  -0.175022
  -398.0         X   0.372150   0.371296   0.370444   0.369595   0.368748     35.679300     35.545900     35.413000     35.281300     35.150800     35.021400     34.893100     34.765900     34.639800     34.514700     34.390700     34.267800     34.145800     34.024800     33.904900    -1.529970    -1.525450    -1.523160    -1.519350    -1.514060    -1.507290    -1.498350    -1.486570    -1.471360    -1.451490    -1.425930    -1.393280    -1.351940    -1.300450   -1.237310   -1.161160   -1.072060   -0.971201   -0.860920   -0.744877   -0.629185   -0.401423  -0.227000  -0.176427
  -396.0         X   0.374972   0.374111   0.373252   0.372396   0.371542     35.960800     35.826200     35.692200     35.559300     35.427600     35.297100     35.167600     35.039300     34.912100     34.786000     34.660900     34.536800     34.413800     34.291800     34.170800    -1.543880    -1.539320    -1.537000    -1.533160    -1.527820    -1.520990    -1.511960    -1.500080    -1.484720    -1.464660    -1.438870    -1.405900    -1.364170    -1.312200   -1.248470   -1.171600   -1.081660   -0.979862   -0.868552   -0.751430   -0.634669   -0.404830  -0.228856  -0.177845
  -394.0         X   0.377820   0.376951   0.376085   0.375222   0.374362     36.245100     36.109300     35.974000     35.840000     35.707200     35.575500     35.444900     35.315400     35.187100     35.059900     34.933700     34.808500     34.684400     34.561300     34.439200    -1.557950    -1.553340    -1.551010    -1.547130    -1.541740    -1.534840    -1.525730    -1.513730    -1.498230    -1.477980    -1.451940    -1.418670    -1.376550    -1.324080   -1.259750   -1.182160   -1.091380   -0.988620   -0.876269   -0.758057   -0.640214   -0.408273  -0.230732  -0.179277
  -392.0         X   0.380694   0.379818   0.378945   0.378075   0.377207     36.532100     36.395100     36.258700     36.123400     35.989400     35.856500     35.724800     35.594200     35.464800     35.336400     35.209100     35.082800     34.957600     34.833400     34.710300    -1.572190    -1.567540    -1.565180    -1.561270    -1.555820    -1.548860    -1.539660    -1.527550    -1.511900    -1.491460    -1.465180    -1.431590    -1.389060    -1.336100   -1.271170   -1.192840   -1.101200   -0.997478   -0.884073   -0.764756   -0.645819   -0.411752  -0.232626  -0.180724
  -390.0         X   0.383594   0.382711   0.381831   0.380953   0.380078     36.821900     36.683700     36.546100     36.409600     36.274400     36.140400     36.007500     35.875700     35.745100     35.615600     35.487200     35.359800     35.233500     35.108200     34.984000    -1.586590    -1.581890    -1.579520    -1.575570    -1.570060    -1.563040    -1.553760    -1.541530    -1.525730    -1.505090    -1.478560    -1.444650    -1.401720    -1.348260   -1.282710   -1.203650   -1.111140   -1.006440   -0.891965   -0.771531   -0.651486   -0.415268  -0.234539  -0.182185
  -388.0         X   0.386520   0.385630   0.384742   0.383858   0.382976     37.114500     36.975100     36.836200     36.698600     36.562200     36.426900     36.292900     36.159900     36.028200     35.897500     35.767900     35.639400     35.512000     35.385600     35.260300    -1.601160    -1.596420    -1.594020    -1.590030    -1.584480    -1.577380    -1.568010    -1.555670    -1.539720    -1.518890    -1.492100    -1.457870    -1.414530    -1.360560   -1.294390   -1.214570   -1.121190   -1.015500   -0.899945   -0.778381   -0.657216   -0.418822  -0.236471  -0.183660
  -386.0         X   0.389473   0.388576   0.387681   0.386789   0.385900     37.410000     37.269400     37.129300     36.990400     36.852700     36.716300     36.581000     36.446900     36.314000     36.182200     36.051400     35.921800     35.793200     35.665700     35.539300    -1.615900    -1.611110    -1.608690    -1.604660    -1.599060    -1.591900    -1.582440    -1.569970    -1.553870    -1.532840    -1.505800    -1.471240    -1.427490    -1.373000   -1.306200   -1.225630   -1.131350   -1.024660   -0.908016   -0.785307   -0.663008   -0.422413  -0.238423  -0.185150
  -384.0         X   0.392453   0.391548   0.390646   0.389747   0.388850     37.708400     37.566500     37.425100     37.285000     37.146100     37.008500     36.872000     36.736700     36.602600     36.469600     36.337700     36.206900     36.077200     35.948600     35.821000    -1.630810    -1.625980    -1.623530    -1.619470    -1.613810    -1.606580    -1.597030    -1.584440    -1.568190    -1.546960    -1.519660    -1.484770    -1.440600    -1.385590   -1.318150   -1.236810   -1.141630   -1.033930   -0.916177   -0.792311   -0.668865   -0.426042  -0.240395  -0.186654
  -382.0         X   0.395461   0.394548   0.393639   0.392732   0.391828     38.009700     37.866500     37.723900     37.582500     37.442400     37.303500     37.165800     37.029300     36.894000     36.759800     36.626700     36.494800     36.363900     36.234100     36.105400    -1.645900    -1.641020    -1.638550    -1.634450    -1.628730    -1.621430    -1.611790    -1.599090    -1.582670    -1.561240    -1.533680    -1.498450    -1.453860    -1.398320   -1.330240   -1.248110   -1.152030   -1.043300   -0.924431   -0.799393   -0.674786   -0.429710  -0.242386  -0.188173
  -380.0         X   0.398496   0.397575   0.396658   0.395744   0.394832     38.314000     38.169500     38.025600     37.882900     37.741600     37.601400     37.462500     37.324800     37.188200     37.052800     36.918600     36.785400     36.653400     36.522400     36.392600    -1.661160    -1.656240    -1.653740    -1.649600    -1.643830    -1.636460    -1.626730    -1.613900    -1.597330    -1.575690    -1.547860    -1.512300    -1.467280    -1.411200   -1.342460   -1.259550   -1.162550   -1.052780   -0.932779   -0.806554   -0.680772   -0.433417  -0.244398  -0.189707
  -378.0         X   0.401558   0.400630   0.399705   0.398783   0.397864     38.621200     38.475400     38.330200     38.186300     38.043600     37.902200     37.762100     37.623100     37.485300     37.348700     37.213200     37.078900     36.945700     36.813600     36.682500    -1.676610    -1.671640    -1.669120    -1.664930    -1.659110    -1.651670    -1.641840    -1.628890    -1.612160    -1.590310    -1.562210    -1.526310    -1.480850    -1.424240   -1.354830   -1.271130   -1.173190   -1.062370   -0.941221   -0.813796   -0.686825   -0.437163  -0.246430  -0.191257
  -376.0         X   0.404648   0.403713   0.402780   0.401850   0.400924     38.931500     38.784400     38.637800     38.492600     38.348700     38.206000     38.064500     37.924300     37.785300     37.647500     37.510800     37.375200     37.240800     37.107500     36.975300    -1.692230    -1.687210    -1.684670    -1.680450    -1.674560    -1.667050    -1.657130    -1.644050    -1.627160    -1.605100    -1.576730    -1.540480    -1.494580    -1.437420   -1.367350   -1.282830   -1.183960   -1.072070   -0.949759   -0.821119   -0.692945   -0.440950  -0.248483  -0.192821
  -374.0         X   0.407767   0.406824   0.405883   0.404946   0.404011     39.244800     39.096300     38.948400     38.801900     38.656700     38.512700     38.370000     38.228500     38.088200     37.949100     37.811200     37.674500     37.538800     37.404300     37.270900    -1.708050    -1.702980    -1.700410    -1.696140    -1.690210    -1.682620    -1.672600    -1.659400    -1.642340    -1.620060    -1.591420    -1.554820    -1.508470    -1.450760   -1.380010   -1.294680   -1.194840   -1.081880   -0.958395   -0.828525   -0.699133   -0.444777  -0.250556  -0.194402
