Name:A X_Dim:600 Y_Dim:60 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35         36         37        38            39            40            41            42            43
  -400.0         X  2.840560e-21  2.551600e-21  2.292020e-21  2.058860e-21  1.849410e-21     4.600480     4.010430     3.518400     3.102730     2.746690     2.438570     2.169860     1.934130     1.726370     1.542630     1.379660     1.234800     1.105790     0.990736     0.888004    -3.950840    -3.779300    -3.696370    -3.564060    -3.390240    -3.184180    -2.935790    -2.643780    -2.315270    -1.952190    -1.570280    -1.187240    -0.826671   -0.516302   -0.278447   -0.122764  -0.041441  -0.009822 -0.001452 -1.146460e-04 -4.158710e-06 -8.435070e-11 -1.449650e-18 -1.254180e-22
  -398.0         X  2.871920e-21  2.579760e-21  2.317330e-21  2.081590e-21  1.869830e-21     4.649840     4.053460     3.556150     3.136020     2.776160     2.464740     2.193150     1.954890     1.744910     1.559190     1.394480     1.248060     1.117670     1.001380     0.897545    -3.993220    -3.819840    -3.736010    -3.602290    -3.426600    -3.218330    -2.967270    -2.672130    -2.340100    -1.973130    -1.587130    -1.199980    -0.835546   -0.521848   -0.281441   -0.124086  -0.041888  -0.009928 -0.001468 -1.158890e-04 -4.203920e-06 -8.527420e-11 -1.465680e-18 -1.268120e-22
  -396.0         X  2.903730e-21  2.608340e-21  2.342990e-21  2.104640e-21  1.890540e-21     4.699870     4.097070     3.594410     3.169760     2.806030     2.491260     2.216750     1.975930     1.763690     1.575980     1.409490     1.261500     1.129710     1.012170     0.907216    -4.036170    -3.860920    -3.776200    -3.641030    -3.463450    -3.252940    -2.999180    -2.700870    -2.365270    -1.994350    -1.604200    -1.212890    -0.844542   -0.527471   -0.284476   -0.125425  -0.042341  -0.010036 -0.001484 -1.171500e-04 -4.249760e-06 -8.621070e-11 -1.481940e-18 -1.282260e-22
  -394.0         X  2.935990e-21  2.637310e-21  2.369030e-21  2.128030e-21  1.911550e-21     4.750580     4.141280     3.633190     3.203960     2.836310     2.518150     2.240680     1.997260     1.782730     1.593000     1.424720     1.275130     1.141910     1.023100     0.917019    -4.079710    -3.902570    -3.816930    -3.680300    -3.500810    -3.288030    -3.031530    -2.730000    -2.390780    -2.015860    -1.621510    -1.225980    -0.853661   -0.533170   -0.287553   -0.126783  -0.042800  -0.010145 -0.001500 -1.184270e-04 -4.296240e-06 -8.716040e-11 -1.498430e-18 -1.296600e-22
  -392.0         X  2.968710e-21  2.666710e-21  2.395430e-21  2.151750e-21  1.932860e-21     4.801990     4.186090     3.672510     3.238630     2.867000     2.545400     2.264930     2.018880     1.802030     1.610250     1.440150     1.288940     1.154280     1.034190     0.926957    -4.123850    -3.944790    -3.858220    -3.720110    -3.538680    -3.323590    -3.064320    -2.759520    -2.416640    -2.037670    -1.639050    -1.239250    -0.862905   -0.538947   -0.290671   -0.128160  -0.043265  -0.010255 -0.001516 -1.197230e-04 -4.343360e-06 -8.812350e-11 -1.515160e-18 -1.311160e-22
  -390.0         X  3.001900e-21  2.696530e-21  2.422220e-21  2.175820e-21  1.954480e-21     4.854100     4.231510     3.712360     3.273770     2.898120     2.573030     2.289520     2.040800     1.821600     1.627730     1.455790     1.302940     1.166820     1.045430     0.937031    -4.168590    -3.987580    -3.900070    -3.760470    -3.577060    -3.359640    -3.097550    -2.789450    -2.442850    -2.059770    -1.656840    -1.252700    -0.872275   -0.544804   -0.293833   -0.129556  -0.043737  -0.010367 -0.001533 -1.210360e-04 -4.391140e-06 -8.910020e-11 -1.532130e-18 -1.325920e-22
  -388.0         X  3.035570e-21  2.726780e-21  2.449390e-21  2.200230e-21  1.976410e-21     4.906930     4.277560     3.752760     3.309400     2.929660     2.601040     2.314440     2.063010     1.841430     1.645460     1.471640     1.317130     1.179530     1.056820     0.947243    -4.213940    -4.030960    -3.942500    -3.801380    -3.615970    -3.396180    -3.131250    -2.819800    -2.469420    -2.082180    -1.674860    -1.266340    -0.881775   -0.550741   -0.297038   -0.130970  -0.044215  -0.010481 -0.001550 -1.223680e-04 -4.439600e-06 -9.009080e-11 -1.549350e-18 -1.340910e-22
  -386.0         X  3.069730e-21  2.757460e-21  2.476960e-21  2.224990e-21  1.998650e-21     4.960490     4.324240     3.793710     3.345520     2.961630     2.629430     2.339710     2.085540     1.861540     1.663430     1.487720     1.331520     1.192420     1.068370     0.957597    -4.259920    -4.074940    -3.985510    -3.842850    -3.655420    -3.433230    -3.165400    -2.850560    -2.496360    -2.104900    -1.693140    -1.280160    -0.891405   -0.556760   -0.300287   -0.132405  -0.044700  -0.010596 -0.001567 -1.237190e-04 -4.488730e-06 -9.109550e-11 -1.566820e-18 -1.356110e-22
  -384.0         X  3.104390e-21  2.788600e-21  2.504930e-21  2.250120e-21  2.021220e-21     5.014780     4.371570     3.835230     3.382140     2.994050     2.658210     2.365320     2.108380     1.881930     1.681650     1.504020     1.346110     1.205490     1.080080     0.968094    -4.306540    -4.119530    -4.029120    -3.884890    -3.695410    -3.470790    -3.200030    -2.881740    -2.523670    -2.127930    -1.711670    -1.294180    -0.901168   -0.562863   -0.303582   -0.133859  -0.045192  -0.010713 -0.001584 -1.250880e-04 -4.538560e-06 -9.211450e-11 -1.584540e-18 -1.371540e-22
  -382.0         X  3.139550e-21  2.820180e-21  2.533300e-21  2.275600e-21  2.044120e-21     5.069830     4.419550     3.877330     3.419260     3.026920     2.687390     2.391290     2.131530     1.902600     1.700120     1.520540     1.360900     1.218740     1.091950     0.978736    -4.353790    -4.164730    -4.073330    -3.927520    -3.735960    -3.508870    -3.235140    -2.913350    -2.551360    -2.151270    -1.730450    -1.308380    -0.911067   -0.569050   -0.306922   -0.135334  -0.045690  -0.010831 -0.001602 -1.264770e-04 -4.589090e-06 -9.314810e-11 -1.602520e-18 -1.387190e-22
