Name:B X_Dim:600 Y_Dim:60 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40         41         42            43
  -400.0         X  3.740300e-03  3.700330e-03  3.660780e-03  3.621650e-03  3.582950e-03     4.916600     4.845450     4.775500     4.707070     4.640090     4.574520     4.510300     4.447400     4.385770     4.325370     4.266160     4.208110     4.151160     4.095300     4.040490    -0.931391    -0.925774    -0.922939    -0.918246    -0.911740    -0.903485    -0.892667    -0.878568    -0.860606    -0.837569    -0.808625    -0.772705    -0.728860    -0.676640   -0.615928   -0.547058   -0.471785   -0.392568   -0.312292   -0.234472   -0.164068  -0.054075  -0.008968 -3.512970e-03
  -398.0         X  3.780630e-03  3.740230e-03  3.700250e-03  3.660710e-03  3.621580e-03     4.969360     4.897440     4.826740     4.757570     4.689870     4.623600     4.558690     4.495120     4.432830     4.371780     4.311930     4.253250     4.195700     4.139240     4.083840    -0.941391    -0.935713    -0.932848    -0.928104    -0.921528    -0.913184    -0.902250    -0.887999    -0.869843    -0.846558    -0.817302    -0.780997    -0.736679    -0.683898   -0.622534   -0.552924   -0.476843   -0.396776   -0.315640   -0.236986   -0.165828  -0.054656  -0.009065 -3.550850e-03
  -396.0         X  3.821520e-03  3.780680e-03  3.740270e-03  3.700300e-03  3.660750e-03     5.022830     4.950140     4.878680     4.808760     4.740340     4.673350     4.607740     4.543490     4.480520     4.418820     4.358330     4.299010     4.240840     4.183770     4.127780    -0.951527    -0.945788    -0.942891    -0.938096    -0.931449    -0.923015    -0.911963    -0.897558    -0.879207    -0.855670    -0.826098    -0.789401    -0.744605    -0.691255   -0.629229   -0.558870   -0.481970   -0.401042   -0.319033   -0.239534   -0.167612  -0.055245  -0.009163 -3.589250e-03
  -394.0         X  3.862960e-03  3.821680e-03  3.780840e-03  3.740430e-03  3.700450e-03     5.077030     5.003560     4.931330     4.860650     4.791490     4.723770     4.657460     4.592510     4.528870     4.466500     4.405350     4.345400     4.286600     4.228920     4.172320    -0.961801    -0.956000    -0.953072    -0.948225    -0.941506    -0.932981    -0.921808    -0.907248    -0.888698    -0.864906    -0.835014    -0.797920    -0.752640    -0.698712   -0.636016   -0.564896   -0.487167   -0.405366   -0.322473   -0.242118   -0.169420  -0.055842  -0.009262 -3.628180e-03
  -392.0         X  3.904980e-03  3.863250e-03  3.821960e-03  3.781110e-03  3.740710e-03     5.131980     5.057710     4.984690     4.913250     4.843340     4.774890     4.707860     4.642210     4.577880     4.514830     4.453020     4.392420     4.332980     4.274680     4.217460    -0.972216    -0.966352    -0.963392    -0.958492    -0.951700    -0.943083    -0.931789    -0.917070    -0.898318    -0.874268    -0.844052    -0.806555    -0.760784    -0.706271   -0.642895   -0.571006   -0.492435   -0.409749   -0.325960   -0.244736   -0.171253  -0.056447  -0.009363 -3.667640e-03
  -390.0         X  3.947570e-03  3.905390e-03  3.863650e-03  3.822360e-03  3.781510e-03     5.187670     5.112600     5.038790     4.966580     4.895900     4.826710     4.758950     4.692580     4.627550     4.563820     4.501350     4.440090     4.380000     4.321060     4.263230    -0.982774    -0.976846    -0.973854    -0.968901    -0.962035    -0.953323    -0.941906    -0.927027    -0.908071    -0.883759    -0.853214    -0.815309    -0.769039    -0.713934   -0.649869   -0.577198   -0.497775   -0.414192   -0.329494   -0.247390   -0.173111  -0.057061  -0.009465 -3.707650e-03
  -388.0         X  3.990760e-03  3.948110e-03  3.905920e-03  3.864180e-03  3.822880e-03     5.244130     5.168240     5.093630     5.020630     4.949180     4.879240     4.810740     4.743650     4.677910     4.613490     4.550330     4.488400     4.427670     4.368090     4.309620    -0.993477    -0.987484    -0.984460    -0.979452    -0.972511    -0.963705    -0.952163    -0.937121    -0.917958    -0.893381    -0.862502    -0.824183    -0.777408    -0.721702   -0.656939   -0.583476   -0.503188   -0.418695   -0.333077   -0.250081   -0.174995  -0.057682  -0.009568 -3.748210e-03
  -386.0         X  4.034540e-03  3.991430e-03  3.948770e-03  3.906570e-03  3.864830e-03     5.301370     5.224650     5.149220     5.075430     5.003200     4.932490     4.863250     4.795420     4.728970     4.663840     4.599990     4.537390     4.475990     4.415760     4.356650    -1.004330    -0.998270    -0.995212    -0.990149    -0.983132    -0.974229    -0.962561    -0.947354    -0.927981    -0.903135    -0.871918    -0.833179    -0.785893    -0.729577   -0.664106   -0.589841   -0.508676   -0.423261   -0.336710   -0.252809   -0.176905  -0.058313  -0.009673 -3.789330e-03
  -384.0         X  4.078930e-03  4.035340e-03  3.992220e-03  3.949560e-03  3.907350e-03     5.359410     5.281840     5.205590     5.130980     5.057960     4.986480     4.916480     4.847910     4.780730     4.714890     4.650340     4.587050     4.524980     4.464090     4.404340    -1.015330    -1.009200    -1.006110    -1.000990    -0.993900    -0.984899    -0.973103    -0.957729    -0.938143    -0.913024    -0.881464    -0.842300    -0.794494    -0.737561   -0.671372   -0.596293   -0.514239   -0.427890   -0.340392   -0.255574   -0.178840  -0.058952  -0.009779 -3.831030e-03
  -382.0         X  4.123950e-03  4.079880e-03  4.036280e-03  3.993140e-03  3.950470e-03     5.418240     5.339820     5.262730     5.187300     5.113490     5.041220     4.970450     4.901130     4.833200     4.766640     4.701380     4.637400     4.574650     4.513080     4.452680    -1.026480    -1.020290    -1.017160    -1.011990    -1.004820    -0.995717    -0.983791    -0.968248    -0.948446    -0.923050    -0.891142    -0.851547    -0.803215    -0.745655   -0.678738   -0.602834   -0.519879   -0.432583   -0.344125   -0.258378   -0.180803  -0.059600  -0.009887 -3.873300e-03
  -380.0         X  4.169580e-03  4.125030e-03  4.080950e-03  4.037340e-03  3.994190e-03     5.477890     5.398610     5.320670     5.244410     5.169780     5.096710     5.025160     4.955080     4.886410     4.819110     4.753140     4.688450     4.625000     4.562760     4.501690    -1.037790    -1.031530    -1.028370    -1.023140    -1.015890    -1.006690    -0.994627    -0.978912    -0.958892    -0.933215    -0.900955    -0.860922    -0.812057    -0.753861   -0.686207   -0.609466   -0.525598   -0.437341   -0.347910   -0.261220   -0.182793  -0.060257  -0.009996 -3.916170e-03
  -378.0         X  4.215860e-03  4.170810e-03  4.126240e-03  4.082150e-03  4.038530e-03     5.538370     5.458210     5.379410     5.302310     5.226850     5.152980     5.080640     5.009780     4.940350     4.872310     4.805610     4.740200     4.676060     4.613130     4.551390    -1.049260    -1.042930    -1.039730    -1.034440    -1.027110    -1.017810    -1.005610    -0.989725    -0.969483    -0.943521    -0.910904    -0.870428    -0.821022    -0.762182   -0.693779   -0.616190   -0.531396   -0.442165   -0.351748   -0.264102   -0.184811  -0.060923  -0.010107 -3.959640e-03
  -376.0         X  4.262790e-03  4.217240e-03  4.172180e-03  4.127590e-03  4.083490e-03     5.599700     5.518650     5.438970     5.361020     5.284720     5.210030     5.136890     5.065250     4.995050     4.926250     4.858810     4.792680     4.727830     4.664200     4.601770    -1.060880    -1.054480    -1.051250    -1.045900    -1.038490    -1.029080    -1.016760    -1.000690    -0.980222    -0.953972    -0.920992    -0.880067    -0.830112    -0.770619   -0.701458   -0.623008   -0.537275   -0.447056   -0.355639   -0.267025   -0.186856  -0.061599  -0.010219 -4.003710e-03
  -374.0         X  4.310380e-03  4.264320e-03  4.218750e-03  4.173670e-03  4.129080e-03     5.661880     5.579930     5.499370     5.420550     5.343400     5.267880     5.193930     5.121490     5.050510     4.980950     4.912760     4.845900     4.780320     4.715990     4.652870    -1.072670    -1.066200    -1.062930    -1.057520    -1.050030    -1.040520    -1.028050    -1.011810    -0.991112    -0.964569    -0.931222    -0.889840    -0.839329    -0.779174   -0.709243   -0.629922   -0.543236   -0.452015   -0.359585   -0.269988   -0.188931  -0.062284  -0.010333 -4.048410e-03
