Name:C X_Dim:600 Y_Dim:60 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component           0           1           2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40         41         42         43
  -400.0         X    0.055471    0.055393    0.055315   0.055238   0.055161     5.001150     4.993820     4.986470     4.979130     4.971810     4.964510     4.957220     4.949950     4.942690     4.935450     4.928230     4.921020     4.913830     4.906660     4.899500   -0.053790   -0.053741   -0.053717   -0.053675   -0.053617   -0.053543   -0.053444   -0.053313   -0.053141   -0.052913   -0.052614   -0.052222   -0.051709   -0.051040   -0.050174   -0.049051   -0.047615   -0.045802   -0.043547   -0.040796   -0.037575  -0.029357  -0.020678  -0.017596
  -398.0         X    0.056065    0.055987    0.055908   0.055830   0.055752     5.054820     5.047400     5.039970     5.032560     5.025160     5.017780     5.010410     5.003060     4.995730     4.988410     4.981110     4.973830     4.966560     4.959310     4.952070   -0.054369   -0.054320   -0.054295   -0.054253   -0.054194   -0.054119   -0.054019   -0.053886   -0.053713   -0.053483   -0.053180   -0.052784   -0.052265   -0.051590   -0.050714   -0.049579   -0.048127   -0.046295   -0.044016   -0.041235   -0.037979  -0.029672  -0.020900  -0.017785
  -396.0         X    0.056668    0.056589    0.056509   0.056430   0.056351     5.109210     5.101720     5.094200     5.086710     5.079230     5.071770     5.064320     5.056890     5.049480     5.042090     5.034710     5.027350     5.020000     5.012670     5.005360   -0.054956   -0.054906   -0.054881   -0.054838   -0.054779   -0.054703   -0.054602   -0.054468   -0.054293   -0.054060   -0.053754   -0.053354   -0.052829   -0.052146   -0.051261   -0.050114   -0.048646   -0.046794   -0.044490   -0.041680   -0.038388  -0.029991  -0.021125  -0.017976
  -394.0         X    0.057279    0.057199    0.057119   0.057039   0.056959     5.164340     5.156770     5.149180     5.141600     5.134040     5.126500     5.118970     5.111460     5.103970     5.096500     5.089040     5.081600     5.074170     5.066760     5.059370   -0.055551   -0.055501   -0.055475   -0.055432   -0.055372   -0.055296   -0.055193   -0.055058   -0.054880   -0.054645   -0.054336   -0.053931   -0.053401   -0.052711   -0.051816   -0.050656   -0.049172   -0.047301   -0.044971   -0.042130   -0.038803  -0.030315  -0.021352  -0.018170
  -392.0         X    0.057898    0.057817    0.057736   0.057655   0.057575     5.220230     5.212580     5.204900     5.197240     5.189600     5.181980     5.174370     5.166780     5.159210     5.151650     5.144110     5.136590     5.129080     5.121590     5.114120   -0.056154   -0.056103   -0.056077   -0.056034   -0.055974   -0.055896   -0.055793   -0.055655   -0.055476   -0.055238   -0.054926   -0.054517   -0.053981   -0.053283   -0.052378   -0.051206   -0.049706   -0.047814   -0.045459   -0.042587   -0.039224  -0.030644  -0.021583  -0.018366
  -390.0         X    0.058526    0.058444    0.058362   0.058281   0.058199     5.276890     5.269150     5.261390     5.253650     5.245920     5.238220     5.230530     5.222850     5.215200     5.207560     5.199940     5.192330     5.184750     5.177170     5.169620   -0.056766   -0.056714   -0.056688   -0.056644   -0.056583   -0.056504   -0.056400   -0.056261   -0.056080   -0.055840   -0.055524   -0.055110   -0.054568   -0.053863   -0.052948   -0.051763   -0.050247   -0.048334   -0.045954   -0.043050   -0.039650  -0.030976  -0.021818  -0.018565
  -388.0         X    0.059162    0.059080    0.058997   0.058914   0.058832     5.334320     5.326500     5.318650     5.310830     5.303020     5.295230     5.287450     5.279700     5.271960     5.264240     5.256530     5.248840     5.241170     5.233520     5.225880   -0.057386   -0.057333   -0.057307   -0.057263   -0.057201   -0.057121   -0.057016   -0.056876   -0.056692   -0.056449   -0.056130   -0.055712   -0.055164   -0.054451   -0.053526   -0.052328   -0.050795   -0.048861   -0.046455   -0.043520   -0.040082  -0.031314  -0.022055  -0.018767
  -386.0         X    0.059808    0.059724    0.059640   0.059557   0.059473     5.392540     5.384630     5.376710     5.368790     5.360900     5.353020     5.345170     5.337320     5.329500     5.321690     5.313910     5.306130     5.298380     5.290640     5.282920   -0.058014   -0.057961   -0.057934   -0.057890   -0.057827   -0.057747   -0.057640   -0.057499   -0.057313   -0.057068   -0.056745   -0.056322   -0.055768   -0.055047   -0.054112   -0.052901   -0.051351   -0.049396   -0.046963   -0.043996   -0.040521  -0.031656  -0.022295  -0.018972
  -384.0         X    0.060462    0.060377    0.060292   0.060208   0.060124     5.451570     5.443580     5.435560     5.427560     5.419580     5.411620     5.403670     5.395750     5.387840     5.379950     5.372070     5.364220     5.356380     5.348560     5.340750   -0.058651   -0.058598   -0.058571   -0.058526   -0.058462   -0.058381   -0.058273   -0.058130   -0.057943   -0.057694   -0.057368   -0.056941   -0.056381   -0.055652   -0.054706   -0.053482   -0.051915   -0.049938   -0.047479   -0.044479   -0.040965  -0.032003  -0.022539  -0.019179
  -382.0         X    0.061125    0.061039    0.060954   0.060868   0.060783     5.511420     5.503330     5.495230     5.487140     5.479080     5.471030     5.462990     5.454980     5.446980     5.439000     5.431040     5.423100     5.415180     5.407270     5.399380   -0.059297   -0.059243   -0.059216   -0.059170   -0.059106   -0.059024   -0.058915   -0.058770   -0.058581   -0.058330   -0.058000   -0.057568   -0.057001   -0.056264   -0.055309   -0.054071   -0.052487   -0.050488   -0.048001   -0.044968   -0.041415  -0.032354  -0.022787  -0.019390
