Name:A X_Dim:60 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36            37            38            39            40            41            42            43
  -400.0         X  5.256580e-22  4.722600e-22  4.242870e-22  3.811880e-22  3.424680e-22    1.090110    0.944768    0.823876    0.722184    0.635554    0.561039    0.496468    0.440187    0.390907   0.347597   0.309421   0.275686   0.245818   0.219327   0.195799  -0.951757  -0.908990  -0.888305  -0.855298  -0.811928  -0.760528  -0.698628  -0.626019  -0.544669  -0.455362  -0.362380 -0.270423 -0.185399 -0.113757 -0.060150 -0.025953 -0.008563 -1.982040e-03 -2.861760e-04 -2.208020e-05 -7.846710e-07 -1.546810e-11 -2.691760e-19 -2.382690e-23
  -398.0         X  5.307140e-22  4.768030e-22  4.283680e-22  3.848550e-22  3.457620e-22    1.101490    0.954617    0.832449    0.729686    0.642145    0.566848    0.501600    0.444731    0.394937   0.351175   0.312602   0.278517   0.248339   0.221573   0.197802  -0.961741  -0.918521  -0.897616  -0.864259  -0.820430  -0.768485  -0.705930  -0.632552  -0.550342  -0.460094  -0.366134 -0.273215 -0.187305 -0.114920 -0.060762 -0.026216 -0.008649 -2.001820e-03 -2.890130e-04 -2.229760e-05 -7.923440e-07 -1.561760e-11 -2.717640e-19 -2.405610e-23
  -396.0         X  5.358350e-22  4.814030e-22  4.325010e-22  3.885680e-22  3.490980e-22    1.113040    0.964605    0.841143    0.737294    0.648828    0.572739    0.506805    0.449339    0.399022   0.354803   0.315827   0.281387   0.250895   0.223851   0.199834  -0.971867  -0.928187  -0.907060  -0.873348  -0.829052  -0.776555  -0.713334  -0.639178  -0.556096  -0.464892  -0.369941 -0.276045 -0.189237 -0.116100 -0.061382 -0.026482 -0.008736 -2.021870e-03 -2.918880e-04 -2.251780e-05 -8.001180e-07 -1.576900e-11 -2.743840e-19 -2.428820e-23
  -394.0         X  5.410200e-22  4.860620e-22  4.366870e-22  3.923280e-22  3.524760e-22    1.124750    0.974735    0.849961    0.745009    0.655606    0.578712    0.512082    0.454011    0.403165   0.358482   0.319097   0.284297   0.253486   0.226161   0.201893  -0.982138  -0.937991  -0.916638  -0.882566  -0.837797  -0.784739  -0.720845  -0.645897  -0.561931  -0.469759  -0.373802 -0.278916 -0.191197 -0.117296 -0.062011 -0.026752 -0.008824 -2.042190e-03 -2.948010e-04 -2.274100e-05 -8.079940e-07 -1.592230e-11 -2.770380e-19 -2.452320e-23
  -392.0         X  5.462730e-22  4.907810e-22  4.409260e-22  3.961370e-22  3.558980e-22    1.136630    0.985009    0.858903    0.752833    0.662480    0.584770    0.517434    0.458748    0.407366   0.362213   0.322413   0.287248   0.256114   0.228503   0.203981  -0.992557  -0.947936  -0.926354  -0.891916  -0.846668  -0.793041  -0.728462  -0.652712  -0.567849  -0.474694  -0.377717 -0.281826 -0.193183 -0.118509 -0.062649 -0.027025 -0.008914 -2.062790e-03 -2.977530e-04 -2.296710e-05 -8.159730e-07 -1.607770e-11 -2.797260e-19 -2.476130e-23
  -390.0         X  5.515920e-22  4.955600e-22  4.452200e-22  3.999940e-22  3.593630e-22    1.148670    0.995430    0.867973    0.760770    0.669452    0.590913    0.522862    0.463553    0.411627   0.365995   0.325776   0.290240   0.258779   0.230877   0.206099  -1.003120  -0.958024  -0.936210  -0.901401  -0.855666  -0.801462  -0.736188  -0.659625  -0.573851  -0.479700  -0.381688 -0.284778 -0.195198 -0.119739 -0.063295 -0.027302 -0.009005 -2.083670e-03 -3.007450e-04 -2.319630e-05 -8.240580e-07 -1.623500e-11 -2.824480e-19 -2.500240e-23
  -388.0         X  5.569800e-22  5.004000e-22  4.495690e-22  4.039010e-22  3.628730e-22    1.160890    1.006000    0.877174    0.768819    0.676523    0.597144    0.528366    0.468426    0.415948   0.369832   0.329186   0.293275   0.261481   0.233285   0.208246  -1.013850  -0.968257  -0.946207  -0.911023  -0.864793  -0.810004  -0.744026  -0.666637  -0.579940  -0.484777  -0.385716 -0.287772 -0.197241 -0.120986 -0.063951 -0.027583 -0.009097 -2.104830e-03 -3.037780e-04 -2.342850e-05 -8.322510e-07 -1.639440e-11 -2.852050e-19 -2.524660e-23
  -386.0         X  5.624380e-22  5.053040e-22  4.539740e-22  4.078590e-22  3.664290e-22    1.173290    1.016720    0.886506    0.776984    0.683695    0.603464    0.533949    0.473368    0.420330   0.373723   0.332645   0.296352   0.264221   0.235727   0.210423  -1.024720  -0.978639  -0.956350  -0.920784  -0.874053  -0.818670  -0.751977  -0.673751  -0.586116  -0.489927  -0.389801 -0.290809 -0.199313 -0.122250 -0.064616 -0.027868 -0.009190 -2.126280e-03 -3.068510e-04 -2.366380e-05 -8.405520e-07 -1.655590e-11 -2.879980e-19 -2.549390e-23
  -384.0         X  5.679660e-22  5.102700e-22  4.584360e-22  4.118680e-22  3.700300e-22    1.185870    1.027600    0.895973    0.785266    0.690970    0.609875    0.539613    0.478381    0.424774   0.377669   0.336153   0.299473   0.267000   0.238204   0.212631  -1.035760  -0.989172  -0.966640  -0.930687  -0.883447  -0.827461  -0.760043  -0.680967  -0.592382  -0.495151  -0.393944 -0.293888 -0.201415 -0.123533 -0.065290 -0.028157 -0.009285 -2.148020e-03 -3.099670e-04 -2.390230e-05 -8.489640e-07 -1.671950e-11 -2.908260e-19 -2.574440e-23
  -382.0         X  5.735660e-22  5.153010e-22  4.629560e-22  4.159280e-22  3.736780e-22    1.198630    1.038640    0.905577    0.793668    0.698350    0.616378    0.545357    0.483466    0.429283   0.381672   0.339711   0.302638   0.269819   0.240715   0.214871  -1.046950  -0.999859  -0.977081  -0.940734  -0.892978  -0.836381  -0.768226  -0.688288  -0.598738  -0.500451  -0.398148 -0.297012 -0.203546 -0.124834 -0.065973 -0.028450 -0.009381 -2.170060e-03 -3.131240e-04 -2.414400e-05 -8.574880e-07 -1.688520e-11 -2.936910e-19 -2.599810e-23
