Name:B X_Dim:60 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36        37        38        39        40        41        42            43
  -400.0         X  7.695040e-04  7.611340e-04  7.528550e-04  7.446660e-04  7.365670e-04    1.167860    1.150330    1.133100    1.116240    1.099730    1.083570    1.067750    1.052250    1.037070    1.022190    1.007600    0.993304    0.979283    0.965530    0.952040  -0.229576  -0.228187  -0.227486  -0.226324  -0.224714  -0.222670  -0.219989  -0.216493  -0.212032  -0.206303  -0.199092 -0.190123 -0.179144 -0.166028 -0.150733 -0.133336 -0.114299 -0.094298 -0.074155 -0.054861 -0.037718 -0.011887 -0.001878 -7.223710e-04
  -398.0         X  7.772280e-04  7.687730e-04  7.604110e-04  7.521390e-04  7.439590e-04    1.180070    1.162360    1.144940    1.127900    1.111220    1.094890    1.078900    1.063240    1.047890    1.032850    1.018120    1.003670    0.989496    0.975598    0.961965  -0.232002  -0.230598  -0.229890  -0.228716  -0.227089  -0.225023  -0.222314  -0.218780  -0.214272  -0.208483  -0.201195 -0.192130 -0.181034 -0.167779 -0.152321 -0.134738 -0.115499 -0.095286 -0.074929 -0.055431 -0.038108 -0.012008 -0.001897 -7.296210e-04
  -396.0         X  7.850560e-04  7.765160e-04  7.680690e-04  7.597140e-04  7.514500e-04    1.192450    1.174550    1.156950    1.139720    1.122870    1.106360    1.090200    1.074380    1.058870    1.043670    1.028780    1.014170    0.999853    0.985808    0.972031  -0.234463  -0.233044  -0.232328  -0.231142  -0.229498  -0.227410  -0.224672  -0.221100  -0.216544  -0.210693  -0.203327 -0.194166 -0.182952 -0.169555 -0.153931 -0.136161 -0.116717 -0.096288 -0.075714 -0.056010 -0.038504 -0.012131 -0.001916 -7.369690e-04
  -394.0         X  7.929910e-04  7.843640e-04  7.758310e-04  7.673910e-04  7.590430e-04    1.205000    1.186910    1.169120    1.151720    1.134680    1.118000    1.101670    1.085670    1.070000    1.054640    1.039590    1.024830    1.010360    0.996163    0.982239  -0.236959  -0.235526  -0.234802  -0.233603  -0.231941  -0.229831  -0.227064  -0.223454  -0.218849  -0.212935  -0.205490 -0.196231 -0.184897 -0.171356 -0.155565 -0.137605 -0.117951 -0.097304 -0.076511 -0.056596 -0.038906 -0.012256 -0.001936 -7.444160e-04
  -392.0         X  8.010330e-04  7.923180e-04  7.836980e-04  7.751730e-04  7.667400e-04    1.217740    1.199450    1.181470    1.163880    1.146660    1.129810    1.113300    1.097130    1.081290    1.065770    1.050550    1.035640    1.021010    1.006670    0.992593  -0.239492  -0.238043  -0.237311  -0.236100  -0.234420  -0.232287  -0.229490  -0.225841  -0.221187  -0.215210  -0.207685 -0.198326 -0.186870 -0.173184 -0.157223 -0.139069 -0.119204 -0.098335 -0.077318 -0.057191 -0.039313 -0.012383 -0.001956 -7.519650e-04
  -390.0         X  8.091860e-04  8.003820e-04  7.916740e-04  7.830610e-04  7.745420e-04    1.230650    1.212170    1.194000    1.176220    1.158820    1.141780    1.125100    1.108760    1.092750    1.077060    1.061680    1.046600    1.031820    1.017320    1.003090  -0.242062  -0.240597  -0.239857  -0.238633  -0.236935  -0.234779  -0.231952  -0.228264  -0.223559  -0.217517  -0.209911 -0.200451 -0.188871 -0.175038 -0.158904 -0.140554 -0.120475 -0.099380 -0.078138 -0.057795 -0.039725 -0.012511 -0.001976 -7.596170e-04
  -388.0         X  8.174500e-04  8.085560e-04  7.997580e-04  7.910570e-04  7.824510e-04    1.243760    1.225080    1.206710    1.188740    1.171150    1.153930    1.137060    1.120550    1.104360    1.088500    1.072960    1.057720    1.042780    1.028120    1.013750  -0.244668  -0.243188  -0.242440  -0.241203  -0.239486  -0.237307  -0.234449  -0.230721  -0.225966  -0.219858  -0.212170 -0.202607 -0.190902 -0.176918 -0.160610 -0.142061 -0.121764 -0.100441 -0.078969 -0.058407 -0.040144 -0.012641 -0.001996 -7.673740e-04
  -386.0         X  8.258280e-04  8.168420e-04  8.079540e-04  7.991630e-04  7.904680e-04    1.257050    1.238170    1.219600    1.201430    1.183650    1.166250    1.149200    1.132500    1.116150    1.100120    1.084410    1.069000    1.053900    1.039090    1.024550  -0.247314  -0.245817  -0.245061  -0.243810  -0.242075  -0.239872  -0.236983  -0.233215  -0.228408  -0.222234  -0.214462 -0.204795 -0.192963 -0.178827 -0.162340 -0.143589 -0.123072 -0.101517 -0.079812 -0.059028 -0.040569 -0.012774 -0.002016 -7.752380e-04
  -384.0         X  8.343220e-04  8.252430e-04  8.162630e-04  8.073810e-04  7.985970e-04    1.270530    1.251450    1.232680    1.214320    1.196340    1.178750    1.161520    1.144640    1.128100    1.111900    1.096020    1.080450    1.065180    1.050210    1.035520  -0.249997  -0.248484  -0.247721  -0.246456  -0.244701  -0.242475  -0.239554  -0.235745  -0.230886  -0.224644  -0.216787 -0.207015 -0.195053 -0.180763 -0.164096 -0.145140 -0.124398 -0.102608 -0.080667 -0.059658 -0.041000 -0.012907 -0.002037 -7.832100e-04
  -382.0         X  8.429340e-04  8.337610e-04  8.246870e-04  8.157130e-04  8.068370e-04    1.284220    1.264920    1.245950    1.227380    1.209210    1.191430    1.174010    1.156950    1.140230    1.123850    1.107800    1.092060    1.076620    1.061490    1.046640  -0.252721  -0.251191  -0.250419  -0.249140  -0.247367  -0.245116  -0.242163  -0.238312  -0.233400  -0.227090  -0.219147 -0.209268 -0.197175 -0.182727 -0.165878 -0.146714 -0.125745 -0.103716 -0.081535 -0.060297 -0.041437 -0.013043 -0.002058 -7.912930e-04
