Name:B X_Dim:150 Y_Dim:150 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39         40         41        42        43
  -400.0         X   0.018878   0.018772   0.018667   0.018562   0.018458     4.448260     4.399300     4.351490     4.304980     4.259710     4.215590     4.172570     4.130580     4.089570     4.049480     4.010270     3.971890     3.934310     3.897490     3.861390    -0.607817    -0.603438    -0.601240    -0.597616    -0.592626    -0.586349    -0.578213    -0.567762    -0.554685    -0.538289    -0.518254    -0.494198    -0.465925    -0.433612   -0.397576   -0.358225   -0.316480   -0.273305   -0.229637   -0.186588  -0.145998  -0.072866 -0.026628 -0.016179
  -398.0         X   0.019085   0.018978   0.018871   0.018765   0.018660     4.498020     4.448500     4.400140     4.353110     4.307320     4.262700     4.219190     4.176720     4.135240     4.094700     4.055040     4.016230     3.978220     3.940980     3.904470    -0.614739    -0.610310    -0.608086    -0.604420    -0.599373    -0.593023    -0.584794    -0.574222    -0.560994    -0.544410    -0.524143    -0.499810    -0.471212    -0.438527   -0.402076   -0.362273   -0.320049   -0.276380   -0.232214   -0.188676  -0.147626  -0.073673 -0.026920 -0.016357
  -396.0         X   0.019295   0.019186   0.019079   0.018971   0.018865     4.548510     4.498430     4.449510     4.401940     4.355630     4.310500     4.266490     4.223540     4.181590     4.140580     4.100470     4.061220     4.022780     3.985110     3.948190    -0.621766    -0.617286    -0.615036    -0.611328    -0.606222    -0.599799    -0.591474    -0.580779    -0.567399    -0.550622    -0.530121    -0.505507    -0.476578    -0.443515   -0.406644   -0.366382   -0.323672   -0.279501   -0.234830   -0.190795  -0.149279  -0.074491 -0.027217 -0.016536
  -394.0         X   0.019507   0.019398   0.019289   0.019180   0.019073     4.599750     4.549090     4.499620     4.451500     4.404660     4.359010     4.314500     4.271050     4.228620     4.187140     4.146580     4.106870     4.067990     4.029900     3.992550    -0.628899    -0.624367    -0.622091    -0.618340    -0.613174    -0.606677    -0.598255    -0.587436    -0.573900    -0.556929    -0.536189    -0.511289    -0.482025    -0.448578   -0.411280   -0.370552   -0.327349   -0.282669   -0.237484   -0.192945  -0.150955  -0.075320 -0.027518 -0.016719
  -392.0         X   0.019723   0.019612   0.019502   0.019392   0.019283     4.651760     4.600510     4.550470     4.501800     4.454410     4.408240     4.363220     4.319270     4.276350     4.234400     4.193370     4.153210     4.113880     4.075350     4.037570    -0.636141    -0.631556    -0.629253    -0.625458    -0.620232    -0.613659    -0.605140    -0.594194    -0.580500    -0.563331    -0.542350    -0.517159    -0.487554    -0.453718   -0.415986   -0.374785   -0.331081   -0.285885   -0.240179   -0.195127  -0.152657  -0.076163 -0.027823 -0.016904
  -390.0         X   0.019942   0.019830   0.019718   0.019607   0.019497     4.704540     4.652700     4.602080     4.552840     4.504910     4.458210     4.412660     4.368210     4.324790     4.282360     4.240850     4.200230     4.160450     4.121470     4.083260    -0.643493    -0.638854    -0.636525    -0.632685    -0.627398    -0.620748    -0.612129    -0.601055    -0.587201    -0.569830    -0.548604    -0.523119    -0.493167    -0.458936   -0.420764   -0.379082   -0.334870   -0.289149   -0.242913   -0.197342  -0.154384  -0.077017 -0.028133 -0.017091
  -388.0         X   0.020164   0.020050   0.019938   0.019826   0.019714     4.758110     4.705670     4.654460     4.604650     4.556170     4.508920     4.462850     4.417880     4.373960     4.331030     4.289050     4.247950     4.207710     4.168290     4.129630    -0.650958    -0.646265    -0.643908    -0.640023    -0.634674    -0.627945    -0.619225    -0.608021    -0.594004    -0.576429    -0.554954    -0.529169    -0.498866    -0.464233   -0.425614   -0.383445   -0.338716   -0.292462   -0.245689   -0.199590  -0.156136  -0.077884 -0.028447 -0.017282
  -386.0         X   0.020389   0.020274   0.020160   0.020047   0.019935     4.812490     4.759440     4.707630     4.657240     4.608190     4.560400     4.513790     4.468300     4.423870     4.380440     4.337960     4.296390     4.255690     4.215800     4.176700    -0.658538    -0.653789    -0.651404    -0.647474    -0.642061    -0.635253    -0.626430    -0.615094    -0.600912    -0.583130    -0.561401    -0.535312    -0.504652    -0.469612   -0.430538   -0.387873   -0.342620   -0.295825   -0.248507   -0.201872  -0.157915  -0.078765 -0.028766 -0.017475
  -384.0         X   0.020617   0.020501   0.020386   0.020272   0.020158     4.867680     4.814010     4.761600     4.710620     4.661000     4.612650     4.565490     4.519470     4.474520     4.430590     4.387620     4.345560     4.304380     4.264030     4.224470    -0.666234    -0.661429    -0.659016    -0.655039    -0.649563    -0.642674    -0.633746    -0.622276    -0.607926    -0.589933    -0.567947    -0.541550    -0.510527    -0.475073   -0.435537   -0.392370   -0.346584   -0.299239   -0.251367   -0.204188  -0.159721  -0.079658 -0.029089 -0.017671
  -382.0         X   0.020849   0.020732   0.020616   0.020500   0.020385     4.923720     4.869420     4.816390     4.764810     4.714610     4.665690     4.617980     4.571420     4.525940     4.481490     4.438020     4.395480     4.353810     4.312990     4.272970    -0.674050    -0.669188    -0.666746    -0.662721    -0.657180    -0.650209    -0.641175    -0.629569    -0.615048    -0.596841    -0.574594    -0.547883    -0.516492    -0.480617   -0.440613   -0.396935   -0.350608   -0.302706   -0.254271   -0.206539  -0.161554  -0.080564 -0.029418 -0.017870
  -380.0         X   0.021085   0.020966   0.020848   0.020731   0.020615     4.980600     4.925660     4.872010     4.819820     4.769030     4.719530     4.671260     4.624150     4.578140     4.533170     4.489190     4.446140     4.403990     4.362690     4.322200    -0.681987    -0.677067    -0.674596    -0.670523    -0.664916    -0.657862    -0.648720    -0.636975    -0.622281    -0.603857    -0.581344    -0.554315    -0.522550    -0.486248   -0.445768   -0.401571   -0.354695   -0.306225   -0.257219   -0.208926  -0.163414  -0.081484 -0.029751 -0.018072
  -378.0         X   0.021323   0.021204   0.021084   0.020966   0.020848     5.038350     4.982760     4.928470     4.875670     4.824280     4.774190     4.725360     4.677690     4.631140     4.585640     4.541130     4.497580     4.454930     4.413140     4.372180    -0.690048    -0.685069    -0.682568    -0.678447    -0.672772    -0.665634    -0.656382    -0.644496    -0.629626    -0.610982    -0.588199    -0.560847    -0.528701    -0.491965   -0.451002   -0.406278   -0.358844   -0.309799   -0.260212   -0.211350  -0.165303  -0.082418 -0.030089 -0.018276
  -376.0         X   0.021566   0.021445   0.021324   0.021204   0.021085     5.096990     5.040730     4.985800     4.932380     4.880370     4.829690     4.780280     4.732050     4.684940     4.638900     4.593870     4.549800     4.506650     4.464370     4.422920    -0.698235    -0.693196    -0.690665    -0.686494    -0.680751    -0.673527    -0.664164    -0.652135    -0.637086    -0.618218    -0.595161    -0.567480    -0.534949    -0.497772   -0.456318   -0.411058   -0.363057   -0.313427   -0.263251   -0.213810  -0.167221  -0.083366 -0.030432 -0.018484
  -374.0         X   0.021812   0.021689   0.021567   0.021446   0.021326     5.156520     5.099600     5.044010     4.989950     4.937320     4.886040     4.836040     4.787240     4.739570     4.692980     4.647420     4.602830     4.559160     4.516380     4.474430    -0.706551    -0.701450    -0.698889    -0.694668    -0.688856    -0.681544    -0.672068    -0.659894    -0.644663    -0.625567    -0.602233    -0.574217    -0.541294    -0.503669   -0.461716   -0.415912   -0.367336   -0.317112   -0.266337   -0.216308  -0.169167  -0.084329 -0.030781 -0.018695
  -372.0         X   0.022061   0.021937   0.021814   0.021691   0.021570     5.216970     5.159370     5.103120     5.048410     4.995150     4.943260     4.892660     4.843270     4.795040     4.747900     4.701790     4.656660     4.612480     4.569180     4.526740    -0.714997    -0.709835    -0.707243    -0.702971    -0.697088    -0.689688    -0.680097    -0.667775    -0.652360    -0.633032    -0.609415    -0.581061    -0.547739    -0.509659   -0.467199   -0.420843   -0.371681   -0.320854   -0.269471   -0.218845  -0.171144  -0.085306 -0.031134 -0.018909
  -370.0         X   0.022315   0.022189   0.022065   0.021941   0.021817     5.278360     5.220060     5.163140     5.107770     5.053880     5.001360     4.950150     4.900180     4.851360     4.803660     4.757000     4.711330     4.666620     4.622800     4.579850    -0.723578    -0.718353    -0.715729    -0.711405    -0.705450    -0.697960    -0.688253    -0.675781    -0.660178    -0.640615    -0.616711    -0.588012    -0.554285    -0.515743   -0.472768   -0.425850   -0.376094   -0.324654   -0.272653   -0.221421  -0.173151  -0.086297 -0.031493 -0.019127
