Name:C X_Dim:150 Y_Dim:150 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40         41         42            43
  -400.0         X   0.037566   0.037523   0.037481   0.037438   0.037396     4.490060     4.485000     4.479930     4.474880     4.469830     4.464810     4.459800     4.454800     4.449820     4.444860     4.439900     4.434970     4.430040     4.425140     4.420240   -0.037417   -0.037364   -0.037337   -0.037293   -0.037231   -0.037151   -0.037046   -0.036906   -0.036723   -0.036482   -0.036168   -0.035758   -0.035225   -0.034541   -0.033666   -0.032554   -0.031168   -0.029474   -0.027451   -0.025104   -0.022515  -0.016612  -0.011269 -9.539580e-03
  -398.0         X   0.037990   0.037946   0.037903   0.037860   0.037818     4.540300     4.535180     4.530050     4.524940     4.519840     4.514760     4.509690     4.504640     4.499600     4.494580     4.489570     4.484580     4.479600     4.474630     4.469680   -0.037848   -0.037795   -0.037768   -0.037723   -0.037660   -0.037580   -0.037473   -0.037331   -0.037147   -0.036903   -0.036585   -0.036170   -0.035632   -0.034939   -0.034054   -0.032929   -0.031527   -0.029814   -0.027767   -0.025393   -0.022774  -0.016803  -0.011399 -9.648660e-03
  -396.0         X   0.038419   0.038376   0.038332   0.038289   0.038245     4.591280     4.586100     4.580920     4.575750     4.570590     4.565450     4.560320     4.555210     4.550120     4.545040     4.539970     4.534920     4.529880     4.524860     4.519860   -0.038286   -0.038232   -0.038205   -0.038160   -0.038096   -0.038015   -0.037907   -0.037763   -0.037577   -0.037330   -0.037008   -0.036589   -0.036044   -0.035343   -0.034448   -0.033310   -0.031892   -0.030159   -0.028088   -0.025687   -0.023037  -0.016997  -0.011529 -9.759400e-03
  -394.0         X   0.038856   0.038811   0.038768   0.038724   0.038680     4.643020     4.637780     4.632530     4.627300     4.622090     4.616890     4.611700     4.606530     4.601380     4.596240     4.591120     4.586010     4.580920     4.575840     4.570770   -0.038731   -0.038677   -0.038649   -0.038603   -0.038539   -0.038456   -0.038347   -0.038202   -0.038013   -0.037764   -0.037438   -0.037014   -0.036463   -0.035754   -0.034848   -0.033697   -0.032262   -0.030509   -0.028414   -0.025984   -0.023305  -0.017194  -0.011662 -9.871810e-03
  -392.0         X   0.039298   0.039254   0.039209   0.039165   0.039120     4.695520     4.690230     4.684920     4.679630     4.674350     4.669090     4.663850     4.658620     4.653410     4.648210     4.643030     4.637860     4.632710     4.627570     4.622450   -0.039183   -0.039128   -0.039100   -0.039053   -0.038988   -0.038905   -0.038795   -0.038648   -0.038457   -0.038204   -0.037875   -0.037445   -0.036888   -0.036171   -0.035254   -0.034090   -0.032638   -0.030864   -0.028745   -0.026287   -0.023576  -0.017393  -0.011798 -9.985950e-03
  -390.0         X   0.039748   0.039703   0.039658   0.039613   0.039568     4.748820     4.743460     4.738090     4.732740     4.727400     4.722080     4.716770     4.711480     4.706210     4.700950     4.695710     4.690480     4.685270     4.680070     4.674890   -0.039642   -0.039586   -0.039558   -0.039510   -0.039445   -0.039360   -0.039249   -0.039100   -0.038907   -0.038651   -0.038318   -0.037884   -0.037319   -0.036594   -0.035667   -0.034489   -0.033020   -0.031225   -0.029081   -0.026594   -0.023851  -0.017596  -0.011935 -1.010180e-02
  -388.0         X   0.040204   0.040158   0.040113   0.040067   0.040022     4.802910     4.797490     4.792050     4.786640     4.781240     4.775860     4.770490     4.765140     4.759810     4.754490     4.749180     4.743900     4.738620     4.733360     4.728120   -0.040107   -0.040051   -0.040022   -0.039975   -0.039908   -0.039823   -0.039710   -0.039560   -0.039364   -0.039106   -0.038768   -0.038329   -0.037758   -0.037024   -0.036086   -0.034894   -0.033408   -0.031592   -0.029423   -0.026906   -0.024131  -0.017802  -0.012074 -1.021950e-02
  -386.0         X   0.040667   0.040621   0.040575   0.040529   0.040483     4.857810     4.852330     4.846830     4.841350     4.835890     4.830450     4.825020     4.819600     4.814210     4.808830     4.803460     4.798110     4.792780     4.787460     4.782150   -0.040580   -0.040523   -0.040495   -0.040446   -0.040379   -0.040293   -0.040178   -0.040026   -0.039828   -0.039567   -0.039226   -0.038781   -0.038203   -0.037460   -0.036511   -0.035305   -0.033802   -0.031964   -0.029769   -0.027223   -0.024415  -0.018011  -0.012215 -1.033900e-02
  -384.0         X   0.041138   0.041091   0.041044   0.040998   0.040951     4.913540     4.907990     4.902430     4.896890     4.891370     4.885860     4.880360     4.874890     4.869430     4.863980     4.858560     4.853140     4.847750     4.842370     4.837000   -0.041061   -0.041003   -0.040974   -0.040925   -0.040857   -0.040770   -0.040654   -0.040500   -0.040300   -0.040035   -0.039690   -0.039240   -0.038656   -0.037904   -0.036943   -0.035723   -0.034202   -0.032342   -0.030121   -0.027545   -0.024703  -0.018224  -0.012359 -1.046030e-02
  -382.0         X   0.041615   0.041568   0.041521   0.041473   0.041426     4.970120     4.964500     4.958880     4.953270     4.947680     4.942110     4.936550     4.931010     4.925490     4.919980     4.914490     4.909010     4.903550     4.898110     4.892680   -0.041549   -0.041491   -0.041461   -0.041412   -0.041343   -0.041254   -0.041137   -0.040982   -0.040779   -0.040511   -0.040162   -0.039706   -0.039115   -0.038354   -0.037382   -0.036148   -0.034608   -0.032726   -0.030479   -0.027872   -0.024996  -0.018439  -0.012505 -1.058350e-02
