Name:A X_Dim:150 Y_Dim:15 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6           7           8           9          10          11         12         13         14         15         16        17            18            19           20           21           22           23           24           25           26          27          28          29          30         31        32            33            34            35            36            37            38            39            40            41            42            43
  -400.0         X  3.417030e-64  2.226500e-64  1.450760e-64  9.453030e-65  6.159520e-65     0.135461     0.083099    0.052616    0.033770    0.021809    0.014126    0.009164   0.005950   0.003865   0.002511   0.001632   0.001061  0.000690  4.485310e-04  2.916650e-04    -0.154692    -0.132134    -0.122341    -0.107988    -0.091190    -0.073867    -0.056199   -0.039342   -0.024817   -0.013506   -0.006070  -0.002110 -0.000521 -8.184990e-05 -7.057830e-06 -2.694190e-07 -3.521010e-09 -1.118320e-11 -5.389020e-15 -2.117530e-19 -3.727050e-25 -6.717370e-44 -6.736480e-75 -4.145580e-91
  -398.0         X  3.461010e-64  2.255150e-64  1.469430e-64  9.574680e-65  6.238780e-65     0.137212     0.084173    0.053296    0.034207    0.022091    0.014309    0.009283   0.006027   0.003915   0.002544   0.001653   0.001075  0.000699  4.543340e-04  2.954380e-04    -0.156692    -0.133842    -0.123923    -0.109384    -0.092369    -0.074822    -0.056926   -0.039851   -0.025138   -0.013681   -0.006149  -0.002138 -0.000527 -8.290890e-05 -7.149150e-06 -2.729050e-07 -3.566570e-09 -1.132790e-11 -5.458760e-15 -2.144920e-19 -3.775250e-25 -6.804030e-44 -6.822690e-75 -4.198250e-91
  -396.0         X  3.505740e-64  2.284300e-64  1.488420e-64  9.698420e-65  6.319410e-65     0.138993     0.085266    0.053988    0.034651    0.022378    0.014495    0.009403   0.006105   0.003966   0.002577   0.001675   0.001089  0.000708  4.602360e-04  2.992760e-04    -0.158726    -0.135579    -0.125531    -0.110804    -0.093568    -0.075794    -0.057665   -0.040368   -0.025464   -0.013858   -0.006229  -0.002166 -0.000534 -8.398600e-05 -7.242040e-06 -2.764510e-07 -3.612920e-09 -1.147510e-11 -5.529690e-15 -2.172790e-19 -3.824270e-25 -6.892180e-44 -6.910370e-75 -4.251810e-91
  -394.0         X  3.551250e-64  2.313950e-64  1.507740e-64  9.824280e-65  6.401410e-65     0.140805     0.086377    0.054692    0.035103    0.022669    0.014684    0.009526   0.006185   0.004018   0.002611   0.001697   0.001103  0.000717  4.662390e-04  3.031800e-04    -0.160795    -0.137346    -0.127167    -0.112248    -0.094788    -0.076782    -0.058416   -0.040895   -0.025796   -0.014039   -0.006310  -0.002194 -0.000541 -8.508170e-05 -7.336530e-06 -2.800590e-07 -3.660060e-09 -1.162490e-11 -5.601840e-15 -2.201130e-19 -3.874140e-25 -6.981850e-44 -6.999550e-75 -4.306270e-91
  -392.0         X  3.597530e-64  2.344100e-64  1.527390e-64  9.952310e-65  6.484830e-65     0.142648     0.087508    0.055408    0.035563    0.022966    0.014876    0.009650   0.006266   0.004070   0.002645   0.001719   0.001117  0.000726  4.723460e-04  3.071520e-04    -0.162899    -0.139144    -0.128832    -0.113718    -0.096029    -0.077787    -0.059181   -0.041430   -0.026134   -0.014223   -0.006392  -0.002223 -0.000548 -8.619630e-05 -7.432650e-06 -2.837280e-07 -3.708020e-09 -1.177720e-11 -5.675240e-15 -2.229970e-19 -3.924870e-25 -7.073060e-44 -7.090250e-75 -4.361660e-91
  -390.0         X  3.644620e-64  2.374780e-64  1.547380e-64  1.008260e-64  6.569690e-65     0.144523     0.088658    0.056136    0.036030    0.023268    0.015072    0.009777   0.006348   0.004124   0.002680   0.001742   0.001132  0.000736  4.785600e-04  3.111920e-04    -0.165040    -0.140973    -0.130525    -0.115212    -0.097291    -0.078809    -0.059959   -0.041975   -0.026478   -0.014410   -0.006477  -0.002252 -0.000555 -8.733020e-05 -7.530440e-06 -2.874620e-07 -3.756820e-09 -1.193220e-11 -5.749920e-15 -2.259310e-19 -3.976490e-25 -7.165850e-44 -7.182520e-75 -4.418000e-91
  -388.0         X  3.692520e-64  2.406000e-64  1.567720e-64  1.021510e-64  6.656030e-65     0.146431     0.089829    0.056877    0.036506    0.023575    0.015271    0.009907   0.006432   0.004178   0.002715   0.001765   0.001147  0.000746  4.848810e-04  3.153030e-04    -0.167219    -0.142834    -0.132248    -0.116733    -0.098575    -0.079850    -0.060751   -0.042529   -0.026827   -0.014600   -0.006562  -0.002282 -0.000563 -8.848390e-05 -7.629940e-06 -2.912600e-07 -3.806460e-09 -1.208990e-11 -5.825890e-15 -2.289150e-19 -4.029000e-25 -7.260260e-44 -7.276380e-75 -4.475300e-91
  -386.0         X  3.741260e-64  2.437750e-64  1.588410e-64  1.034990e-64  6.743870e-65     0.148371     0.091020    0.057631    0.036990    0.023888    0.015473    0.010038   0.006517   0.004234   0.002751   0.001788   0.001162  0.000756  4.913130e-04  3.194860e-04    -0.169435    -0.144727    -0.134001    -0.118280    -0.099882    -0.080908    -0.061556   -0.043093   -0.027183   -0.014794   -0.006649  -0.002312 -0.000570 -8.965780e-05 -7.731180e-06 -2.951250e-07 -3.856980e-09 -1.225030e-11 -5.903200e-15 -2.319520e-19 -4.082430e-25 -7.356320e-44 -7.371870e-75 -4.533600e-91
  -384.0         X  3.790860e-64  2.470070e-64  1.609460e-64  1.048710e-64  6.833260e-65     0.150346     0.092231    0.058398    0.037482    0.024206    0.015679    0.010172   0.006604   0.004290   0.002788   0.001812   0.001178  0.000766  4.978580e-04  3.237420e-04    -0.171690    -0.146653    -0.135785    -0.119855    -0.101211    -0.081985    -0.062376   -0.043666   -0.027545   -0.014991   -0.006738  -0.002343 -0.000578 -9.085240e-05 -7.834200e-06 -2.990580e-07 -3.908380e-09 -1.241360e-11 -5.981870e-15 -2.350430e-19 -4.136800e-25 -7.454070e-44 -7.469030e-75 -4.592900e-91
  -382.0         X  3.841330e-64  2.502950e-64  1.630890e-64  1.062670e-64  6.924210e-65     0.152356     0.093464    0.059179    0.037984    0.024530    0.015889    0.010308   0.006692   0.004347   0.002825   0.001836   0.001193  0.000776  5.045190e-04  3.280730e-04    -0.173985    -0.148614    -0.137600    -0.121457    -0.102564    -0.083081    -0.063209   -0.044250   -0.027913   -0.015191   -0.006828  -0.002374 -0.000586 -9.206800e-05 -7.939030e-06 -3.030600e-07 -3.960690e-09 -1.257970e-11 -6.061930e-15 -2.381880e-19 -4.192140e-25 -7.553540e-44 -7.567890e-75 -4.653230e-91
