Name:A X_Dim:150 Y_Dim:30 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9          10          11          12          13          14          15          16          17          18          19           20           21           22           23           24           25           26           27           28          29          30          31          32         33         34        35            36            37            38            39            40            41            42            43
  -400.0         X  1.845100e-36  1.490870e-36  1.204640e-36  9.733640e-37  7.864930e-37     0.520227     0.398598     0.310865     0.245128     0.194604    0.155169    0.124088    0.099433    0.079789    0.064092    0.051522    0.041440    0.033345    0.026840    0.021610    -0.540444    -0.496480    -0.476076    -0.444592    -0.405089    -0.360784    -0.310741    -0.256322    -0.200623   -0.145941   -0.096658   -0.056441   -0.027822  -0.010964  -0.003203 -0.000623 -7.102400e-05 -4.000430e-06 -8.808890e-08 -5.570230e-10 -7.516290e-13 -3.459280e-22 -1.290260e-37 -1.101240e-45
  -398.0         X  1.868610e-36  1.509860e-36  1.219990e-36  9.857650e-37  7.965130e-37     0.526823     0.403652     0.314807     0.248237     0.197072    0.157137    0.125662    0.100694    0.080802    0.064906    0.052175    0.041966    0.033768    0.027181    0.021884    -0.547296    -0.502774    -0.482112    -0.450229    -0.410225    -0.365358    -0.314681    -0.259572    -0.203167   -0.147792   -0.097884   -0.057157   -0.028175  -0.011103  -0.003244 -0.000631 -7.192620e-05 -4.051270e-06 -8.920880e-08 -5.641080e-10 -7.611930e-13 -3.503330e-22 -1.306700e-37 -1.115280e-45
  -396.0         X  1.892510e-36  1.529170e-36  1.235590e-36  9.983750e-37  8.067020e-37     0.533529     0.408790     0.318815     0.251397     0.199581    0.159138    0.127262    0.101976    0.081831    0.065732    0.052840    0.042500    0.034198    0.027527    0.022163    -0.554262    -0.509174    -0.488249    -0.455960    -0.415447    -0.370009    -0.318687    -0.262877    -0.205753   -0.149674   -0.099130   -0.057885   -0.028534  -0.011245  -0.003285 -0.000639 -7.284370e-05 -4.102970e-06 -9.034770e-08 -5.713120e-10 -7.709190e-13 -3.548130e-22 -1.323420e-37 -1.129560e-45
  -394.0         X  1.916820e-36  1.548820e-36  1.251460e-36  1.011200e-36  8.170650e-37     0.540348     0.414015     0.322890     0.254611     0.202133    0.161173    0.128889    0.103280    0.082877    0.066573    0.053516    0.043044    0.034636    0.027879    0.022447    -0.561346    -0.515682    -0.494489    -0.461788    -0.420757    -0.374739    -0.322760    -0.266237    -0.208384   -0.151587   -0.100398   -0.058625   -0.028899  -0.011389  -0.003327 -0.000647 -7.377670e-05 -4.155540e-06 -9.150570e-08 -5.786380e-10 -7.808090e-13 -3.593690e-22 -1.340430e-37 -1.144070e-45
  -392.0         X  1.941550e-36  1.568790e-36  1.267600e-36  1.024240e-36  8.276040e-37     0.547283     0.419329     0.327035     0.257879     0.204727    0.163242    0.130544    0.104606    0.083942    0.067428    0.054203    0.043597    0.035081    0.028237    0.022735    -0.568550    -0.522300    -0.500835    -0.467714    -0.426157    -0.379548    -0.326903    -0.269655    -0.211059   -0.153533   -0.101687   -0.059378   -0.029270  -0.011535  -0.003370 -0.000656 -7.472550e-05 -4.209000e-06 -9.268350e-08 -5.860890e-10 -7.908670e-13 -3.640030e-22 -1.357720e-37 -1.158840e-45
  -390.0         X  1.966690e-36  1.589110e-36  1.284020e-36  1.037510e-36  8.383230e-37     0.554336     0.424733     0.331250     0.261203     0.207366    0.165346    0.132227    0.105955    0.085024    0.068297    0.054902    0.044159    0.035533    0.028601    0.023028    -0.575876    -0.529030    -0.507289    -0.473741    -0.431648    -0.384439    -0.331116    -0.273130    -0.213779   -0.155513   -0.102998   -0.060144   -0.029647  -0.011684  -0.003413 -0.000664 -7.569050e-05 -4.263380e-06 -9.388130e-08 -5.936670e-10 -8.010970e-13 -3.687160e-22 -1.375310e-37 -1.173860e-45
  -388.0         X  1.992270e-36  1.609780e-36  1.300720e-36  1.051000e-36  8.492260e-37     0.561508     0.430229     0.335536     0.264584     0.210050    0.167486    0.133939    0.107327    0.086125    0.069182    0.055613    0.044731    0.035993    0.028972    0.023326    -0.583327    -0.535875    -0.513853    -0.479871    -0.437234    -0.389414    -0.335400    -0.276664    -0.216546   -0.157525   -0.104331   -0.060923   -0.030031  -0.011835  -0.003457 -0.000673 -7.667190e-05 -4.318680e-06 -9.509970e-08 -6.013750e-10 -8.115030e-13 -3.735090e-22 -1.393210e-37 -1.189130e-45
  -386.0         X  2.018290e-36  1.630800e-36  1.317710e-36  1.064730e-36  8.603170e-37     0.568804     0.435819     0.339896     0.268022     0.212780    0.169663    0.135680    0.108722    0.087244    0.070081    0.056336    0.045312    0.036461    0.029349    0.023630    -0.590906    -0.542837    -0.520529    -0.486106    -0.442915    -0.394473    -0.339758    -0.280260    -0.219360   -0.159573   -0.105687   -0.061715   -0.030422  -0.011989  -0.003502 -0.000681 -7.767030e-05 -4.374940e-06 -9.633900e-08 -6.092150e-10 -8.220870e-13 -3.783860e-22 -1.411410e-37 -1.204670e-45
  -384.0         X  2.044760e-36  1.652190e-36  1.334990e-36  1.078690e-36  8.716000e-37     0.576225     0.441505     0.344331     0.271519     0.215557    0.171877    0.137450    0.110141    0.088383    0.070996    0.057072    0.045904    0.036937    0.029732    0.023938    -0.598615    -0.549919    -0.527320    -0.492447    -0.448693    -0.399620    -0.344191    -0.283916    -0.222222   -0.161655   -0.107067   -0.062521   -0.030819  -0.012146  -0.003548 -0.000690 -7.868580e-05 -4.432160e-06 -9.759970e-08 -6.171910e-10 -8.328550e-13 -3.833460e-22 -1.429930e-37 -1.220480e-45
  -382.0         X  2.071690e-36  1.673950e-36  1.352570e-36  1.092900e-36  8.830800e-37     0.583773     0.447290     0.348843     0.275077     0.218382    0.174130    0.139252    0.111585    0.089542    0.071927    0.057820    0.046506    0.037422    0.030122    0.024252    -0.606457    -0.557123    -0.534228    -0.498899    -0.454571    -0.404855    -0.348701    -0.287636    -0.225134   -0.163774   -0.108470   -0.063340   -0.031223  -0.012305  -0.003595 -0.000699 -7.971890e-05 -4.490380e-06 -9.888220e-08 -6.253050e-10 -8.438100e-13 -3.883930e-22 -1.448770e-37 -1.236560e-45
  -380.0         X  2.099090e-36  1.696090e-36  1.370460e-36  1.107350e-36  8.947600e-37     0.591453     0.453174     0.353433     0.278697     0.221255    0.176422    0.141085    0.113053    0.090720    0.072873    0.058581    0.047118    0.037914    0.030519    0.024572    -0.614434    -0.564452    -0.541255    -0.505462    -0.460551    -0.410182    -0.353289    -0.291421    -0.228097   -0.165929   -0.109898   -0.064174   -0.031634  -0.012467  -0.003642 -0.000709 -8.077000e-05 -4.549610e-06 -1.001870e-07 -6.335600e-10 -8.549550e-13 -3.935280e-22 -1.467930e-37 -1.252930e-45
  -378.0         X  2.126970e-36  1.718620e-36  1.388670e-36  1.122060e-36  9.066440e-37     0.599267     0.459161     0.358102     0.282379     0.224179    0.178753    0.142949    0.114548    0.091920    0.073837    0.059356    0.047741    0.038416    0.030922    0.024897    -0.622551    -0.571908    -0.548406    -0.512139    -0.466635    -0.415601    -0.357956    -0.295271    -0.231111   -0.168122   -0.111350   -0.065022   -0.032052  -0.012632  -0.003690 -0.000718 -8.183950e-05 -4.609870e-06 -1.015150e-07 -6.419600e-10 -8.662950e-13 -3.987530e-22 -1.487440e-37 -1.269580e-45
  -376.0         X  2.155340e-36  1.741540e-36  1.407190e-36  1.137030e-36  9.187380e-37     0.607216     0.465253     0.362853     0.286126     0.227154    0.181125    0.144847    0.116068    0.093140    0.074817    0.060144    0.048375    0.038926    0.031333    0.025227    -0.630809    -0.579495    -0.555680    -0.518933    -0.472826    -0.421114    -0.362705    -0.299189    -0.234177   -0.170353   -0.112828   -0.065885   -0.032478  -0.012800  -0.003739 -0.000727 -8.292760e-05 -4.671200e-06 -1.028660e-07 -6.505070e-10 -8.778350e-13 -4.040700e-22 -1.507290e-37 -1.286520e-45
  -374.0         X  2.184220e-36  1.764870e-36  1.426040e-36  1.152260e-36  9.310460e-37     0.615306     0.471451     0.367688     0.289939     0.230181    0.183539    0.146777    0.117615    0.094381    0.075814    0.060945    0.049020    0.039445    0.031751    0.025564    -0.639212    -0.587215    -0.563083    -0.525846    -0.479125    -0.426724    -0.367537    -0.303175    -0.237298   -0.172623   -0.114332   -0.066764   -0.032911  -0.012970  -0.003789 -0.000737 -8.403490e-05 -4.733600e-06 -1.042410e-07 -6.592050e-10 -8.895780e-13 -4.094810e-22 -1.527490e-37 -1.303770e-45
  -372.0         X  2.213600e-36  1.788620e-36  1.445230e-36  1.167760e-36  9.435720e-37     0.623537     0.477759     0.372608     0.293818     0.233261    0.185995    0.148742    0.119190    0.095645    0.076829    0.061761    0.049676    0.039973    0.032176    0.025906    -0.647763    -0.595070    -0.570616    -0.532881    -0.485535    -0.432433    -0.372455    -0.307232    -0.240473   -0.174933   -0.115862   -0.067657   -0.033352  -0.013144  -0.003840 -0.000747 -8.516180e-05 -4.797100e-06 -1.056400e-07 -6.680570e-10 -9.015300e-13 -4.149880e-22 -1.548040e-37 -1.321320e-45
  -370.0         X  2.243510e-36  1.812780e-36  1.464750e-36  1.183540e-36  9.563210e-37     0.631915     0.484178     0.377615     0.297767     0.236396    0.188495    0.150741    0.120792    0.096931    0.077862    0.062592    0.050345    0.040511    0.032608    0.026255    -0.656466    -0.603065    -0.578282    -0.540040    -0.492058    -0.438243    -0.377459    -0.311360    -0.243704   -0.177284   -0.117420   -0.068567   -0.033800  -0.013321  -0.003892 -0.000757 -8.630870e-05 -4.861730e-06 -1.070640e-07 -6.770670e-10 -9.136940e-13 -4.205920e-22 -1.568970e-37 -1.339180e-45
  -368.0         X  2.273950e-36  1.837380e-36  1.484630e-36  1.199600e-36  9.692980e-37     0.640441     0.490711     0.382710     0.301785     0.239587    0.191040    0.152776    0.122422    0.098239    0.078914    0.063437    0.051024    0.041058    0.033049    0.026609    -0.665322    -0.611201    -0.586084    -0.547326    -0.498697    -0.444157    -0.382553    -0.315562    -0.246993   -0.179677   -0.119005   -0.069493   -0.034257  -0.013501  -0.003944 -0.000767 -8.747600e-05 -4.927520e-06 -1.085130e-07 -6.862370e-10 -9.260750e-13 -4.262980e-22 -1.590270e-37 -1.357370e-45
  -366.0         X  2.304950e-36  1.862430e-36  1.504860e-36  1.215950e-36  9.825090e-37     0.649119     0.497361     0.387897     0.305875     0.242834    0.193629    0.154847    0.124082    0.099571    0.079984    0.064297    0.051716    0.041615    0.033497    0.026970    -0.674337    -0.619483    -0.594025    -0.554743    -0.505455    -0.450175    -0.387737    -0.319838    -0.250341   -0.182113   -0.120618   -0.070435   -0.034722  -0.013684  -0.003998 -0.000778 -8.866420e-05 -4.994480e-06 -1.099880e-07 -6.955720e-10 -9.386790e-13 -4.321050e-22 -1.611950e-37 -1.375880e-45
  -364.0         X  2.336500e-36  1.887920e-36  1.525460e-36  1.232600e-36  9.959590e-37     0.657952     0.504130     0.393176     0.310039     0.246140    0.196265    0.156955    0.125772    0.100927    0.081073    0.065173    0.052421    0.042181    0.033953    0.027338    -0.683513    -0.627913    -0.602109    -0.562292    -0.512333    -0.456302    -0.393014    -0.324192    -0.253749   -0.184592   -0.122261   -0.071394   -0.035194  -0.013870  -0.004052 -0.000788 -8.987380e-05 -5.062640e-06 -1.114900e-07 -7.050740e-10 -9.515090e-13 -4.380180e-22 -1.634020e-37 -1.394720e-45
  -362.0         X  2.368620e-36  1.913880e-36  1.546440e-36  1.249540e-36  1.009650e-36     0.666944     0.511020     0.398551     0.314277     0.249505    0.198949    0.159101    0.127492    0.102307    0.082182    0.066065    0.053138    0.042759    0.034418    0.027712    -0.692854    -0.636494    -0.610337    -0.569976    -0.519335    -0.462538    -0.398385    -0.328623    -0.257218   -0.187116   -0.123933   -0.072371   -0.035676  -0.014060  -0.004108 -0.000799 -9.110510e-05 -5.132040e-06 -1.130190e-07 -7.147490e-10 -9.645720e-13 -4.440380e-22 -1.656500e-37 -1.413910e-45
  -360.0         X  2.401330e-36  1.940300e-36  1.567790e-36  1.266800e-36  1.023590e-36     0.676099     0.518035     0.404022     0.318592     0.252931    0.201681    0.161286    0.129243    0.103713    0.083311    0.066972    0.053868    0.043346    0.034891    0.028092    -0.702364    -0.645230    -0.618715    -0.577800    -0.526464    -0.468887    -0.403854    -0.333135    -0.260749   -0.189685   -0.125635   -0.073365   -0.036166  -0.014254  -0.004164 -0.000810 -9.235880e-05 -5.202690e-06 -1.145760e-07 -7.245990e-10 -9.778720e-13 -4.501670e-22 -1.679380e-37 -1.433450e-45
  -358.0         X  2.434640e-36  1.967220e-36  1.589540e-36  1.284370e-36  1.037790e-36     0.685419     0.525177     0.409593     0.322985     0.256419    0.204462    0.163511    0.131026    0.105143    0.084460    0.067896    0.054611    0.043944    0.035372    0.028480    -0.712046    -0.654125    -0.627244    -0.585765    -0.533721    -0.475352    -0.409422    -0.337728    -0.264345   -0.192301   -0.127368   -0.074377   -0.036665  -0.014450  -0.004222 -0.000821 -9.363530e-05 -5.274630e-06 -1.161610e-07 -7.346290e-10 -9.914150e-13 -4.564080e-22 -1.702680e-37 -1.453340e-45
  -356.0         X  2.468550e-36  1.994620e-36  1.611680e-36  1.302260e-36  1.052250e-36     0.694909     0.532449     0.415265     0.327458     0.259970    0.207295    0.165776    0.132841    0.106600    0.085630    0.068837    0.055368    0.044553    0.035863    0.028875    -0.721904    -0.663181    -0.635928    -0.593875    -0.541111    -0.481934    -0.415092    -0.342405    -0.268006   -0.194965   -0.129132   -0.075408   -0.037173  -0.014651  -0.004280 -0.000833 -9.493510e-05 -5.347890e-06 -1.177750e-07 -7.448420e-10 -1.005210e-12 -4.627640e-22 -1.726410e-37 -1.473600e-45
  -354.0         X  2.503100e-36  2.022530e-36  1.634240e-36  1.320490e-36  1.066980e-36     0.704573     0.539854     0.421040     0.332013     0.263587    0.210179    0.168083    0.134689    0.108084    0.086822    0.069795    0.056139    0.045173    0.036362    0.029277    -0.731943    -0.672403    -0.644771    -0.602134    -0.548636    -0.488636    -0.420865    -0.347167    -0.271734   -0.197677   -0.130929   -0.076457   -0.037691  -0.014855  -0.004340 -0.000844 -9.625880e-05 -5.422490e-06 -1.194190e-07 -7.552430e-10 -1.019250e-12 -4.692370e-22 -1.750580e-37 -1.494230e-45
