Name:A X_Dim:150 Y_Dim:5 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component              0              1              2              3              4           5          6          7             8             9            10            11            12            13            14            15            16            17            18            19          20          21          22          23          24         25         26            27            28            29            30            31            32            33            34            35            36            37            38            39            40             41             42             43
  -400.0         X  2.539420e-173  7.065130e-174  1.965790e-174  5.469990e-175  1.522180e-175    0.010341   0.002751   0.000752  2.065680e-04  5.675000e-05  1.559430e-05  4.285800e-06  1.178010e-06  3.238260e-07  8.902490e-08  2.447610e-08  6.729810e-09  1.850490e-09  5.088560e-10  1.399340e-10   -0.014816   -0.009715   -0.007912   -0.005660   -0.003571  -0.001987  -0.000913 -3.247040e-04 -8.361460e-05 -1.370470e-05 -1.256590e-06 -5.311300e-08 -7.995300e-10 -3.104840e-12 -1.980350e-15 -1.088610e-19 -2.379340e-25 -7.373780e-33 -7.856180e-43 -4.454970e-56 -2.235780e-73 -1.198310e-129 -3.648070e-222 -2.336690e-270
  -398.0         X  2.571690e-173  7.154920e-174  1.990770e-174  5.539480e-175  1.541520e-175    0.010477   0.002787   0.000762  2.092730e-04  5.749330e-05  1.579860e-05  4.341930e-06  1.193440e-06  3.280680e-07  9.019090e-08  2.479670e-08  6.817950e-09  1.874730e-09  5.155200e-10  1.417660e-10   -0.015010   -0.009842   -0.008016   -0.005734   -0.003618  -0.002013  -0.000925 -3.289570e-04 -8.470980e-05 -1.388420e-05 -1.273050e-06 -5.380860e-08 -8.100010e-10 -3.145500e-12 -2.006280e-15 -1.102860e-19 -2.410480e-25 -7.470210e-33 -7.958830e-43 -4.513100e-56 -2.264870e-73 -1.213700e-129 -3.693990e-222 -2.366040e-270
  -396.0         X  2.604510e-173  7.246200e-174  2.016170e-174  5.610130e-175  1.561170e-175    0.010614   0.002823   0.000772  2.120260e-04  5.824950e-05  1.600640e-05  4.399040e-06  1.209140e-06  3.323830e-07  9.137720e-08  2.512290e-08  6.907630e-09  1.899390e-09  5.223000e-10  1.436310e-10   -0.015208   -0.009971   -0.008121   -0.005810   -0.003665  -0.002040  -0.000938 -3.332830e-04 -8.582400e-05 -1.406680e-05 -1.289790e-06 -5.451630e-08 -8.206550e-10 -3.186860e-12 -2.032660e-15 -1.117360e-19 -2.442150e-25 -7.568320e-33 -8.063260e-43 -4.572220e-56 -2.294470e-73 -1.229340e-129 -3.740660e-222 -2.395870e-270
  -394.0         X  2.637880e-173  7.339020e-174  2.041990e-174  5.681970e-175  1.581160e-175    0.010755   0.002860   0.000782  2.148260e-04  5.901890e-05  1.621780e-05  4.457150e-06  1.225110e-06  3.367730e-07  9.258410e-08  2.545470e-08  6.998860e-09  1.924470e-09  5.291990e-10  1.455280e-10   -0.015409   -0.010103   -0.008228   -0.005887   -0.003714  -0.002067  -0.000950 -3.376860e-04 -8.695760e-05 -1.425260e-05 -1.306830e-06 -5.523640e-08 -8.314940e-10 -3.228950e-12 -2.059500e-15 -1.132110e-19 -2.474380e-25 -7.668130e-33 -8.169500e-43 -4.632380e-56 -2.324580e-73 -1.245260e-129 -3.788110e-222 -2.426200e-270
  -392.0         X  2.671810e-173  7.433400e-174  2.068240e-174  5.755020e-175  1.601490e-175    0.010897   0.002898   0.000793  2.176760e-04  5.980180e-05  1.643290e-05  4.516270e-06  1.241360e-06  3.412400e-07  9.381220e-08  2.579230e-08  7.091700e-09  1.950000e-09  5.362180e-10  1.474580e-10   -0.015613   -0.010237   -0.008337   -0.005965   -0.003763  -0.002094  -0.000963 -3.421650e-04 -8.811110e-05 -1.444170e-05 -1.324160e-06 -5.596910e-08 -8.425230e-10 -3.271780e-12 -2.086810e-15 -1.147120e-19 -2.507170e-25 -7.769690e-33 -8.277600e-43 -4.693580e-56 -2.355220e-73 -1.261450e-129 -3.836350e-222 -2.457030e-270
  -390.0         X  2.706310e-173  7.529380e-174  2.094940e-174  5.829310e-175  1.622160e-175    0.011042   0.002937   0.000803  2.205760e-04  6.059850e-05  1.665180e-05  4.576440e-06  1.257900e-06  3.457860e-07  9.506190e-08  2.613590e-08  7.186160e-09  1.975970e-09  5.433600e-10  1.494220e-10   -0.015821   -0.010373   -0.008449   -0.006044   -0.003813  -0.002122  -0.000975 -3.467230e-04 -8.928480e-05 -1.463410e-05 -1.341800e-06 -5.671470e-08 -8.537450e-10 -3.315350e-12 -2.114600e-15 -1.162390e-19 -2.540540e-25 -7.873040e-33 -8.387600e-43 -4.755850e-56 -2.386380e-73 -1.277910e-129 -3.885390e-222 -2.488370e-270
  -388.0         X  2.741400e-173  7.626980e-174  2.122100e-174  5.904850e-175  1.643170e-175    0.011190   0.002976   0.000814  2.235270e-04  6.140920e-05  1.687460e-05  4.637660e-06  1.274730e-06  3.504120e-07  9.633360e-08  2.648560e-08  7.282300e-09  2.002410e-09  5.506290e-10  1.514210e-10   -0.016033   -0.010512   -0.008562   -0.006125   -0.003864  -0.002150  -0.000988 -3.513610e-04 -9.047930e-05 -1.482990e-05 -1.359750e-06 -5.747340e-08 -8.651660e-10 -3.359700e-12 -2.142880e-15 -1.177940e-19 -2.574500e-25 -7.978200e-33 -8.499530e-43 -4.819220e-56 -2.418100e-73 -1.294660e-129 -3.935250e-222 -2.520230e-270
  -386.0         X  2.777080e-173  7.726250e-174  2.149710e-174  5.981680e-175  1.664550e-175    0.011340   0.003016   0.000825  2.265300e-04  6.223420e-05  1.710130e-05  4.699970e-06  1.291850e-06  3.551200e-07  9.762790e-08  2.684140e-08  7.380140e-09  2.029310e-09  5.580270e-10  1.534550e-10   -0.016248   -0.010653   -0.008677   -0.006207   -0.003916  -0.002179  -0.001002 -3.560820e-04 -9.169500e-05 -1.502910e-05 -1.378020e-06 -5.824560e-08 -8.767890e-10 -3.404830e-12 -2.171660e-15 -1.193750e-19 -2.609050e-25 -8.085230e-33 -8.613440e-43 -4.883710e-56 -2.450370e-73 -1.311690e-129 -3.985950e-222 -2.552620e-270
  -384.0         X  2.813380e-173  7.827220e-174  2.177800e-174  6.059820e-175  1.686290e-175    0.011493   0.003057   0.000836  2.295870e-04  6.307400e-05  1.733210e-05  4.763390e-06  1.309290e-06  3.599120e-07  9.894530e-08  2.720360e-08  7.479720e-09  2.056690e-09  5.655560e-10  1.555260e-10   -0.016467   -0.010797   -0.008794   -0.006291   -0.003969  -0.002209  -0.001015 -3.608870e-04 -9.293230e-05 -1.523190e-05 -1.396620e-06 -5.903150e-08 -8.886200e-10 -3.450770e-12 -2.200960e-15 -1.209850e-19 -2.644230e-25 -8.194160e-33 -8.729370e-43 -4.949340e-56 -2.483210e-73 -1.329030e-129 -4.037500e-222 -2.585570e-270
  -382.0         X  2.850300e-173  7.929910e-174  2.206370e-174  6.139310e-175  1.708410e-175    0.011649   0.003098   0.000848  2.326980e-04  6.392880e-05  1.756700e-05  4.827950e-06  1.327030e-06  3.647890e-07  1.002860e-07  2.757220e-08  7.581080e-09  2.084560e-09  5.732200e-10  1.576330e-10   -0.016690   -0.010943   -0.008913   -0.006376   -0.004022  -0.002239  -0.001029 -3.657780e-04 -9.419170e-05 -1.543830e-05 -1.415540e-06 -5.983150e-08 -9.006610e-10 -3.497520e-12 -2.230780e-15 -1.226240e-19 -2.680030e-25 -8.305030e-33 -8.847370e-43 -5.016130e-56 -2.516640e-73 -1.346660e-129 -4.089930e-222 -2.619060e-270
