Name:A X_Dim:75 Y_Dim:150 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15          16          17          18          19           20           21           22           23           24           25           26           27           28           29          30          31          32          33         34         35         36        37        38            39            40            41            42            43
  -400.0         X  1.109130e-18  1.015530e-18  9.298300e-19  8.513610e-19  7.795150e-19     1.358050     1.180410     1.038560     0.921211     0.821667     0.735846     0.661023     0.595252     0.537079     0.485378     0.439250    0.397964    0.360914    0.327592    0.297567    -1.134070    -1.079770    -1.054080    -1.013780    -0.961955    -0.901886    -0.831053    -0.749435    -0.659105    -0.560423   -0.457261   -0.353724   -0.255251   -0.168332  -0.098473  -0.048917  -0.019576 -0.005881 -0.001204 -1.477730e-04 -9.611320e-06 -1.328280e-09 -5.515850e-16 -2.528000e-19
  -398.0         X  1.120930e-18  1.026330e-18  9.397180e-19  8.604150e-19  7.878040e-19     1.373070     1.193440     1.050010     0.931352     0.830702     0.743929     0.668277     0.601778     0.542963     0.490691     0.444055    0.402313    0.364856    0.331168    0.300814    -1.146660    -1.091750    -1.065770    -1.025020    -0.972614    -0.911873    -0.840247    -0.757716    -0.666378    -0.566596   -0.462289   -0.357605   -0.258044   -0.170170  -0.099545  -0.049448  -0.019787 -0.005944 -0.001217 -1.493550e-04 -9.713930e-06 -1.342420e-09 -5.574510e-16 -2.554880e-19
  -396.0         X  1.132890e-18  1.037280e-18  9.497460e-19  8.695970e-19  7.962110e-19     1.388310     1.206660     1.061630     0.941643     0.839870     0.752131     0.675637     0.608400     0.548932     0.496082     0.448929    0.406727    0.368855    0.334796    0.304107    -1.159440    -1.103910    -1.077640    -1.036430    -0.983432    -0.922007    -0.849576    -0.766119    -0.673758    -0.572861   -0.467390   -0.361542   -0.260878   -0.172033  -0.100632  -0.049986  -0.020002 -0.006009 -0.001230 -1.509590e-04 -9.818010e-06 -1.356750e-09 -5.634000e-16 -2.582150e-19
  -394.0         X  1.145020e-18  1.048390e-18  9.599160e-19  8.789080e-19  8.047370e-19     1.403780     1.220080     1.073420     0.952085     0.849173     0.760453     0.683105     0.615119     0.554990     0.501551     0.453875    0.411204    0.372913    0.338477    0.307448    -1.172410    -1.116250    -1.089690    -1.048010    -0.994410    -0.932291    -0.859043    -0.774646    -0.681247    -0.579218   -0.472567   -0.365538   -0.263754   -0.173925  -0.101735  -0.050532  -0.020220 -0.006074 -0.001243 -1.525860e-04 -9.923560e-06 -1.371290e-09 -5.694330e-16 -2.609790e-19
  -392.0         X  1.157320e-18  1.059660e-18  9.702300e-19  8.883520e-19  8.133840e-19     1.419480     1.233700     1.085380     0.962682     0.858613     0.768898     0.690684     0.621937     0.561136     0.507101     0.458893    0.415748    0.377031    0.342211    0.310839    -1.185580    -1.128770    -1.101910    -1.059760    -1.005550    -0.942729    -0.868652    -0.783301    -0.688847    -0.585669   -0.477820   -0.369592   -0.266672   -0.175843  -0.102854  -0.051086  -0.020441 -0.006140 -0.001257 -1.542370e-04 -1.003060e-05 -1.386040e-09 -5.755510e-16 -2.637840e-19
  -390.0         X  1.169800e-18  1.071080e-18  9.806920e-19  8.979310e-19  8.221540e-19     1.435410     1.247520     1.097520     0.973437     0.868194     0.777468     0.698374     0.628856     0.567373     0.512733     0.463986    0.420358    0.381209    0.346001    0.314279    -1.198940    -1.141490    -1.114320    -1.071690    -1.016860    -0.953324    -0.878404    -0.792084    -0.696561    -0.592216   -0.483151   -0.373707   -0.269633   -0.177790  -0.103989  -0.051648  -0.020665 -0.006207 -0.001270 -1.559110e-04 -1.013920e-05 -1.401000e-09 -5.817570e-16 -2.666280e-19
  -388.0         X  1.182460e-18  1.082670e-18  9.913040e-19  9.076470e-19  8.310500e-19     1.451580     1.261550     1.109840     0.984352     0.877917     0.786166     0.706179     0.635877     0.573702     0.518448     0.469154    0.425037    0.385449    0.349847    0.317770    -1.212500    -1.154390    -1.126910    -1.083790    -1.028340    -0.964077    -0.888303    -0.800999    -0.704390    -0.598861   -0.488562   -0.377882   -0.272638   -0.179766  -0.105141  -0.052218  -0.020892 -0.006275 -0.001284 -1.576090e-04 -1.024940e-05 -1.416170e-09 -5.880520e-16 -2.695130e-19
  -386.0         X  1.195300e-18  1.094430e-18  1.002070e-18  9.175020e-19  8.400740e-19     1.467990     1.275790     1.122350     0.995430     0.887785     0.794993     0.714101     0.643003     0.580126     0.524249     0.474399    0.429785    0.389752    0.353750    0.321312    -1.226270    -1.167490    -1.139690    -1.096080    -1.039990    -0.974992    -0.898350    -0.810048    -0.712336    -0.605606   -0.494053   -0.382120   -0.275688   -0.181771  -0.106310  -0.052797  -0.021123 -0.006344 -0.001298 -1.593320e-04 -1.036110e-05 -1.431560e-09 -5.944380e-16 -2.724390e-19
  -384.0         X  1.208320e-18  1.106350e-18  1.012990e-18  9.275000e-19  8.492280e-19     1.484660     1.290240     1.135050     1.006680     0.897802     0.803953     0.722141     0.650236     0.586646     0.530135     0.479721    0.434603    0.394118    0.357711    0.324908    -1.240250    -1.180790    -1.152670    -1.108560    -1.051820    -0.986073    -0.908550    -0.819234    -0.720402    -0.612452   -0.499627   -0.386421   -0.278783   -0.183806  -0.107496  -0.053384  -0.021357 -0.006414 -0.001313 -1.610800e-04 -1.047450e-05 -1.447170e-09 -6.009150e-16 -2.754070e-19
  -382.0         X  1.221540e-18  1.118450e-18  1.024060e-18  9.376420e-19  8.585140e-19     1.501570     1.304920     1.147930     1.018090     0.907970     0.813047     0.730301     0.657577     0.593263     0.536110     0.485124    0.439494    0.398550    0.361730    0.328557    -1.254440    -1.194290    -1.165850    -1.121220    -1.063830    -0.997322    -0.918904    -0.828559    -0.728591    -0.619401   -0.505285   -0.390787   -0.281924   -0.185871  -0.108700  -0.053980  -0.021594 -0.006485 -0.001327 -1.628530e-04 -1.058950e-05 -1.463010e-09 -6.074860e-16 -2.784190e-19
