Name:C X_Dim:75 Y_Dim:150 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40         41         42         43
  -400.0         X   0.015344   0.015322   0.015300   0.015279   0.015257     1.483420     1.481030     1.478630     1.476240     1.473860     1.471490     1.469120     1.466760     1.464410     1.462070     1.459740     1.457410     1.455090     1.452780     1.450480   -0.020040   -0.020011   -0.019996   -0.019972   -0.019938   -0.019895   -0.019837   -0.019761   -0.019661   -0.019530   -0.019358   -0.019135   -0.018844   -0.018471   -0.017994   -0.017388   -0.016633   -0.015710   -0.014609   -0.013331   -0.011923  -0.008710  -0.005795  -0.004850
  -398.0         X   0.015514   0.015492   0.015470   0.015448   0.015426     1.499850     1.497430     1.495000     1.492580     1.490180     1.487780     1.485380     1.483000     1.480620     1.478260     1.475900     1.473540     1.471200     1.468860     1.466530   -0.020266   -0.020237   -0.020223   -0.020198   -0.020164   -0.020120   -0.020062   -0.019984   -0.019884   -0.019751   -0.019577   -0.019351   -0.019057   -0.018680   -0.018197   -0.017585   -0.016821   -0.015888   -0.014774   -0.013482   -0.012057  -0.008808  -0.005860  -0.004904
  -396.0         X   0.015687   0.015665   0.015643   0.015620   0.015598     1.516510     1.514060     1.511610     1.509170     1.506730     1.504310     1.501890     1.499480     1.497070     1.494680     1.492290     1.489910     1.487540     1.485180     1.482830   -0.020496   -0.020467   -0.020452   -0.020427   -0.020393   -0.020348   -0.020289   -0.020211   -0.020109   -0.019975   -0.019799   -0.019571   -0.019273   -0.018892   -0.018404   -0.017784   -0.017012   -0.016068   -0.014941   -0.013635   -0.012194  -0.008907  -0.005926  -0.004959
  -394.0         X   0.015863   0.015840   0.015818   0.015795   0.015773     1.533430     1.530950     1.528470     1.526000     1.523540     1.521080     1.518640     1.516200     1.513770     1.511350     1.508930     1.506530     1.504130     1.501740     1.499360   -0.020730   -0.020700   -0.020685   -0.020660   -0.020625   -0.020580   -0.020521   -0.020441   -0.020338   -0.020202   -0.020025   -0.019793   -0.019493   -0.019107   -0.018613   -0.017987   -0.017205   -0.016251   -0.015111   -0.013790   -0.012332  -0.009008  -0.005993  -0.005015
  -392.0         X   0.016041   0.016018   0.015995   0.015972   0.015950     1.550590     1.548090     1.545580     1.543080     1.540590     1.538110     1.535630     1.533170     1.530710     1.528260     1.525820     1.523390     1.520960     1.518550     1.516140   -0.020967   -0.020937   -0.020922   -0.020896   -0.020861   -0.020815   -0.020755   -0.020675   -0.020571   -0.020433   -0.020254   -0.020020   -0.019716   -0.019325   -0.018826   -0.018192   -0.017402   -0.016437   -0.015284   -0.013947   -0.012473  -0.009111  -0.006061  -0.005072
  -390.0         X   0.016222   0.016199   0.016175   0.016152   0.016130     1.568020     1.565480     1.562950     1.560420     1.557900     1.555390     1.552890     1.550390     1.547910     1.545430     1.542960     1.540500     1.538050     1.535600     1.533170   -0.021208   -0.021177   -0.021162   -0.021136   -0.021100   -0.021054   -0.020993   -0.020913   -0.020807   -0.020668   -0.020486   -0.020250   -0.019942   -0.019547   -0.019042   -0.018401   -0.017602   -0.016625   -0.015459   -0.014107   -0.012616  -0.009215  -0.006130  -0.005130
  -388.0         X   0.016405   0.016382   0.016358   0.016335   0.016312     1.585700     1.583140     1.580570     1.578020     1.575470     1.572930     1.570400     1.567870     1.565360     1.562850     1.560360     1.557870     1.555390     1.552920     1.550450   -0.021452   -0.021421   -0.021406   -0.021380   -0.021344   -0.021297   -0.021235   -0.021154   -0.021047   -0.020906   -0.020723   -0.020483   -0.020172   -0.019772   -0.019262   -0.018613   -0.017804   -0.016817   -0.015637   -0.014269   -0.012761  -0.009321  -0.006201  -0.005188
  -386.0         X   0.016591   0.016568   0.016544   0.016521   0.016497     1.603650     1.601060     1.598460     1.595880     1.593300     1.590730     1.588170     1.585620     1.583080     1.580540     1.578020     1.575500     1.572990     1.570490     1.568000   -0.021700   -0.021669   -0.021653   -0.021627   -0.021590   -0.021544   -0.021481   -0.021398   -0.021291   -0.021148   -0.020962   -0.020720   -0.020406   -0.020001   -0.019484   -0.018828   -0.018010   -0.017011   -0.015818   -0.014434   -0.012908  -0.009428  -0.006272  -0.005248
  -384.0         X   0.016780   0.016757   0.016733   0.016709   0.016685     1.621870     1.619250     1.616630     1.614010     1.611400     1.608810     1.606220     1.603640     1.601060     1.598500     1.595950     1.593400     1.590860     1.588330     1.585810   -0.021952   -0.021921   -0.021905   -0.021878   -0.021841   -0.021794   -0.021731   -0.021647   -0.021538   -0.021394   -0.021206   -0.020961   -0.020643   -0.020233   -0.019711   -0.019047   -0.018219   -0.017208   -0.016001   -0.014602   -0.013058  -0.009537  -0.006344  -0.005308
  -382.0         X   0.016972   0.016948   0.016924   0.016900   0.016876     1.640370     1.637720     1.635070     1.632420     1.629780     1.627150     1.624530     1.621920     1.619320     1.616730     1.614140     1.611570     1.609000     1.606440     1.603890   -0.022208   -0.022177   -0.022160   -0.022134   -0.022096   -0.022048   -0.021984   -0.021899   -0.021789   -0.021643   -0.021453   -0.021205   -0.020883   -0.020469   -0.019940   -0.019269   -0.018432   -0.017409   -0.016188   -0.014772   -0.013210  -0.009648  -0.006417  -0.005370
