Data type: dB/dt; UNIT: nT/s
Number of stations: 441
Stations (m): 0.2 2.7 5.2 7.7 10.2 12.7 15.2 17.7 20.2 22.7 25.2 27.7 30.2 32.7 35.2 37.7 40.2 42.7 45.2 47.7 50.2 52.7 55.2 57.7 60.2 62.7 65.2 67.7 70.2 72.7 75.2 77.7 80.2 82.7 85.2 87.7 90.2 92.7 95.2 97.7 100.2 102.7 105.2 107.7 110.2 112.7 115.2 117.7 120.2 122.7 125.2 127.7 130.2 132.7 135.2 137.7 140.2 142.7 145.2 147.7 150.2 152.7 155.2 157.7 160.2 162.7 165.2 167.7 170.2 172.7 175.2 177.7 180.2 182.7 185.2 187.7 190.2 192.7 195.2 197.7 200.2 202.7 205.2 207.7 210.2 212.7 215.2 217.7 220.2 222.7 225.2 227.7 230.2 232.7 235.2 237.7 240.2 242.7 245.2 247.7 250.2 252.7 255.2 257.7 260.2 262.7 265.2 267.7 270.2 272.7 275.2 277.7 280.2 282.7 285.2 287.7 290.2 292.7 295.2 297.7 300.2 302.7 305.2 307.7 310.2 312.7 315.2 317.7 320.2 322.7 325.2 327.7 330.2 332.7 335.2 337.7 340.2 342.7 345.2 347.7 350.2 352.7 355.2 357.7 360.2 362.7 365.2 367.7 370.2 372.7 375.2 377.7 380.2 382.7 385.2 387.7 390.2 392.7 395.2 397.7 400.2 402.7 405.2 407.7 410.2 412.7 415.2 417.7 420.2 422.7 425.2 427.7 430.2 432.7 435.2 437.7 440.2 442.7 445.2 447.7 450.2 452.7 455.2 457.7 460.2 462.7 465.2 467.7 470.2 472.7 475.2 477.7 480.2 482.7 485.2 487.7 490.2 492.7 495.2 497.7 500.2 502.7 505.2 507.7 510.2 512.7 515.2 517.7 520.2 522.7 525.2 527.7 530.2 532.7 535.2 537.7 540.2 542.7 545.2 547.7 550.2 552.7 555.2 557.7 560.2 562.7 565.2 567.7 570.2 572.7 575.2 577.7 580.2 582.7 585.2 587.7 590.2 592.7 595.2 597.7 600.2 602.7 605.2 607.7 610.2 612.7 615.2 617.7 620.2 622.7 625.2 627.7 630.2 632.7 635.2 637.7 640.2 642.7 645.2 647.7 650.2 652.7 655.2 657.7 660.2 662.7 665.2 667.7 670.2 672.7 675.2 677.7 680.2 682.7 685.2 687.7 690.2 692.7 695.2 697.7 700.2 702.7 705.2 707.7 710.2 712.7 715.2 717.7 720.2 722.7 725.2 727.7 730.2 732.7 735.2 737.7 740.2 742.7 745.2 747.7 750.2 752.7 755.2 757.7 760.2 762.7 765.2 767.7 770.2 772.7 775.2 777.7 780.2 782.7 785.2 787.7 790.2 792.7 795.2 797.7 800.2 802.7 805.2 807.7 810.2 812.7 815.2 817.7 820.2 822.7 825.2 827.7 830.2 832.7 835.2 837.7 840.2 842.7 845.2 847.7 850.2 852.7 855.2 857.7 860.2 862.7 865.2 867.7 870.2 872.7 875.2 877.7 880.2 882.7 885.2 887.7 890.2 892.7 895.2 897.7 900.2 902.7 905.2 907.7 910.2 912.7 915.2 917.7 920.2 922.7 925.2 927.7 930.2 932.7 935.2 937.7 940.2 942.7 945.2 947.7 950.2 952.7 955.2 957.7 960.2 962.7 965.2 967.7 970.2 972.7 975.2 977.7 980.2 982.7 985.2 987.7 990.2 992.7 995.2 997.7 1000.2 1002.7 1005.2 1007.7 1010.2 1012.7 1015.2 1017.7 1020.2 1022.7 1025.2 1027.7 1030.2 1032.7 1035.2 1037.7 1040.2 1042.7 1045.2 1047.7 1050.2 1052.7 1055.2 1057.7 1060.2 1062.7 1065.2 1067.7 1070.2 1072.7 1075.2 1077.7 1080.2 1082.7 1085.2 1087.7 1090.2 1092.7 1095.2 1097.7 1100.2
Channel times (ms):
   1     0.0010 
   2     0.0014 
   3     0.0020 
   4     0.0028 
   5     0.0040 
   6     0.0057 
   7     0.0080 
   8     0.0113 
   9     0.0160 
   10    0.0226 
   11    0.0320 
   12    0.0453 
   13    0.0640 
   14    0.0905 
   15    0.1280 
   16    0.1810 
   17    0.2560 
   18    0.3620 
   19    0.5120 
   20    0.7241 
   21    1.0240 
   22    1.4482 
   23    2.0480 
   24    2.8963 
   25    4.0960 
   26    5.7926 
   27    8.1920 
   28    11.5850
   29    16.3840
   30    23.1700
   31    32.7680
   32    46.3410
EM data:
Station Component      CH1            CH2            CH3            CH4            CH5            CH6            CH7            CH8            CH9           CH10           CH11           CH12           CH13           CH14           CH15           CH16           CH17           CH18           CH19           CH20           CH21           CH22           CH23           CH24           CH25           CH26           CH27           CH28           CH29           CH30           CH31           CH32      
  0.2      X      4.37916E+04    3.67506E+04    3.05763E+04    2.63446E+04    2.33284E+04    2.09685E+04    1.85224E+04    1.56026E+04    1.21718E+04    8.83128E+03    5.68047E+03    3.20009E+03    1.55580E+03    6.43348E+02    2.28700E+02    7.01790E+01    1.90675E+01    4.71168E+00    1.07006E+00    2.36583E-01    4.77672E-02    7.63895E-03    6.35214E-04    1.97620E-05    1.60982E-06    1.11022E-07    2.27596E-06    1.94289E-06    2.72005E-06    1.99840E-06    1.66533E-06   -3.33067E-07  
  0.2      Y     -2.72615E+03   -1.42366E+03   -8.71441E+02   -9.53861E+02   -1.23130E+03   -1.33963E+03   -1.25863E+03   -1.09237E+03   -8.78367E+02   -6.55958E+02   -4.33255E+02   -2.49056E+02   -1.22565E+02   -5.07966E+01   -1.79007E+01   -5.45388E+00   -1.53459E+00   -4.22491E-01   -1.09532E-01   -2.51094E-02   -4.38483E-03   -5.52766E-04   -3.86496E-05    6.80012E-07   -8.18789E-07    2.73392E-06   -1.66533E-06    1.11022E-07   -4.30211E-07   -1.09635E-06    3.88578E-07    1.66533E-06  
  0.2      Z      2.33242E+06    2.00862E+06    1.70809E+06    1.48477E+06    1.31286E+06    1.18036E+06    1.05474E+06    9.09965E+05    7.37589E+05    5.63895E+05    3.91229E+05    2.44353E+05    1.35997E+05    6.67588E+04    2.91598E+04    1.13476E+04    3.99970E+03    1.30358E+03    3.96441E+02    1.14524E+02    2.75564E+01    4.69950E+00    3.96029E-01    1.30683E-02    1.05166E-04   -1.52656E-06   -2.69229E-06   -1.60982E-06    2.05391E-06    1.16573E-06    1.69309E-06   -1.38778E-06  
  2.7      X      1.30880E+05    1.11498E+05    9.38602E+04    8.10667E+04    7.13413E+04    6.36349E+04    5.60090E+04    4.71435E+04    3.67756E+04    2.66830E+04    1.71673E+04    9.68062E+03    4.71815E+03    1.96045E+03    7.01877E+02    2.16970E+02    5.91623E+01    1.45889E+01    3.30006E+00    7.28905E-01    1.47539E-01    2.36849E-02    1.97325E-03    6.38586E-05    1.31839E-06   -6.90420E-07    1.96718E-06    1.52656E-06    2.17187E-06    1.84575E-06    1.11022E-07   -1.05124E-06  
  2.7      Y     -2.13936E+03   -9.54864E+02   -4.95520E+02   -6.30018E+02   -9.33882E+02   -1.06073E+03   -1.00446E+03   -8.71613E+02   -6.98982E+02   -5.19163E+02   -3.39592E+02   -1.92377E+02   -9.27896E+01   -3.74469E+01   -1.27615E+01   -3.75803E+00   -1.04744E+00   -2.97932E-01   -8.06524E-02   -1.86111E-02   -3.05336E-03   -3.38174E-04   -2.01297E-05    9.92262E-07   -1.45717E-07    2.33147E-06   -1.65840E-06    3.95517E-07   -1.42941E-06   -1.33921E-06    6.66134E-07    2.00534E-06  
  2.7      Z      2.33654E+06    2.01224E+06    1.71121E+06    1.48749E+06    1.31524E+06    1.18248E+06    1.05662E+06    9.11585E+05    7.38907E+05    5.64906E+05    3.91933E+05    2.44788E+05    1.36232E+05    6.68675E+04    2.92028E+04    1.13622E+04    4.00395E+03    1.30468E+03    3.96701E+02    1.14584E+02    2.75686E+01    4.70148E+00    3.96195E-01    1.30740E-02    1.04514E-04   -1.94289E-06   -2.59515E-06   -1.48492E-06    1.11022E-06    7.77156E-07    7.63278E-07   -8.74301E-07  
  5.2      X      1.94535E+05    1.66227E+05    1.40243E+05    1.21170E+05    1.06498E+05    9.48567E+04    8.34385E+04    7.02302E+04    5.47973E+04    3.97731E+04    2.56038E+04    1.44505E+04    7.05168E+03    2.93507E+03    1.05299E+03    3.26175E+02    8.90577E+01    2.19670E+01    4.96828E+00    1.09764E+00    2.22325E-01    3.57175E-02    2.97673E-03    9.70890E-05    1.60982E-06   -9.99201E-07    1.83187E-06    1.55431E-06    1.72085E-06    1.77636E-06    3.88578E-07   -8.88178E-07  
  5.2      Y      1.25463E+04    1.15992E+04    1.01049E+04    8.53485E+03    7.12218E+03    6.11022E+03    5.29635E+03    4.42236E+03    3.41826E+03    2.45408E+03    1.55957E+03    8.68345E+02    4.18382E+02    1.72435E+02    6.15333E+01    1.89631E+01    5.07900E+00    1.19454E+00    2.53146E-01    5.45460E-02    1.17054E-02    2.03206E-03    1.76883E-04    6.86950E-06   -1.05645E-06    1.93769E-06   -2.15106E-06    7.63278E-08   -1.47972E-06   -1.05645E-06    3.22659E-07    2.00187E-06  
  5.2      Z      2.32075E+06    1.99877E+06    1.69985E+06    1.47770E+06    1.30665E+06    1.17485E+06    1.04995E+06    9.06033E+05    7.34654E+05    5.61903E+05    3.90077E+05    2.43798E+05    1.35783E+05    6.66957E+04    2.91467E+04    1.13464E+04    4.00006E+03    1.30381E+03    3.96519E+02    1.14546E+02    2.75613E+01    4.70033E+00    3.96099E-01    1.30712E-02    1.04930E-04   -9.43690E-07   -2.34535E-06   -1.67921E-06    2.09555E-06    7.07767E-07    5.27356E-07   -1.06859E-06  
  7.7      X      3.09749E+05    2.65130E+05    2.23984E+05    1.93574E+05    1.70007E+05    1.51275E+05    1.32995E+05    1.11923E+05    8.73251E+04    6.33846E+04    4.08090E+04    2.30380E+04    1.12470E+04    4.68415E+03    1.68176E+03    5.21288E+02    1.42347E+02    3.50910E+01    7.93018E+00    1.75130E+00    3.54760E-01    5.70170E-02    4.75397E-03    1.56486E-04    3.16414E-06    3.33067E-07    2.83107E-06    2.55351E-06    2.77556E-06    3.05311E-06    1.49880E-06   -5.55112E-08  
  7.7      Y      2.64549E+04    2.34950E+04    2.01558E+04    1.72299E+04    1.47712E+04    1.29272E+04    1.12985E+04    9.48300E+03    7.37701E+03    5.33664E+03    3.42292E+03    1.92528E+03    9.37188E+02    3.89832E+02    1.40093E+02    4.34654E+01    1.18017E+01    2.85627E+00    6.29262E-01    1.37739E-01    2.85852E-02    4.74898E-03    4.03594E-04    1.50713E-05   -6.10623E-07    2.08167E-06   -1.80411E-06    5.55112E-08   -1.30451E-06   -9.15934E-07    6.93889E-07    2.22045E-06  
  7.7      Z      2.38410E+06    2.05330E+06    1.74613E+06    1.51775E+06    1.34180E+06    1.20611E+06    1.07749E+06    9.29337E+05    7.53005E+05    5.75399E+05    3.98931E+05    2.48918E+05    1.38353E+05    6.77995E+04    2.95552E+04    1.14766E+04    4.03647E+03    1.31295E+03    3.98615E+02    1.15015E+02    2.76569E+01    4.71574E+00    3.97384E-01    1.31135E-02    1.04805E-04   -1.88738E-06   -2.88658E-06   -1.88738E-06    1.44329E-06    7.77156E-07    4.44089E-07   -8.88178E-07  
  10.2     X      3.65019E+05    3.12617E+05    2.64213E+05    2.28356E+05    2.00508E+05    1.78371E+05    1.56818E+05    1.32005E+05    1.03051E+05    7.48633E+04    4.82621E+04    2.72926E+04    1.33515E+04    5.57329E+03    2.00556E+03    6.22954E+02    1.70395E+02    4.20545E+01    9.51188E+00    2.10206E+00    4.26036E-01    6.84913E-02    5.71096E-03    1.87600E-04    2.52576E-06   -6.38378E-07    3.08087E-06    2.80331E-06    2.91434E-06    2.24820E-06    8.60423E-07   -1.11022E-07  
  10.2     Y      2.23605E+03    2.63643E+03    2.45408E+03    1.91952E+03    1.35711E+03    1.02353E+03    8.44054E+02    6.84098E+02    5.08299E+02    3.47396E+02    2.07214E+02    1.07077E+02    4.76361E+01    1.83028E+01    6.26019E+00    1.84574E+00    4.09124E-01    4.43746E-02   -6.68038E-03   -2.85860E-03    6.59472E-05    1.58706E-04    2.00395E-05    1.72085E-06   -4.99600E-07    2.66454E-06   -3.16414E-06    4.99600E-07   -3.33067E-07    0.00000E+00    0.00000E+00    2.27596E-06  
  10.2     Z      2.27891E+06    1.96306E+06    1.66978E+06    1.45176E+06    1.28395E+06    1.15477E+06    1.03249E+06    8.91619E+05    7.23776E+05    5.54392E+05    3.85602E+05    2.41537E+05    1.34833E+05    6.63718E+04    2.90564E+04    1.13261E+04    3.99638E+03    1.30329E+03    3.96475E+02    1.14549E+02    2.75634E+01    4.70074E+00    3.96133E-01    1.30719E-02    1.03584E-04   -2.55351E-06   -3.10862E-06   -1.99840E-06    9.99201E-07   -5.55112E-08   -8.88178E-07   -1.44329E-06  
  12.7     X      4.01885E+05    3.44207E+05    2.90923E+05    2.51440E+05    2.20753E+05    1.96349E+05    1.72596E+05    1.45268E+05    1.13393E+05    8.23710E+04    5.31003E+04    3.00280E+04    1.46892E+04    6.13115E+03    2.20596E+03    6.85034E+02    1.87309E+02    4.62088E+01    1.04469E+01    2.30791E+00    4.67671E-01    7.51832E-02    6.26899E-03    2.06057E-04    1.55431E-06    8.88178E-07    4.44089E-06    2.77556E-06    2.22045E-06    1.44329E-06    2.22045E-07   -1.11022E-07  
