,Required_half_cycles
30x600C - X,1
30x600C - Y,1
30x600C - Z,1
60x600C - X,1
60x600C - Y,1
60x600C - Z,1
120x600C - X,2
120x600C - Y,4
120x600C - Z,3
200x600C - X,4
200x600C - Y,4
200x600C - Z,4
300x600C - X,6
300x600C - Y,4
300x600C - Z,5
600x30C - X,1
600x30C - Y,1
600x30C - Z,1
600x60C - X,1
600x60C - Y,1
600x60C - Z,1
600x120C - X,7
600x120C - Y,6
600x120C - Z,6
600x200C - X,9
600x200C - Y,7
600x200C - Z,8
600x300C - X,9
600x300C - Y,7
600x300C - Z,8
600x600C - X,7
600x600C - Y,6
600x600C - Z,7
